arm	cid	ident	apa	face	nnew	norig	ncomp	ncomp_ss	nsup	legacy_rm	run_rm	nruns	maxrun_cm
029107_1_d07bb	2	2	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	3	3	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	4	4	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	5	5	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	6	6	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	7	7	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	8	8	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	9	9	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	10	10	2	0	3	3	1	1	3	0	0	0	0.0
029107_1_d07bb	11	11	2	0	8	5	1	1	6	0	0	2	0.0
029107_1_d07bb	12	12	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	13	13	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	16	16	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	17	17	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	18	18	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	20	20	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	22	22	2	0	3	3	1	1	3	0	0	0	0.0
029107_1_d07bb	23	23	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	24	24	2	0	3	3	1	1	3	0	0	0	0.0
029107_1_d07bb	25	25	0	0	8	8	1	1	8	0	0	0	0.0
029107_1_d07bb	26	26	0	0	13	13	1	1	13	0	0	0	0.0
029107_1_d07bb	27	27	0	0	8	8	1	1	8	0	0	0	0.0
029107_1_d07bb	29	29	2	0	44	40	1	1	38	0	0	5	0.4
029107_1_d07bb	32	32	0	0	501	261	24	24	205	129	111	21	28.7
029107_1_d07bb	33	33	0	0	1433	1362	88	88	1217	133	0	67	2.7
029107_1_d07bb	34	34	0	0	1324	635	151	151	582	531	73	40	33.5
029107_1_d07bb	36	36	0	0	1265	1051	48	48	941	246	8	15	39.7
029107_1_d07bb	36	36	2	0	63	58	3	3	61	0	0	2	0.0
029107_1_d07bb	37	37	0	0	5149	2316	573	573	2167	2272	260	189	107.9
029107_1_d07bb	39	39	0	0	863	777	67	67	780	70	0	12	0.5
029107_1_d07bb	39	39	2	0	712	566	51	51	520	125	0	42	15.7
029107_1_d07bb	40	40	0	0	725	775	26	26	592	58	0	66	3.7
029107_1_d07bb	40	40	2	0	185	150	8	8	111	15	0	10	16.0
029107_1_d07bb	42	42	2	0	1340	180	82	82	219	189	580	28	43.6
029107_1_d07bb	45	45	2	0	76	17	2	2	23	2	39	2	27.1
029107_1_d07bb	46	46	2	0	47	8	1	1	10	0	37	1	39.6
029107_1_d07bb	48	48	2	0	148	15	1	1	20	0	79	3	42.7
029107_1_d07bb	50	50	2	0	848	426	50	50	371	245	142	62	71.3
029107_1_d07bb	53	53	2	0	6	6	1	1	6	0	0	0	0.0
029107_1_d07bb	54	54	2	0	30	21	1	1	22	0	0	4	6.1
029107_1_d07bb	56	56	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	57	57	0	0	80	26	5	5	23	5	33	11	24.6
029107_1_d07bb	58	58	1	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	60	60	1	1	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	62	62	1	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	63	63	3	1	8	5	1	1	6	0	0	1	0.4
029107_1_d07bb	64	64	3	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	65	65	3	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	66	66	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	67	67	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	68	68	3	1	6	6	1	1	6	0	0	0	0.0
029107_1_d07bb	69	69	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	70	70	1	1	17	12	2	2	14	0	0	2	0.5
029107_1_d07bb	71	71	1	1	16	16	1	1	16	0	0	0	0.0
029107_1_d07bb	72	72	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	73	73	3	1	117	113	2	2	110	1	0	6	0.0
029107_1_d07bb	75	75	1	1	2268	1298	212	212	1093	1025	0	40	7.0
029107_1_d07bb	76	76	1	1	1382	631	130	130	547	650	0	49	18.3
029107_1_d07bb	76	76	3	1	311	262	18	18	228	54	0	4	8.3
029107_1_d07bb	77	77	1	1	1028	431	128	128	426	530	0	42	2.6
029107_1_d07bb	77	77	3	1	706	466	56	56	435	132	78	30	25.1
029107_1_d07bb	79	79	1	1	869	581	50	50	540	176	0	60	10.6
029107_1_d07bb	79	79	3	1	333	331	13	13	276	15	0	20	10.3
029107_1_d07bb	80	80	1	1	367	197	18	18	169	41	122	21	37.8
029107_1_d07bb	80	80	3	1	2643	992	204	204	1123	822	421	67	162.4
029107_1_d07bb	82	82	1	1	948	587	89	89	551	373	0	8	2.6
029107_1_d07bb	83	83	1	1	1908	570	261	261	534	1306	0	54	2.1
029107_1_d07bb	83	83	3	1	2475	1153	314	314	1185	1009	67	64	32.2
029107_1_d07bb	84	84	1	1	276	300	13	13	245	15	0	12	11.3
029107_1_d07bb	85	85	1	1	231	189	13	13	190	12	0	25	0.9
029107_1_d07bb	86	86	1	1	719	638	30	30	602	92	0	10	2.9
029107_1_d07bb	88	88	1	1	867	747	34	34	712	118	0	16	5.1
029107_1_d07bb	90	90	1	1	3	3	1	1	3	0	0	0	0.0
029107_1_d07bb	92	92	1	1	27	7	1	1	11	0	16	1	22.6
029107_1_d07bb	93	93	1	1	158	5	5	5	9	8	140	2	46.0
