apa	var	bin_centre	hit_fraction	npoints
0	wire	504.0	0.7481	1826
0	wire	552.0	0.7564	2742
0	wire	600.0	0.8152	2343
0	wire	648.0	0.7122	2008
0	wire	696.0	0.7657	2143
0	wire	744.0	0.7946	1772
0	wire	792.0	0.7139	2992
0	wire	840.0	0.7149	1424
0	wire	888.0	0.8219	1988
0	wire	936.0	0.8336	2157
0	y	30.0	0.7248	1130
0	y	90.0	0.6773	1602
0	y	150.0	0.6855	2019
0	y	210.0	0.7853	1858
0	y	270.0	0.7213	1902
0	y	330.0	0.8059	2288
0	y	390.0	0.7811	3989
0	y	450.0	0.7974	2433
0	y	510.0	0.8365	1651
0	y	570.0	0.7908	2361
1	wire	24.0	0.6616	2512
1	wire	72.0	0.6409	1540
1	wire	120.0	0.6781	988
1	wire	168.0	0.5889	1389
1	wire	216.0	0.8194	1606
1	wire	264.0	0.8752	1642
1	wire	312.0	0.9602	1937
1	wire	360.0	0.8343	1201
1	wire	408.0	0.7436	1283
1	wire	456.0	0.8806	1901
1	y	30.0	0.4499	1398
1	y	90.0	0.8171	842
1	y	150.0	0.9320	1074
1	y	210.0	0.9461	1206
1	y	270.0	0.9550	1179
1	y	330.0	0.8161	1332
1	y	390.0	0.8203	1441
1	y	450.0	0.9093	1147
1	y	510.0	0.9205	2339
1	y	570.0	0.5724	3934
2	wire	504.0	0.8843	2377
2	wire	552.0	0.7172	1747
2	wire	600.0	0.7222	1692
2	wire	648.0	0.6792	1699
2	wire	696.0	0.7357	2437
2	wire	744.0	0.7774	1523
2	wire	792.0	0.5817	1475
2	wire	840.0	0.5282	1774
2	wire	888.0	0.3109	3194
2	wire	936.0	0.2218	9483
2	y	30.0	0.1739	11730
2	y	90.0	0.6277	1413
2	y	150.0	0.5682	1357
2	y	210.0	0.9212	926
2	y	270.0	0.7624	1166
2	y	330.0	0.6970	1198
2	y	390.0	0.7501	1813
2	y	450.0	0.8631	1958
2	y	510.0	0.7743	2122
2	y	570.0	0.6980	3420
3	wire	24.0	0.7269	1827
3	wire	72.0	0.8442	2587
3	wire	120.0	0.7602	2239
3	wire	168.0	0.7986	1971
3	wire	216.0	0.9215	1477
3	wire	264.0	0.8083	1680
3	wire	312.0	0.8847	2298
3	wire	360.0	0.7702	2145
3	wire	408.0	0.6733	2957
3	wire	456.0	0.7184	3611
3	y	30.0	0.3184	3398
3	y	90.0	0.8247	1392
3	y	150.0	0.8070	891
3	y	210.0	0.6881	747
3	y	270.0	0.9746	1065
3	y	330.0	0.9757	1443
3	y	390.0	0.9449	2306
3	y	450.0	0.9681	2725
3	y	510.0	0.8748	3505
3	y	570.0	0.7456	5106
