# doc pdhd/10 d10_coverage.py det=pdhd status=0 files=61
det	event	run	block	apa	npts	L	status	wire_med	frac_hi96	hit_u	pres_u	cov_u	covch_u	qhit_u	qpt_u	qpcm_u	hit_v	pres_v	cov_v	covch_v	qhit_v	qpt_v	qpcm_v	hit_w	pres_w	cov_w	covch_w	qhit_w	qpt_w	qpcm_w
pdhd	028084_0_d30hpost	028084	430	2	224	140.814	0	511	0	214	214	0.955357	0.955357	1.20676e+07	56390.6	85699	222	224	0.991071	1	1.20786e+07	54408	85777	224	224	1	1	5.20257e+06	23225.7	36946.5
pdhd	028084_0_d30hpost	028084	610	2	93	60.1085	0	511	0	32	91	0.344086	0.978495	241509	7547.16	4017.88	88	93	0.946237	1	2.75016e+06	31251.8	45753.2	36	80	0.387097	0.860215	1.14325e+06	31756.9	19019.7
pdhd	028084_0_d30hpost	028084	1080	3	228	142.727	0	445	0	142	172	0.622807	0.754386	3.57755e+06	25194	25065.7	145	228	0.635965	1	3.3514e+06	23113.1	23481.2	140	228	0.614035	1	2.05951e+06	14710.8	14429.7
pdhd	028084_0_d30hpost	028084	1170	3	514	333.005	0	343.5	0	512	514	0.996109	1	1.85131e+07	36158.5	55594.2	508	511	0.988327	0.994163	1.5873e+07	31246	47666	512	512	0.996109	0.996109	8.38558e+06	16378.1	25181.6
pdhd	028084_10_d30hpost	028084	310	0	222	138.517	0	577	0	201	208	0.905405	0.936937	5.54756e+06	27599.8	40049.7	208	219	0.936937	0.986486	8.99624e+06	43251.2	64946.9	188	221	0.846847	0.995495	1.73316e+06	9218.96	12512.3
pdhd	028084_10_d30hpost	028084	350	0	104	64.352	0	733	0	83	104	0.798077	1	2.28442e+06	27523.2	35498.9	82	104	0.788462	1	2.42693e+06	29596.7	37713.4	73	104	0.701923	1	836176	11454.5	12993.8
pdhd	028084_10_d30hpost	028084	390	2	898	570.408	0	680	0	846	868	0.942094	0.966592	3.78803e+07	44775.7	66409.1	848	879	0.944321	0.978842	3.96663e+07	46776.3	69540.2	722	881	0.804009	0.981069	1.82767e+07	25314	32041.5
pdhd	028084_10_d30hpost	028084	931	3	466	300.65	0	444	0	408	452	0.875536	0.969957	1.05068e+07	25752.1	34947.1	394	422	0.845494	0.905579	8.50734e+06	21592.2	28296.5	466	466	1	1	6.72824e+06	14438.3	22379
pdhd	028084_10_d30hpost	028084	1050	0	57	36.6233	0	903	1	55	55	0.964912	0.964912	3.5984e+06	65425.4	98254.4	57	57	1	1	3.59042e+06	62989.9	98036.7	57	57	1	1	2.00386e+06	35155.5	54715.6
pdhd	028084_10_d30hpost	028084	1050	1	252	161.913	0	452	0	247	247	0.980159	0.980159	9.96186e+06	40331.4	61525.9	238	242	0.944444	0.960317	8.80086e+06	36978.4	54355.3	246	248	0.97619	0.984127	4.67297e+06	18995.8	28860.9
pdhd	028084_10_d30hpost	028084	1050	3	95	61.0388	0	59	0	7	48	0.0736842	0.505263	69238	9891.14	1134.33	3	6	0.0315789	0.0631579	17911	5970.33	293.436	4	57	0.0421053	0.6	15552	3888	254.789
pdhd	028084_11_d30hpost	028084	440	0	207	125.384	0	782	0	131	145	0.63285	0.700483	7.1209e+06	54358	56792.8	23	53	0.111111	0.256039	1.11544e+06	48497.2	8896.17	48	120	0.231884	0.57971	669315	13944.1	5338.13
