apa	plane	run	ntrk	npts	cov	cov_ch	q_per_hit	q_per_cm
0	U	ALL	85	21395	0.8003	0.9061	45420	57584
0	U	028084	35	8176	0.8175	0.9287	49162	63632
0	U	029107	50	13219	0.7897	0.8922	43024	53840
0	V	ALL	85	21395	0.7815	0.8656	52917	65514
0	V	028084	35	8176	0.7752	0.8818	53439	65587
0	V	029107	50	13219	0.7855	0.8556	52599	65469
0	W	ALL	85	21395	0.7561	0.9615	20012	23970
0	W	028084	35	8176	0.7126	0.9761	21279	24007
0	W	029107	50	13219	0.7830	0.9525	19299	23947
1	U	ALL	65	15999	0.7597	0.8517	54592	65617
1	U	028084	35	8584	0.7449	0.8525	48787	57407
1	U	029107	30	7415	0.7769	0.8508	61034	75151
1	V	ALL	65	15999	0.7487	0.8572	44050	52174
1	V	028084	35	8584	0.7423	0.8707	37279	43714
1	V	029107	30	7415	0.7560	0.8417	51746	62000
1	W	ALL	65	15999	0.7714	0.8563	24026	29322
1	W	028084	35	8584	0.7732	0.8760	21569	26344
1	W	029107	30	7415	0.7694	0.8334	26884	32780
2	U	ALL	91	27401	0.5118	0.8676	50945	41951
2	U	028084	53	15227	0.4912	0.8511	44237	34981
2	U	029107	38	12174	0.5375	0.8883	58611	50659
2	V	ALL	91	27401	0.5329	0.8828	57180	49030
2	V	028084	53	15227	0.5140	0.8581	70767	58564
2	V	029107	38	12174	0.5565	0.9137	41483	37120
2	W	ALL	91	27401	0.4903	0.8409	23995	18931
2	W	028084	53	15227	0.4612	0.8213	23731	17621
2	W	029107	38	12174	0.5267	0.8655	24285	20566
3	U	ALL	94	22792	0.7771	0.8680	46193	56759
3	U	028084	48	11186	0.7760	0.8485	47352	57941
3	U	029107	46	11606	0.7781	0.8868	45078	55614
3	V	ALL	94	22792	0.7640	0.8501	50650	61185
3	V	028084	48	11186	0.7642	0.8456	49935	60172
3	V	029107	46	11606	0.7637	0.8545	51339	62167
3	W	ALL	94	22792	0.7780	0.8511	31199	38383
3	W	028084	48	11186	0.7791	0.8424	27242	33467
3	W	029107	46	11606	0.7770	0.8595	35023	43147
