# doc pdhd/10 d10_plane_census.py events=8
apa	occ_cells_per_evt	q_per_occupied_cell	occupancy	ratio_to_mean_apa13
0	34700	11852	0.0482	1.188
1	13614	9795	0.0189	0.982
2	17030	9310	0.0237	0.933
3	19123	10159	0.0266	1.018

# per-wire charge on the imaging collection face, 48-wire blocks, 1e6 e/event
block	apa0	apa1	apa2	apa3
0-47	41.33	11.12	15.64	15.37
48-95	44.38	16.39	11.59	16.72
96-143	41.60	11.43	16.00	15.63
144-191	41.62	7.57	16.85	15.26
192-239	40.71	9.36	21.12	23.30
240-287	44.58	12.31	12.28	23.61
288-335	40.82	13.13	17.10	20.24
336-383	33.63	18.68	14.84	20.41
384-431	38.50	15.48	16.91	25.70
432-479	44.10	17.90	16.23	18.04

# quiet wires (mean charge per event < 100000 e)
apa	nquiet	of	indices
0	1	480	217
1	1	480	0
2	2	480	88,479
3	6	480	26,27,29,30,254,479
