# doc pdhd/11 d11_fit_image.py  fit point -> nearest charge in the event (cm)
arm	event	block	cluster	npts	status	med	f3	f10	negq
OFF	028084_0_d11off	230	23	66	3	0.4495	0	0	0
OFF	028084_0_d11off	260	26	366	3	0.5585	0	0	0.0765
OFF	028084_0_d11off	280	28	565	2	0.4916	0.08142	0.0354	0.1434
OFF	028084_0_d11off	300	30	920	4	0.4966	0.08152	0.02174	0.1511
OFF	028084_0_d11off	350	35	1004	2	0.5348	0.2201	0.1016	0.253
OFF	028084_0_d11off	430	43	224	0	0.4107	0	0	0.1473
OFF	028084_0_d11off	440	44	979	4	0.5341	0.1073	0.05618	0.1553
OFF	028084_0_d11off	510	51	236	4	7.842	0.7161	0.4153	0.678
OFF	028084_0_d11off	610	61	93	0	7.085	0.6344	0.4086	0.2688
OFF	028084_0_d11off	910	91	100	2	0.6145	0	0	0
OFF	028084_0_d11off	960	96	68	3	8.558	0.7647	0.4265	0.9265
OFF	028084_0_d11off	970	97	233	2	6.647	0.6309	0.4077	0.515
OFF	028084_0_d11off	1050	105	285	2	0.589	0.193	0.02807	0.4316
OFF	028084_0_d11off	1051	105	280	2	0.6017	0.2	0.02857	0.3929
OFF	028084_0_d11off	1070	107	243	3	0.5728	0.2263	0.1276	0.3251
OFF	028084_0_d11off	1080	108	228	0	0.6949	0.307	0.1667	0.4254
OFF	028084_0_d11off	1140	114	752	2	0.5597	0.06383	0.03191	0.07314
OFF	028084_0_d11off	1150	115	323	2	2.278	0.4149	0.08978	0.6347
OFF	028084_0_d11off	1170	117	514	0	0.5482	0	0	0.01946
OFF	028084_0_d11off	1210	121	284	3	0.5565	0	0	0
OFF	028084_0_d11off	1250	125	263	3	0.503	0	0	0.02281
OFF	028084_0_d11off	1290	129	611	4	0.5747	0.09002	0.008183	0.18
OFF	028084_0_d11off	1300	130	1174	2	0.5573	0.04344	0.005963	0.07411
OFF	028084_0_d11off	1310	131	650	3	0.525	0	0	0.03231
OFF	028084_10_d11off	250	25	31	7	0.4719	0	0	0
OFF	028084_10_d11off	310	31	222	0	0.5018	0	0	0.4414
OFF	028084_10_d11off	340	34	1007	7	0.4732	0	0	0.03873
OFF	028084_10_d11off	350	35	104	0	0.6463	0.125	0	0.4904
OFF	028084_10_d11off	360	36	707	2	0.4815	0.05941	0.01414	0.08628
OFF	028084_10_d11off	390	39	898	0	0.3935	0.04009	0.01448	0.05791
OFF	028084_10_d11off	400	40	392	2	0.5263	0.2143	0.1556	0.1888
OFF	028084_10_d11off	410	41	355	3	0.4722	0	0	0.07042
OFF	028084_10_d11off	460	46	261	3	0.3879	0.003831	0	0.003831
OFF	028084_10_d11off	480	48	475	3	0.5088	0	0	0.01895
OFF	028084_10_d11off	490	49	673	7	0.4671	0	0	0.03269
OFF	028084_10_d11off	530	53	682	7	0.4655	0	0	0.08065
OFF	028084_10_d11off	720	72	103	7	0.5163	0	0	0.01942
OFF	028084_10_d11off	750	75	589	2	0.5278	0	0	0.005093
OFF	028084_10_d11off	800	80	863	3	0.5406	0	0	0.002317
OFF	028084_10_d11off	910	91	420	3	0.5793	0	0	0.01667
OFF	028084_10_d11off	930	93	464	2	0.5751	0.09914	0.04957	0.1336
OFF	028084_10_d11off	931	93	466	0	0.5817	0.09871	0.0515	0.1223
OFF	028084_10_d11off	950	95	118	3	0.577	0	0	0
OFF	028084_10_d11off	1050	105	404	0	0.5953	0.2203	0.1708	0.2327
OFF	028084_10_d11off	1060	106	1112	2	0.551	0.17	0.1052	0.1169
OFF	028084_10_d11off	1061	106	1110	2	0.5456	0.1712	0.1054	0.1189
OFF	028084_11_d11off	60	6	408	7	0.4916	0	0	0.08578
OFF	028084_11_d11off	350	35	385	7	0.5138	0.03896	0	0.2883
OFF	028084_11_d11off	440	44	207	0	11.16	0.7874	0.5604	0.5459
OFF	028084_11_d11off	450	45	441	2	1.218	0.4354	0.2222	0.3061
OFF	028084_11_d11off	451	45	433	2	1.435	0.4457	0.2194	0.3048
OFF	028084_11_d11off	520	52	1036	2	0.5121	0.09266	0.06371	0.1342
OFF	028084_11_d11off	550	55	510	2	0.5138	0.1216	0.07843	0.1373
OFF	028084_11_d11off	580	58	362	2	0.5627	0.1768	0.1105	0.2265
OFF	028084_11_d11off	610	61	226	3	0.4692	0	0	0
OFF	028084_11_d11off	660	66	400	4	0.4794	0	0	0.1575
OFF	028084_11_d11off	1050	105	207	2	11.72	0.715	0.5556	0.09179
OFF	028084_11_d11off	1090	109	356	2	0.5763	0.3146	0.2584	0.1067
OFF	028084_11_d11off	1150	115	647	4	0.5346	0	0	0.04637
OFF	028084_11_d11off	1160	116	256	7	0.5893	0.3008	0.207	0.3398
OFF	028084_11_d11off	1170	117	50	3	0.488	0	0	0.08
OFF	028084_11_d11off	1270	127	691	2	0.5398	0.11	0.06078	0.1433
OFF	028084_11_d11off	1290	129	215	3	0.8079	0.3814	0.1488	0.06977
OFF	028084_11_d11off	1320	132	1198	7	0.5156	0	0	0.04758
OFF	028084_12_d11off	290	29	403	3	0.6124	0.2109	0.04218	0.134
OFF	028084_12_d11off	300	30	415	2	3.871	0.5446	0.212	0.3422
OFF	028084_12_d11off	320	32	236	2	0.5536	0	0	0.08051
OFF	028084_12_d11off	340	34	710	4	0.4383	0	0	0.09718
OFF	028084_12_d11off	350	35	395	2	0.5619	0.319	0.1975	0.4405
