# doc pdhd/11 d11_seed_census.py
tag	nseed	maxedge	seedL	org1	map1	fit1	org2	map2	fit2	org3	org3f	final	ins
126/fwd/r1	3	593.8	593.8	497	215	180	1023	523	429	1040	-1	1030	0.5875
126/fwd/r2	4	592.1	593	496	189	150	1021	473	389	1030	-1	1019	0.6223
36/fwd/r2	99	332.7	1030	24	8	6	44	11	8	2	-1	2	-3
24/fwd/r2	314	291.1	867.6	28	9	7	4	4	4	3	-1	3	-0.3333
48/fwd/r2	44	146.5	664.1	66	28	26	130	79	65	129	-1	129	0.4961
48/fwd/r1	37	128.8	441.4	364	341	330	732	692	631	718	-1	705	0.1212
27/fwd/r2	83	67.18	309.8	25	15	12	47	30	19	54	-1	54	0.6481
121/fwd/r1	156	66.28	217	166	122	110	331	235	211	318	-1	310	0.3365
121/fwd/r2	158	66.28	218	166	122	113	335	234	212	330	-1	326	0.3576
110/fwd/r1	98	63.03	147.3	114	71	65	215	134	124	210	-1	210	0.4095
110/fwd/r2	94	63.03	147.3	115	72	66	217	136	124	214	-1	214	0.4206
47/fwd/r1	65	59.03	693.6	582	504	478	1060	991	979	1034	-1	1034	0.05319
47/fwd/r2	65	59.03	641.2	538	503	474	1059	990	978	1032	-1	1032	0.05233
50/fwd/r1	44	58.83	138.7	111	57	45	220	119	98	213	-1	213	0.5399
50/fwd/r2	43	58.83	138.4	111	57	45	220	119	98	213	-1	213	0.5399
127/fwd/r1	460	58.33	418.2	304	257	251	581	495	474	577	-1	571	0.1785
127/fwd/r2	460	58.33	418.2	304	257	251	581	495	474	577	-1	571	0.1785
41/fwd/r1	73	54.84	170.3	139	65	60	81	81	80	81	-1	81	0.01235
20/fwd/r1	419	53.36	581	440	409	401	865	802	775	850	-1	844	0.08824
20/fwd/r2	421	53.36	581.9	440	409	401	865	802	775	849	-1	843	0.08716
36/fwd/r1	85	51.48	415.9	338	83	60	677	157	102	677	-1	677	0.8493
118/fwd/r1	5	50.76	53.52	47	6	4	88	8	5	86	-1	86	0.9419
118/fwd/r2	5	50.76	53.52	47	6	4	88	8	5	86	-1	86	0.9419
25/fwd/r1	86	49.07	115.6	90	52	51	173	96	87	167	-1	167	0.479
25/fwd/r2	78	49.07	110.6	88	50	50	174	98	91	167	-1	167	0.4551
98/fwd/r1	18	41.14	116.9	97	19	14	189	32	22	189	-1	189	0.8836
98/fwd/r2	16	41.14	115.1	96	17	12	188	32	22	190	-1	190	0.8842
27/fwd/r1	62	36.75	147	120	81	63	237	166	127	237	-1	237	0.4641
51/fwd/r1	19	36.15	103.6	86	15	13	168	28	20	167	-1	167	0.8802
51/fwd/r2	20	36.15	103.4	85	14	12	168	27	20	167	-1	167	0.8802
125/fwd/r1	519	18.64	520.8	371	365	358	728	716	677	704	-1	700	0.03835
125/fwd/r2	519	18.64	522.4	371	365	357	729	717	679	708	-1	704	0.04096
102/fwd/r1	521	9.921	583.5	425	420	410	813	798	780	778	-1	769	-0.002571
102/fwd/r2	519	9.921	581.5	424	419	410	808	792	777	773	-1	764	-0.005175
28/fwd/r1	89	7.404	157.2	126	125	121	236	236	221	230	-1	230	0.03913
28/fwd/r2	98	7.404	161.4	126	125	119	244	244	228	242	-1	242	0.05785
24/fwd/r1	295	5.395	382.3	289	288	285	592	592	576	577	-1	577	0.001733
93/fwd/r1	103	4.8	137.3	106	106	104	193	193	193	187	-1	187	-0.03209
93/fwd/r2	103	4.8	137.3	106	106	104	193	193	193	187	-1	187	-0.03209
94/fwd/r2	258	4.629	283	200	200	195	386	386	386	367	-1	367	-0.05177
94/fwd/r1	257	4.161	281.6	199	199	195	383	383	383	366	-1	366	-0.04645
11/fwd/r1	235	4	281.7	215	215	213	404	404	398	377	-1	377	-0.0557
11/fwd/r2	235	4	281.7	215	215	213	404	404	398	377	-1	377	-0.0557
41/fwd/r2	68	2.4	61.68	49	49	48	79	79	78	78	-1	78	0
7/fwd/r1	3	0.315	0.63	3	3	3	4	4	4	3	-1	3	-0.3333
