# doc pdhd/11 d11_seed_census.py
tag	nseed	maxedge	seedL	org1	map1	fit1	org2	map2	fit2	org3	org3f	final	ins
33/fwd/r2	172	133.8	460.9	16	16	15	29	29	22	29	-1	29	0.2414
69/fwd/r1	11	114.1	192.9	163	49	39	317	91	76	318	-1	318	0.761
69/fwd/r2	13	114.1	187.3	158	44	36	309	83	74	314	-1	314	0.7643
70/fwd/r1	491	95.72	542.6	403	332	330	733	590	558	702	-1	701	0.2051
70/fwd/r2	492	95.72	544	404	333	331	733	590	558	704	-1	703	0.2074
73/fwd/r2	43	46.51	122.5	7	7	5	12	12	11	13	-1	13	0.1538
91/fwd/r1	57	46.05	118.3	95	71	64	179	133	111	183	-1	183	0.3934
91/fwd/r2	89	46.05	221.3	6	6	5	10	10	10	9	-1	9	-0.1111
75/fwd/r1	170	37.17	426.5	335	284	272	685	577	523	684	-1	684	0.2354
75/fwd/r2	172	37.17	427.6	335	284	271	677	569	515	680	-1	680	0.2426
121/fwd/r1	740	36.3	723.3	528	521	507	833	818	791	824	-1	808	0.04005
121/fwd/r2	741	36.3	729.6	7	7	7	13	13	9	13	-1	13	0.3077
108/fwd/r1	51	26.19	79.57	62	44	38	121	89	73	128	-1	128	0.4297
108/fwd/r2	55	26.19	99.48	10	10	9	18	18	15	19	-1	19	0.2105
24/fwd/r1	548	20.75	691.9	510	508	493	945	943	912	916	-1	914	0.004367
24/fwd/r2	548	20.75	690.7	509	507	497	941	939	910	920	-1	918	0.01087
113/fwd/r1	736	20.73	684	507	491	479	774	757	733	739	-1	728	0.008119
113/fwd/r2	725	20.73	672.1	498	490	478	770	754	730	740	-1	729	0.01351
98/fwd/r2	48	18.18	81.03	8	8	8	25	25	21	24	-1	24	0.125
125/fwd/r1	877	11.11	847.3	615	605	596	1059	1041	998	1014	-1	999	0.01578
125/fwd/r2	880	11.11	848.4	616	607	598	1059	1041	982	1017	-1	1002	0.03441
125/bwd/r1	877	11.11	847.3	609	599	588	1060	1042	1003	1017	-1	1002	0.01377
125/bwd/r2	876	11.11	847	609	600	589	1062	1044	1005	1018	-1	1002	0.01277
83/fwd/r1	542	10.85	466.8	339	333	332	479	479	467	478	-1	478	0.02301
83/fwd/r2	537	10.85	466	338	338	334	488	488	473	487	-1	487	0.02875
37/fwd/r1	450	10.84	383.9	283	282	276	400	399	396	388	-1	388	-0.02062
37/fwd/r2	450	10.84	383.9	283	282	276	400	399	396	389	-1	389	-0.01799
77/fwd/r1	244	10.25	366.7	282	281	280	548	546	530	526	-1	523	-0.007605
77/fwd/r2	245	10.25	367.3	283	282	279	547	545	529	528	-1	525	-0.001894
45/fwd/r1	423	10.02	377.8	283	283	278	422	422	412	408	-1	408	-0.009804
45/fwd/r2	424	10.02	381.8	284	284	281	425	425	413	409	-1	409	-0.00978
29/fwd/r1	408	9.948	369.9	271	271	267	480	479	466	468	-1	467	0.004274
29/fwd/r2	408	9.948	369.6	270	270	267	478	477	462	468	-1	467	0.01282
44/fwd/r1	484	9.799	426.2	307	302	299	463	462	458	454	-1	454	-0.008811
44/fwd/r2	484	9.799	426.2	307	302	299	463	462	458	454	-1	454	-0.008811
73/fwd/r1	33	8.512	72.3	58	58	52	97	97	92	99	-1	99	0.07071
76/fwd/r2	189	7.067	220.4	167	167	164	299	299	295	284	-1	284	-0.03873
88/fwd/r1	318	5.3	364.8	257	254	251	498	495	493	478	-1	475	-0.03138
88/fwd/r2	318	5.3	365.3	258	255	252	497	494	493	478	-1	475	-0.03138
33/fwd/r1	146	5.3	175.7	135	115	115	230	229	219	219	-1	219	0
27/fwd/r1	469	4.766	383.3	283	279	276	418	417	406	407	-1	407	0.002457
27/fwd/r2	464	4.766	379.6	279	277	274	416	416	405	407	-1	407	0.004914
76/fwd/r1	188	4.416	216.3	163	163	161	294	294	293	276	-1	276	-0.06159
103/fwd/r1	54	3.85	66.21	49	48	48	86	86	86	84	-1	84	-0.02381
103/fwd/r2	54	3.85	69.11	52	52	49	96	96	96	91	-1	91	-0.05495
101/fwd/r1	103	2.715	93.65	70	70	70	107	107	107	104	-1	104	-0.02885
30/fwd/r1	465	2.65	423.2	309	303	300	469	468	456	448	-1	448	-0.01786
30/fwd/r2	462	2.65	416.7	302	302	299	469	469	450	447	-1	447	-0.006711
31/fwd/r1	318	2.65	289.5	210	210	207	339	339	333	326	-1	326	-0.02147
31/fwd/r2	318	2.65	292.1	212	212	209	338	338	332	324	-1	324	-0.02469
101/fwd/r2	103	2.65	93.94	70	70	70	110	110	107	106	-1	106	-0.009434
98/fwd/r1	44	2.65	40.52	33	27	27	49	49	46	47	-1	47	0.02128
56/fwd/r2	309	2.65	281.7	209	203	202	298	295	294	295	-1	295	0.00339
48/fwd/r2	155	2.65	142.6	108	108	104	169	169	162	167	-1	167	0.02994
36/fwd/r1	339	2.411	290.3	212	212	210	309	309	308	306	-1	306	-0.006536
36/fwd/r2	340	2.411	291.6	213	213	211	310	310	309	306	-1	306	-0.009804
106/fwd/r1	98	2.411	93.3	68	68	68	117	117	116	113	-1	113	-0.02655
106/fwd/r2	99	2.411	94.19	69	69	68	117	117	115	112	-1	112	-0.02679
115/fwd/r1	251	2.337	213.6	162	162	160	227	227	222	212	-1	212	-0.04717
115/fwd/r2	252	2.337	217.1	164	164	157	231	231	225	213	-1	213	-0.05634
94/fwd/r2	572	2.337	516.3	368	368	362	512	511	504	500	-1	500	-0.008
94/fwd/r1	583	2.337	519.4	369	363	356	506	505	501	496	-1	496	-0.01008
56/fwd/r1	312	2.176	283.7	210	206	204	295	292	291	289	-1	289	-0.00692
48/fwd/r1	154	2.043	138.9	104	104	103	166	166	164	163	-1	163	-0.006135
99/fwd/r1	118	1.995	109.6	80	80	79	126	126	123	124	-1	124	0.008065
99/fwd/r2	110	1.995	102	74	74	74	126	126	123	125	-1	125	0.016
110/fwd/r1	274	1.995	237	170	170	168	262	262	261	248	-1	248	-0.05242
110/fwd/r2	275	1.995	239.3	171	171	169	262	262	261	248	-1	248	-0.05242
35/fwd/r1	217	1.863	173.1	134	132	129	173	173	169	172	-1	172	0.01744
35/fwd/r2	214	1.863	172.2	133	132	129	174	174	170	171	-1	171	0.005848
40/fwd/r1	121	1.863	111.1	86	84	84	114	114	113	111	-1	111	-0.01802
