# doc pdhd/08 STM-flip hand scan -- ANSWER KEY.  Read by score_d08_scan.py only.
scan_id	event	cluster	direction	core_all_caps	also_flips_mrg3	partition_moved
1	17	108	gained	0	0	0
2	13	116	lost	1	0	0
3	14	119	gained	0	0	0
4	28	106	gained	0	0	0
5	18	27	gained	0	0	0
6	4	64	gained	0	0	0
7	16	111	lost	1	0	0
8	17	20	gained	0	1	0
9	12	48	lost	1	0	0
10	25	54	lost	0	0	0
11	15	52	lost	0	1	0
12	25	36	lost	0	0	0
13	22	36	gained	0	1	0
14	5	50	lost	0	0	0
15	18	28	lost	0	0	0
16	4	22	gained	0	0	0
17	10	58	lost	0	0	0
18	14	28	lost	0	0	0
19	8	34	lost	0	0	0
20	6	113	lost	0	1	0
21	25	42	gained	0	1	0
22	1	98	gained	0	0	0
23	20	34	gained	0	0	0
24	7	40	gained	0	0	0
25	15	131	gained	0	0	0
26	3	48	lost	0	0	1
27	0	102	gained	0	0	0
28	14	45	lost	1	0	0
29	27	109	gained	0	0	0
30	21	116	lost	1	1	0
31	1	92	lost	0	0	0
32	28	27	lost	0	0	0
33	24	27	lost	0	1	0
34	7	33	gained	0	0	0
35	1	57	lost	0	0	0
36	0	56	lost	0	0	0
37	12	25	gained	0	0	0
38	18	131	lost	0	0	0
39	26	36	gained	0	0	1
40	1	32	lost	0	0	0
41	3	46	gained	0	1	0
42	24	94	gained	0	0	0
43	17	124	gained	0	0	0
44	14	24	lost	0	0	0
45	15	37	lost	1	0	0
