# doc pdhd/08 STM-flip hand scan -- ITEM LIST, no verdicts.
# base=d08goff arm=d08cap10 seed=20260906.  DIRECTION IS DELIBERATELY ABSENT.
# partition_moved=1: the two arms do not agree on this cluster's point set
#   (2 of 45 items); the display shows the d08goff partition.
scan_id	tranche	event	cluster	npts	length_cm	partition_moved
1	1	17	108	117	75.9	0
2	1	13	116	517	105.1	0
3	1	14	119	4743	603.3	0
4	1	28	106	470	89.5	0
5	1	18	27	452	134.5	0
6	1	4	64	272	78.2	0
7	1	16	111	32	64.6	0
8	1	17	20	4419	419.3	0
9	1	12	48	401	130.2	0
10	1	25	54	2224	175.3	0
11	1	15	52	212	280.1	0
12	1	25	36	9	37.2	0
13	1	22	36	163	196.9	0
14	1	5	50	8379	455.0	0
15	1	18	28	508	248.5	0
16	1	4	22	428	155.5	0
17	1	10	58	103	192.1	0
18	1	14	28	125	132.2	0
19	1	8	34	21	41.9	0
20	1	6	113	48	57.1	0
21	2	25	42	160	86.2	0
22	2	1	98	7740	599.1	0
23	2	20	34	15	41.3	0
24	2	7	40	118	154.7	0
25	2	15	131	1607	182.6	0
26	2	3	48	10	51.8	1
27	2	0	102	124	36.4	0
28	2	14	45	191	91.5	0
29	2	27	109	1730	129.9	0
30	2	21	116	1598	255.2	0
31	2	1	92	13	33.1	0
32	2	28	27	17374	353.7	0
33	2	24	27	151	92.3	0
34	2	7	33	32	45.9	0
35	2	1	57	53	44.2	0
36	2	0	56	56	95.8	0
37	2	12	25	13547	480.5	0
38	2	18	131	6395	491.3	0
39	2	26	36	17	2.9	1
40	2	1	32	630	130.6	0
41	2	3	46	59	69.6	0
42	2	24	94	176	88.7	0
43	2	17	124	21	46.6	0
44	2	14	24	2727	217.1	0
45	2	15	37	512	126.6	0
