# doc pdhd/12 -- ANSWER KEY for the pdhd STM + Michel scan.
# Committed on purpose: it is the record of the sample at arm d15hnu /
# HEAD c0b1613b, and a scan whose key lives only beside a work/ arm stops
# being scorable the day that arm is retired.
# THE BLIND ON THIS FILE IS AN HONOUR RULE, NOT A STRUCTURAL ONE, and doc
# pdhd/12 sec 6 says so.  What IS structural is the display: the viewer
# never opens this file, and the chain's answer reaches no data source
# unless REVEAL is on -- proved by poisoning it.  Do not open this while
# scanning, and that goes for an assistant reading it on your behalf.
scan_id	tranche	stratum	event	cluster	npts	muon_len_cm	is_stm	michel_found	michel_conn_type	michel_len	michel_ke_best	michel_kink_deg	n_dots	in_fv	reject_bits	reject_names	n_near	n_far
2	1	S3	028084_0	43	231	142.17	0	1	3	0.0	15.87	-1.0	0	0	584	shape_flat|stop_near_boundary|profile_sparse	1003	7609
3	1	S1	028084_0	97	105	62.03	1	1	1	8.4	23.84	69.5	0	1	0	STM	1033	7606
9	1	S3	028084_1	39	290	180.99	0	1	1	6.41	8.99	167.1	0	1	1036	no_bragg|shape_flat|plateau_off_mip	497	7659
12	1	S1	028084_1	142	337	201.38	1	1	1	10.8	24.52	30.1	1	1	0	STM	1467	7595
15	1	S4	028084_10	109	978	589.5	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	6921	7849
17	1	S2	028084_11	59	325	193.69	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1591	7477
35	1	S3	028084_15	102	284	169.02	0	1	1	2.35	2.02	135.4	0	1	12	no_bragg|shape_flat	1349	7703
37	1	S4	028084_16	106	739	449.62	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	4963	7921
42	1	S1	028084_17	55	606	367.21	1	1	1	8.36	7.69	169.3	0	1	0	STM	4785	7503
43	1	S1	028084_17	97	594	355.33	1	1	1	14.32	31.64	77.0	0	1	0	STM	4341	7540
45	1	S3	028084_17	113	226	133.24	0	1	2	0.2	0.45	-1.0	1	0	76	no_bragg|shape_flat|stop_near_boundary	1430	7783
55	1	S4	028084_2	27	118	67.84	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	783	7820
62	1	S1	028084_20	107	189	112.39	1	1	2	0.32	6.15	-1.0	1	1	0	STM	1182	7505
66	1	S2	028084_21	26	1052	635.05	1	0	0	0.0	0.0	-1.0	0	1	0	STM	16096	7563
70	1	S4	028084_21	128	438	259.93	0	0	0	0.0	0.0	-1.0	0	0	584	shape_flat|stop_near_boundary|profile_sparse	1634	7519
79	1	S1	028084_23	51	582	348.22	1	1	1	4.43	10.93	109.9	0	1	0	STM	3047	7770
86	1	S1	028084_24	52	117	69.67	1	1	2	0.41	2.81	-1.0	1	1	0	STM	1975	7748
94	1	S1	028084_26	109	83	49.47	1	1	2	0.04	2.84	-1.0	2	1	0	STM	601	7452
115	1	S2	028084_3	27	317	189.98	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2669	7789
