run,evt,plane,ch1,ch2,t1,t2,asym,type,real,note
27409,0,U,70,74,980,1105,-0.71,L_long+asym,Yes,
27409,0,U,285,286,2792,2907,0.45,L_long+fill_shape,Yes,GT ch=286
27409,0,U,324,327,5831,5947,0.86,L_long+asym+fill_shape,Yes,GT
27409,0,U,589,589,1490,1638,0.86,L_long+asym,Yes,
27409,1,U,263,265,1310,1475,0.78,L_long+asym,Yes,
27409,1,U,276,280,4632,4686,-0.88,asym,Yes,
27409,1,U,291,296,3093,3221,-0.97,L_long+asym+fill_shape,Yes,
27409,1,U,462,464,4706,4762,-0.89,asym,Yes,
27409,1,U,485,485,1607,1665,0.95,asym,Yes,
27409,1,U,489,489,5277,5333,0.71,asym,Yes,
27409,1,U,541,558,4741,5101,0.35,L_long,Yes,ch=540-565
27409,1,U,541,558,4632,4758,-0.43,L_long,Yes,ch=540-565
27409,1,U,562,568,4755,5056,-0.46,L_long,Yes,ch=540-565
27409,1,U,566,568,4187,4409,0.49,L_long+fill_shape,Yes,GT ch=566-568
27409,1,U,577,579,1659,1761,0.51,L_long+asym+fill_shape,Yes,GT ch=578
27409,1,U,579,580,5663,5807,0.97,L_long+asym,Yes,
27409,1,U,610,613,3105,3234,-0.78,L_long+asym+fill_shape,Yes,
27409,1,U,672,676,4722,4756,-0.95,asym,Yes,EXTRA
27409,2,U,36,43,1175,1342,-0.94,L_long+asym+fill_shape,Yes,GT ch=39-41
27409,2,U,181,184,5656,5920,0.72,L_long+asym,Yes,ch=183-185
27409,2,U,355,356,4699,4807,0.44,L_long,Yes,
27409,2,U,493,494,2385,2516,0.75,L_long+asym,Yes,
27409,2,U,562,563,4187,4287,-0.67,L_long+asym+fill_shape,Yes,
27409,2,U,681,689,1149,1351,-0.83,L_long+asym+fill_shape,Yes,
27409,2,U,707,707,72,217,0.53,L_long+asym,Yes,
27409,2,U,713,714,4868,4925,0.45,fill_shape,Yes,GT ch=714
27409,3,U,101,103,4514,4557,-0.89,asym,Yes,
27409,3,U,180,184,2358,2417,-0.94,asym,Yes,
27409,3,U,248,253,3934,4028,-0.96,L_long+asym+fill_shape,Yes,
27409,3,U,288,289,4432,4556,-0.82,L_long+asym,Yes,
27409,3,U,322,327,5552,5591,-1.00,asym,Yes,
27409,3,U,349,357,2654,2855,-0.86,L_long+asym,Yes,
27409,3,U,562,569,5538,5593,-0.84,asym,Yes,
27409,3,U,631,632,2736,2819,0.84,L_long+asym+fill_shape,Yes,
27409,4,U,150,152,2977,3203,0.80,L_long+asym+fill_shape,Yes,
27409,4,U,206,207,4865,5001,0.51,L_long+asym,Yes,
27409,4,U,513,514,252,337,0.77,L_long+asym,Yes,
27409,5,U,169,174,5314,5346,-0.94,asym,Yes,
27409,5,U,255,260,5305,5349,-0.95,asym,Yes,
27409,5,U,407,410,2729,2912,0.82,L_long+asym,Yes,
27409,5,U,492,496,1475,1548,-0.96,asym,Yes,
27409,5,U,570,576,1353,1566,-0.96,L_long+asym+fill_shape,Yes,
27409,5,U,670,674,2897,3049,0.83,L_long+asym,Yes,
27409,6,U,105,112,3330,3489,-0.84,L_long+asym,Yes,
27409,6,U,225,227,3523,3587,-0.92,asym,Yes,
27409,6,U,275,276,3937,4065,0.75,L_long+asym,Yes,
27409,6,U,283,286,3477,3582,-0.98,L_long+asym,Yes,
27409,6,U,379,383,3374,3537,-0.86,L_long+asym,Yes,
27409,6,U,542,547,3417,3477,-0.94,asym,Yes,
27409,7,U,18,32,5189,5375,-0.84,L_long+asym+fill_shape,Yes,
27409,7,U,387,392,3645,3877,0.59,L_long+asym+fill_shape,Yes,
27409,7,U,387,393,3651,3878,0.51,L_long+asym,Yes,
27409,7,U,591,592,2686,2836,0.76,L_long+asym,Yes,
27409,7,U,650,652,4667,4745,-0.79,asym+fill_shape,Yes,
27409,7,U,700,707,5252,5377,-0.84,L_long+asym+fill_shape,Yes,
27409,7,U,733,737,4694,4739,-0.96,asym,Yes,
27409,8,U,95,109,3656,3691,-0.67,asym,Yes,
27409,8,U,168,179,3012,3089,-0.80,asym,Yes,
27409,8,U,181,182,3046,3242,0.51,L_long+asym+fill_shape,Yes,
27409,8,U,184,191,2993,3068,-0.96,asym,Yes,
27409,8,U,201,205,2908,3015,-0.92,L_long+asym+fill_shape,Yes,
27409,8,U,296,299,5650,5814,0.71,L_long+asym+fill_shape,Yes,
27409,8,U,340,350,3513,3570,-0.84,asym+fill_shape,Yes,
27409,8,U,473,477,3411,3570,-0.97,L_long+asym+fill_shape,Yes,
