detector	plane	wall	drift_volume	|x|_cm	inset_cm	cushion_cm	effective_cm	flat_shell_cm	tighter_than_shell
PDHD	y	lo	neg	2.540	21.62	3.0	24.62	17.5	yes
PDHD	y	lo	neg	43.270	21.62	3.0	24.62	17.5	yes
PDHD	y	lo	neg	126.000	21.37	3.0	24.37	17.5	yes
PDHD	y	lo	neg	210.000	18.85	3.0	21.85	17.5	yes
PDHD	y	lo	neg	304.990	18.85	3.0	21.85	17.5	yes
PDHD	y	lo	neg	357.985	18.85	3.0	21.85	17.5	yes
PDHD	y	lo	pos	2.540	16.93	3.0	19.93	17.5	yes
PDHD	y	lo	pos	43.270	16.93	3.0	19.93	17.5	yes
PDHD	y	lo	pos	126.000	15.41	3.0	18.41	17.5	yes
PDHD	y	lo	pos	210.000	13.58	3.0	16.58	17.5	no
PDHD	y	lo	pos	304.990	13.58	3.0	16.58	17.5	no
PDHD	y	lo	pos	357.985	13.58	3.0	16.58	17.5	no
PDHD	y	hi	neg	2.540	20.61	3.0	23.61	17.5	yes
PDHD	y	hi	neg	43.270	20.61	3.0	23.61	17.5	yes
PDHD	y	hi	neg	126.000	14.92	3.0	17.92	17.5	yes
PDHD	y	hi	neg	210.000	14.92	3.0	17.92	17.5	yes
PDHD	y	hi	neg	304.990	6.63	3.0	9.63	17.5	no
PDHD	y	hi	neg	357.985	6.63	3.0	9.63	17.5	no
PDHD	y	hi	pos	2.540	21.34	3.0	24.34	17.5	yes
PDHD	y	hi	pos	43.270	21.34	3.0	24.34	17.5	yes
PDHD	y	hi	pos	126.000	16.94	3.0	19.94	17.5	yes
PDHD	y	hi	pos	210.000	16.05	3.0	19.05	17.5	yes
PDHD	y	hi	pos	304.990	16.05	3.0	19.05	17.5	yes
PDHD	y	hi	pos	357.985	16.05	3.0	19.05	17.5	yes
PDHD	z	lo	neg	2.540	23.03	3.0	26.03	18.0	yes
PDHD	z	lo	neg	43.270	23.03	3.0	26.03	18.0	yes
PDHD	z	lo	neg	126.000	23.03	3.0	26.03	18.0	yes
PDHD	z	lo	neg	210.000	8.86	3.0	11.86	18.0	no
PDHD	z	lo	neg	304.990	8.86	3.0	11.86	18.0	no
PDHD	z	lo	neg	357.985	8.86	3.0	11.86	18.0	no
PDHD	z	lo	pos	2.540	19.75	3.0	22.75	18.0	yes
PDHD	z	lo	pos	43.270	19.75	3.0	22.75	18.0	yes
PDHD	z	lo	pos	126.000	19.75	3.0	22.75	18.0	yes
PDHD	z	lo	pos	210.000	17.35	3.0	20.35	18.0	yes
PDHD	z	lo	pos	304.990	12.39	3.0	15.39	18.0	no
PDHD	z	lo	pos	357.985	12.39	3.0	15.39	18.0	no
PDHD	z	hi	neg	2.540	20.20	3.0	23.20	18.0	yes
PDHD	z	hi	neg	43.270	20.20	3.0	23.20	18.0	yes
PDHD	z	hi	neg	126.000	18.00	3.0	21.00	18.0	yes
PDHD	z	hi	neg	210.000	18.00	3.0	21.00	18.0	yes
PDHD	z	hi	neg	304.990	14.55	3.0	17.55	18.0	no
PDHD	z	hi	neg	357.985	14.55	3.0	17.55	18.0	no
PDHD	z	hi	pos	2.540	28.14	3.0	31.14	18.0	yes
PDHD	z	hi	pos	43.270	28.14	3.0	31.14	18.0	yes
PDHD	z	hi	pos	126.000	28.14	3.0	31.14	18.0	yes
PDHD	z	hi	pos	210.000	28.14	3.0	31.14	18.0	yes
PDHD	z	hi	pos	304.990	19.14	3.0	22.14	18.0	yes
PDHD	z	hi	pos	357.985	19.14	3.0	22.14	18.0	yes
PDVD	y	lo	neg	3.000	13.84	5.0	18.84	17.5	yes
PDVD	y	lo	neg	41.500	13.84	5.0	18.84	17.5	yes
PDVD	y	lo	neg	120.000	10.20	5.0	15.20	17.5	no
PDVD	y	lo	neg	200.000	6.26	5.0	11.26	17.5	no
PDVD	y	lo	neg	290.000	6.26	5.0	11.26	17.5	no
PDVD	y	lo	neg	339.910	6.26	5.0	11.26	17.5	no
PDVD	y	lo	pos	3.000	14.32	5.0	19.32	17.5	yes
PDVD	y	lo	pos	41.500	14.32	5.0	19.32	17.5	yes
PDVD	y	lo	pos	120.000	14.32	5.0	19.32	17.5	yes
PDVD	y	lo	pos	200.000	3.67	5.0	8.67	17.5	no
PDVD	y	lo	pos	290.000	3.67	5.0	8.67	17.5	no
PDVD	y	lo	pos	339.910	3.67	5.0	8.67	17.5	no
PDVD	y	hi	neg	3.000	21.14	5.0	26.14	17.5	yes
PDVD	y	hi	neg	41.500	21.14	5.0	26.14	17.5	yes
PDVD	y	hi	neg	120.000	4.99	5.0	9.99	17.5	no
PDVD	y	hi	neg	200.000	4.99	5.0	9.99	17.5	no
PDVD	y	hi	neg	290.000	1.75	5.0	6.75	17.5	no
PDVD	y	hi	neg	339.910	1.75	5.0	6.75	17.5	no
PDVD	y	hi	pos	3.000	22.50	5.0	27.50	17.5	yes
PDVD	y	hi	pos	41.500	22.50	5.0	27.50	17.5	yes
PDVD	y	hi	pos	120.000	2.61	5.0	7.61	17.5	no
PDVD	y	hi	pos	200.000	2.61	5.0	7.61	17.5	no
PDVD	y	hi	pos	290.000	1.92	5.0	6.92	17.5	no
PDVD	y	hi	pos	339.910	1.92	5.0	6.92	17.5	no
PDVD	z	lo	neg	3.000	16.58	5.0	21.58	18.0	yes
PDVD	z	lo	neg	41.500	16.58	5.0	21.58	18.0	yes
PDVD	z	lo	neg	120.000	14.78	5.0	19.78	18.0	yes
PDVD	z	lo	neg	200.000	6.94	5.0	11.94	18.0	no
PDVD	z	lo	neg	290.000	6.94	5.0	11.94	18.0	no
PDVD	z	lo	neg	339.910	6.94	5.0	11.94	18.0	no
PDVD	z	lo	pos	3.000	31.61	5.0	36.61	18.0	yes
PDVD	z	lo	pos	41.500	31.61	5.0	36.61	18.0	yes
PDVD	z	lo	pos	120.000	9.48	5.0	14.48	18.0	no
PDVD	z	lo	pos	200.000	6.90	5.0	11.90	18.0	no
PDVD	z	lo	pos	290.000	6.90	5.0	11.90	18.0	no
PDVD	z	lo	pos	339.910	6.90	5.0	11.90	18.0	no
PDVD	z	hi	neg	3.000	25.38	5.0	30.38	18.0	yes
PDVD	z	hi	neg	41.500	25.38	5.0	30.38	18.0	yes
PDVD	z	hi	neg	120.000	16.48	5.0	21.48	18.0	yes
