det	event	seg	rr	dqdx	x	y	z	dx
pdhd	028084_1_d30hnupost	215729117	0.00	17013.1	109.78	555.45	215.42	0.626
pdhd	028084_1_d30hnupost	215729117	0.65	5446.7	109.41	555.96	215.55	0.977
pdhd	028084_1_d30hnupost	215729117	1.95	763.8	108.65	556.99	215.82	0.952
pdhd	028084_1_d30hnupost	215729117	3.75	1391.4	107.61	557.71	216.18	0.600
pdhd	028084_1_d30hnupost	215729117	4.35	5539.9	107.13	558.05	216.32	0.600
pdhd	028084_1_d30hnupost	215729117	4.95	11443.1	106.65	558.38	216.45	0.600
pdhd	028084_1_d30hnupost	215729117	5.55	18254.5	106.16	558.71	216.57	0.600
pdhd	028084_1_d30hnupost	215729117	6.15	26131.6	105.68	559.05	216.68	0.600
pdhd	028084_1_d30hnupost	215729117	6.75	35107.3	105.19	559.38	216.80	5.093
pdhd	028084_1_d30hnupost	215729117	16.34	44259.2	97.24	564.73	216.59	5.093
pdhd	028084_1_d30hnupost	215729117	16.94	52568.9	96.74	565.06	216.57	0.600
pdhd	028084_1_d30hnupost	215729117	17.54	59982.9	96.25	565.40	216.55	0.600
pdhd	028084_1_d30hnupost	215729117	18.14	66811.4	95.75	565.73	216.53	0.600
pdhd	028084_1_d30hnupost	215729117	18.74	72689.5	95.25	566.06	216.51	0.600
pdhd	028084_1_d30hnupost	215729117	19.34	78395.4	94.86	566.49	216.67	0.600
pdhd	028084_1_d30hnupost	215729117	19.94	83200.8	94.48	566.92	216.84	0.600
pdhd	028084_1_d30hnupost	215729117	20.54	88258.6	94.11	567.13	217.26	0.600
pdhd	028084_1_d30hnupost	215729117	21.14	92834.6	93.73	567.34	217.68	0.600
pdhd	028084_1_d30hnupost	215729117	21.74	96882.9	93.34	567.55	218.09	0.600
pdhd	028084_1_d30hnupost	215729117	22.34	99979.5	92.95	567.75	218.50	0.600
pdhd	028084_1_d30hnupost	215729117	22.94	102598.4	92.57	567.96	218.91	0.600
pdhd	028084_1_d30hnupost	215729117	23.54	104646.7	92.12	568.22	219.21	0.600
pdhd	028084_1_d30hnupost	215729117	24.14	106059.4	91.70	568.45	219.57	0.600
pdhd	028084_1_d30hnupost	215729117	24.74	106803.2	91.59	569.03	219.67	0.600
pdhd	028084_1_d30hnupost	215729117	25.34	107084.1	91.14	569.20	220.04	0.600
pdhd	028084_1_d30hnupost	215729117	25.94	106926.8	90.70	569.38	220.41	0.600
pdhd	028084_1_d30hnupost	215729117	26.54	106383.6	90.47	569.84	220.71	0.600
pdhd	028084_1_d30hnupost	215729117	27.14	105612.1	90.04	569.84	221.13	0.600
pdhd	028084_1_d30hnupost	215729117	27.74	104714.8	89.69	570.23	221.43	0.600
