# doc pdvd/50 d50_dqdx_rr_cross.py det=pdhd ref=stm/pdhd_ref_dqdx.json status=5 max_abs_x=1e+09 low_thr=21844 (0.40 x plateau 54609.2) complete_max_flow=0.05 files=61
det	event	block	cluster	status	npts	nkept	ngood	length	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdhd	028084_15_d30hpost	470	47	5	221	221	220	138.9567	221	139.5567	0.0000	0	0.3818	0.0000	138.9567	8	0.5293	0.4546	0.9091	0.2707	0.9463	muon	1.4564	0	0	nan	nan	nan	29961	40684	28716	5505	35455	16317	111852	69549	2	2	2	4	3	5	8	8	15	16	30
pdhd	028084_17_d30hpost	350	35	5	526	526	518	326.5731	526	327.1731	0.0000	0	0.5656	0.0000	326.5731	8	1.0670	0.3486	0.8975	0.2076	0.9441	muon	2.2730	0	0	nan	nan	nan	9143	13369	19336	22380	10147	40869	76619	61739	2	2	1	3	3	5	9	8	16	16	29
pdhd	028084_23_d30hpost	460	46	5	210	210	170	129.7676	210	130.3676	0.0000	0	0.4000	0.0000	129.7676	6	nan	0.1871	0.7591	0.1102	0.7856	muon	1.7331	0	0	nan	nan	nan	4178	16087	23874	22036	7200	nan	nan	23259	2	1	2	3	4	4	9	6	0	0	32
pdhd	028084_27_d30hpost	310	31	5	449	449	449	282.3913	449	282.9913	0.0000	0	0.2227	0.0000	282.3913	8	1.3444	0.3664	0.7682	0.2182	0.8040	muon	4.1586	0	0	nan	nan	nan	8079	17281	19641	19705	71939	27506	28477	50726	2	2	2	3	4	5	8	9	16	16	31
pdhd	028084_4_d30hpost	150	15	5	80	80	80	51.1875	80	51.7875	0.0000	0	0.2250	0.0000	51.1875	8	3.7385	0.5429	0.3072	0.3233	0.3267	muon	4.9922	0	0	nan	nan	nan	25417	53707	36882	37412	38414	35671	50727	27408	2	2	1	4	3	5	8	6	16	15	18
pdhd	028084_8_d30hpost	1040	104	5	462	462	443	304.1741	462	297.9128	0.0000	0	0.0271	0.0000	304.1741	5	1.5921	0.6565	0.7898	0.4015	0.8256	muon	1.8539	0	1	nan	nan	nan	nan	nan	nan	9384	54847	55840	61845	58047	2	1	0	0	0	0	3	8	15	16	31
pdhd	029107_11_d30hpost	781	78	5	249	249	193	156.5469	249	157.1469	0.0000	0	0.0363	0.0000	156.5469	6	2.2655	1.0583	0.4114	0.6305	0.4498	muon	0.9683	0	1	nan	nan	nan	47039	84775	104036	69130	nan	nan	53985	111763	2	2	1	3	3	4	7	1	0	12	31
pdhd	029107_14_d30hpost	450	45	5	158	158	92	97.1398	158	97.7398	0.0000	0	0.0761	0.0000	97.1398	3	0.4400	1.1676	0.7736	0.7301	0.7524	proton	0.0000	0	0	65655	nan	nan	nan	nan	nan	nan	nan	129198	108425	nan	3	1	0	0	0	0	0	0	15	16	0
pdhd	029107_16_d30hpost	1290	129	5	614	614	614	394.3198	614	392.4153	0.0000	0	0.0765	0.0000	394.3198	8	3.0191	0.7974	0.4879	0.4749	0.5139	muon	4.0657	0	0	nan	nan	nan	98189	66281	18134	74712	42189	51489	68155	59529	2	2	1	3	3	5	7	8	16	15	32
pdhd	029107_20_d30hpost	1450	145	5	226	226	226	141.9515	226	142.5515	0.0000	0	0.0000	0.0000	141.9515	8	2.2072	0.9920	0.0538	0.5908	0.0947	muon	1.7663	1	1	nan	nan	nan	80273	84289	72745	69820	64529	57976	58906	58887	2	1	1	4	3	4	9	7	15	16	31
pdhd	029107_4_d30hpost	710	71	5	125	124	122	77.0115	123	76.3387	1.2728	1	0.2705	0.0000	76.3491	8	2.2051	1.2647	0.3607	0.7532	0.3428	proton	5.2669	0	0	nan	nan	nan	214261	126570	66644	87670	61346	83543	96227	39830	2	2	1	4	3	4	7	8	15	16	31
pdhd	029107_5_d30hpost	440	44	5	596	596	595	385.2516	596	381.7211	0.0000	0	0.0689	0.0000	385.2516	8	2.2820	0.8128	0.3243	0.4841	0.3546	muon	2.6088	0	0	nan	nan	nan	84378	58422	70951	44883	25520	56485	64474	62051	2	1	2	3	3	4	8	7	16	16	31
pdhd	029107_6_d30hpost	450	45	5	439	439	415	271.4099	439	272.0099	0.0000	0	0.2386	0.0000	271.4099	8	3.4144	0.5963	0.6120	0.3551	0.6266	muon	3.4207	0	0	nan	nan	nan	13181	39641	69398	87238	44348	30193	38266	46888	2	2	0	3	3	5	7	7	16	16	32
