# doc pdvd/50 d50_dqdx_rr_cross.py det=pdvd ref=stm/pdvd_ref_dqdx_045.json status=5 max_abs_x=305 low_thr=21586 (0.40 x plateau 53965.5) complete_max_flow=0.05 files=120
det	event	block	cluster	status	npts	nkept	ngood	length	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdvd	039252_12_d42fit	1020	102	5	202	202	202	129.0308	202	128.8939	0.0000	0	0.0248	0.0000	129.0308	7	3.2114	0.7511	0.2445	0.4571	0.2706	muon	1.3517	0	1	nan	nan	nan	39609	nan	58941	64077	48995	37992	48923	50708	2	2	1	4	2	5	8	8	17	15	30
pdvd	039252_15_d42fit	1020	102	5	748	748	747	490.6534	748	480.2529	0.0000	0	0.0442	0.0000	490.6534	8	3.1559	0.8197	0.2237	0.4958	0.2533	muon	2.1576	0	1	nan	nan	nan	45027	71549	63250	64007	40263	53567	52634	56491	2	2	2	3	3	4	6	8	14	16	32
pdvd	039252_2_d42fit	1130	113	5	114	113	0	70.9370	112	70.1053	1.4318	1	nan	nan	nan	0	nan	nan	nan	nan	nan	none	2.9136	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0
pdvd	039252_4_d42fit	1260	126	5	561	561	555	367.3366	561	354.9815	0.0000	0	0.0613	0.0000	367.3366	8	3.5830	1.2352	0.1797	0.7471	0.1428	proton	1.6806	0	0	nan	nan	nan	148674	118605	105674	83398	66571	66654	59304	54350	2	1	2	3	3	5	8	7	16	15	32
pdvd	039252_8_d42fit	720	72	5	732	732	615	459.1271	732	457.4865	0.0000	0	0.1024	0.0000	390.2243	8	2.5864	0.6406	0.3681	0.3874	0.3567	proton	2.5365	0	0	nan	nan	nan	84499	52832	39149	25215	55479	54429	44160	19792	2	2	1	3	3	5	8	8	15	17	29
pdvd	039253_0_d42fit	820	82	5	607	607	530	398.2739	607	397.0377	0.0000	0	0.0245	0.0000	350.6352	8	2.0119	0.7380	0.5268	0.4463	0.5524	muon	1.5375	0	1	nan	nan	nan	59556	16846	40987	68397	68994	64674	57879	49683	2	1	2	3	3	4	8	7	16	17	29
pdvd	039253_11_d42fit	1060	106	5	459	452	449	299.1904	451	295.1617	4.5714	1	0.0646	0.0000	295.2073	8	1.1619	0.8995	0.2414	0.5440	0.2643	muon	3.1262	0	0	nan	nan	nan	81009	86117	36506	65086	67976	49839	52324	59827	2	1	2	3	3	4	7	8	14	15	32
pdvd	039253_13_d42fit	720	72	5	311	311	309	197.4789	311	198.1517	0.0000	0	0.1165	0.0000	197.4789	8	3.0184	0.8438	0.4474	0.5104	0.4053	proton	2.9107	0	0	nan	nan	nan	110889	90804	83182	72019	61619	54944	17854	28920	2	2	1	3	3	4	8	8	16	15	31
pdvd	039253_14_d42fit	460	46	5	528	528	412	335.7917	528	335.9387	0.0000	0	0.0218	0.0000	261.5528	8	0.2848	1.1018	0.0633	0.6664	0.1001	muon	1.7635	0	1	nan	nan	nan	108181	80337	76412	71530	66835	69060	63573	63893	2	1	1	3	4	5	8	8	14	17	30
pdvd	039253_15_d42fit	360	36	5	484	484	449	322.6875	484	323.2875	0.0000	0	0.0267	23.2929	322.6875	3	nan	1.2322	0.1953	0.7910	0.1574	proton	1.3219	0	1	nan	nan	nan	nan	nan	nan	nan	nan	94869	66137	54931	0	0	0	0	0	0	0	0	12	13	30
pdvd	039253_16_d42fit	430	43	5	93	93	93	60.3741	93	60.9741	0.0000	0	0.0108	0.0000	60.3741	7	0.5532	0.9939	0.1675	0.6049	0.1992	muon	1.7782	0	1	nan	nan	nan	112463	nan	54779	59157	57019	61569	60896	62985	2	2	1	4	2	5	8	7	16	15	30
pdvd	039253_17_d42fit	1270	127	5	1304	1304	1267	848.9514	1304	840.7674	0.0000	0	0.0608	21.1653	848.9514	3	nan	1.1922	0.0233	0.7653	0.0236	muon	1.3588	0	0	nan	nan	nan	nan	nan	nan	nan	nan	73046	66568	64199	0	0	0	0	0	0	0	0	14	14	30
pdvd	039253_2_d42fit	770	77	5	501	481	476	320.7763	480	306.9473	13.6333	1	0.0714	0.0000	307.7247	8	2.1703	0.8291	0.2359	0.5015	0.2707	muon	3.5102	0	0	nan	nan	nan	68395	63957	36125	49669	67602	56716	55819	54536	2	2	1	4	3	5	8	8	15	15	29
pdvd	039253_4_d42fit	950	95	5	598	598	588	378.4745	598	378.6096	0.0000	0	0.1854	0.0000	378.4745	7	0.8025	0.2850	0.6388	0.1734	0.6769	muon	4.9010	0	0	nan	nan	nan	6841	nan	18901	23758	19504	12760	28798	35492	2	2	2	4	2	5	8	9	15	15	32
pdvd	039253_8_d42fit	640	64	5	45	35	0	29.5007	34	23.0838	7.0169	1	nan	nan	nan	0	nan	nan	nan	nan	nan	none	3.3409	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0
pdvd	039253_9_d42fit	420	42	5	421	421	383	268.7504	421	269.0655	0.0000	0	0.0522	0.0000	246.9350	8	0.6080	0.8940	0.1854	0.5407	0.2094	muon	1.9948	0	0	nan	nan	nan	107085	56378	48727	57761	56418	58300	59356	50446	2	2	1	3	3	5	7	7	15	15	30
pdvd	039253_9_d42fit	1030	103	5	505	505	430	326.2718	505	326.9545	0.0000	0	0.0093	0.0000	279.3447	8	1.8738	0.8926	0.1313	0.5399	0.1606	muon	1.6281	0	1	nan	nan	nan	72028	53662	70984	67960	52742	59053	53931	52797	2	2	1	4	3	4	7	7	16	14	31
pdvd	039253_9_d42fit	1080	108	5	117	117	117	74.4399	117	75.0399	0.0000	0	0.2051	0.0000	74.4399	8	4.6831	0.4518	0.4766	0.2732	0.4976	muon	4.2856	0	0	nan	nan	nan	91343	42993	22576	15204	20977	21853	25940	44421	2	1	2	4	3	4	7	8	16	16	31
