# per readout-unit selection on tier 'all_kept', per arm.  plateau_ratio has NO free
# scale.  band_* are ABSOLUTE point counts: deletion shrinks every band,
# recovery collapses band_lt0.2 while band_0.8-1.2 holds.
sel	arm	ntracks	npoints	plateau_ratio	plateau_npts	plateau_ratio_hi	killed_frac	band_lt0.2	band_0.2-0.5	band_0.5-0.8	band_0.8-1.2	band_gt1.2
all	old	303	77801	0.7524	6923	1.0281	0.3738	1303	1320	997	2213	1090
all	fvfix	337	86228	0.8377	6735	1.0172	0.3213	1015	1184	1023	2452	1061
all	fv_unmerge	323	97552	0.9655	8578	1.0295	0.1932	587	1102	1255	4084	1550
all	new	323	95971	0.9692	8331	1.0278	0.1859	517	1063	1190	4133	1428
APA0	old	85	20420	0.5733	2128	0.9460	0.4243	293	625	441	462	307
APA0	fvfix	99	24429	0.5802	2395	0.9127	0.4180	313	705	535	523	319
APA0	fv_unmerge	111	29133	0.6541	2704	0.8939	0.3746	316	714	644	700	330
APA0	new	111	28970	0.6542	2679	0.8983	0.3740	311	709	629	700	330
APA1	old	65	14461	0.9409	1378	1.0423	0.2808	216	177	131	590	264
APA1	fvfix	78	18153	0.9433	1322	1.0187	0.2625	228	122	115	665	192
APA1	fv_unmerge	70	21205	1.0092	1534	1.0434	0.1206	82	108	150	903	291
APA1	new	70	21075	1.0130	1523	1.0436	0.1156	77	104	148	903	291
APA2	old	92	22558	0.5735	1774	1.0291	0.4673	563	274	228	497	212
APA2	fvfix	110	22333	0.8778	1591	1.0332	0.3174	304	209	212	610	256
APA2	fv_unmerge	98	23318	1.0119	2287	1.0482	0.1386	128	197	263	1197	502
APA2	new	99	22205	1.0120	2059	1.0405	0.1190	77	174	215	1217	376
APA3	old	94	20362	0.9351	1643	1.0421	0.2855	231	244	197	664	307
APA3	fvfix	95	21313	0.9856	1427	1.0505	0.2179	170	148	161	654	294
APA3	fv_unmerge	92	23896	1.0312	2053	1.0465	0.0692	61	83	198	1284	427
APA3	new	91	23721	1.0331	2070	1.0456	0.0609	52	76	198	1313	431
noAPA0	old	232	57381	0.8559	4795	1.0399	0.3514	1010	695	556	1751	783
noAPA0	fvfix	258	61799	0.9400	4340	1.0358	0.2680	702	479	488	1929	742
noAPA0	fv_unmerge	234	68419	1.0201	5874	1.0464	0.1096	271	388	611	3384	1220
noAPA0	new	234	67001	1.0215	5652	1.0431	0.0968	206	354	561	3433	1098
face0_xneg	old	164	42978	0.5733	3902	0.9989	0.4439	856	899	669	959	519
face0_xneg	fvfix	190	46762	0.6842	3986	0.9867	0.3778	617	914	747	1133	575
face0_xneg	fv_unmerge	190	52451	0.8734	4991	1.0096	0.2665	444	911	907	1897	832
face0_xneg	new	191	51175	0.8799	4738	1.0048	0.2632	388	883	844	1917	706
face1_xpos	old	145	34823	0.9383	3021	1.0422	0.2833	447	421	328	1254	571
face1_xpos	fvfix	155	39466	0.9616	2749	1.0359	0.2394	398	270	276	1319	486
face1_xpos	fv_unmerge	145	45101	1.0234	3587	1.0452	0.0912	143	191	348	2187	718
face1_xpos	new	144	44796	1.0257	3593	1.0452	0.0841	129	180	346	2216	722
