# doc pdvd/50 r2: dQ/dx vs rr per READOUT-UNIT SELECTION, per tier.
# Selections are on POINTS, so units are NOT disjoint at track level -- a track
# crossing APAs contributes to more than one row.  ntracks counts tracks with at
# least one point in the selection.
# plateau_ratio is median(dqdx / muon table) over rr in [40, 60) with NO free
# scale; plateau_ratio_hi is the same over points above 0.5 x plateau only
# (doc 50 sec 4.2's 'the surviving points are right to 5 %' test).
# band_* are ABSOLUTE plateau point counts by dqdx/table, not fractions.
tier	sel	units	ntracks	npoints	k_pop	chi2	nbins	plateau_ratio	plateau_npts	plateau_ratio_hi	plateau_npts_hi	killed_frac	band_lt0.2	band_0.2-0.5	band_0.5-0.8	band_0.8-1.2	band_gt1.2	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	all	0+1+2+3	323	95971	0.9645	2718.83	11	0.9692	8331	1.0278	6782	0.1859	517	1063	1190	4133	1428	0.3275	0.4042	0.5066	0.6106	0.7036	0.7547	0.8462	0.9223	0.9558	0.9721	1.0048	0.0179	0.0247	0.0293	0.0262	0.0287	0.0284	0.0280	0.0295	0.0297	0.0299	0.0305	643	507	465	942	939	1413	2352	2310	4649	4519	8331
all_kept	APA0	0	111	28970	0.6584	2187.71	11	0.6542	2679	0.8983	1677	0.3740	311	709	629	700	330	0.2939	0.3601	0.4506	0.5493	0.6303	0.6337	0.7685	0.8334	0.8783	0.9440	0.9935	0.0223	0.0272	0.0385	0.0358	0.0400	0.0363	0.0345	0.0391	0.0339	0.0362	0.0346	200	172	155	319	320	490	814	785	1568	1493	2679
all_kept	APA1	1	70	21075	1.0222	545.70	11	1.0130	1523	1.0436	1347	0.1156	77	104	148	903	291	0.4074	0.4323	0.5146	0.6189	0.6835	0.7834	0.9340	0.9390	0.9909	0.9906	0.9910	0.0421	0.0504	0.0624	0.0446	0.0446	0.0396	0.0352	0.0331	0.0325	0.0311	0.0306	115	89	79	158	159	231	386	385	784	789	1523
all_kept	APA2	2	99	22205	0.9901	258.74	11	1.0120	2059	1.0405	1814	0.1190	77	174	215	1217	376	0.4356	0.5417	0.6662	0.7833	0.9155	0.9685	0.9933	0.9945	0.9757	1.0060	1.0221	0.0460	0.0675	0.0582	0.0447	0.0424	0.0391	0.0332	0.0338	0.0325	0.0320	0.0313	170	120	119	213	221	334	570	570	1143	1083	2059
all_kept	APA3	3	91	23721	1.0190	734.70	11	1.0331	2070	1.0456	1944	0.0609	52	76	198	1313	431	0.3638	0.4755	0.5975	0.7182	0.8185	0.8607	0.9121	0.9935	1.0246	0.9801	1.0138	0.0324	0.0415	0.0458	0.0357	0.0373	0.0337	0.0309	0.0320	0.0318	0.0306	0.0309	158	126	112	252	239	358	582	570	1154	1154	2070
all_kept	noAPA0	1+2+3	234	67001	1.0111	1082.91	11	1.0215	5652	1.0431	5105	0.0968	206	354	561	3433	1098	0.3997	0.4851	0.5957	0.6825	0.8193	0.8851	0.9445	0.9820	0.9990	0.9922	1.0103	0.0251	0.0345	0.0367	0.0294	0.0309	0.0302	0.0299	0.0307	0.0306	0.0302	0.0305	443	335	310	623	619	923	1538	1525	3081	3026	5652
all_kept	face0_xneg	0+2	191	51175	0.8629	2746.35	11	0.8799	4738	1.0048	3491	0.2632	388	883	844	1917	706	0.2796	0.3303	0.4786	0.5629	0.6519	0.6774	0.7726	0.8551	0.8529	0.9363	1.0197	0.0190	0.0265	0.0377	0.0317	0.0359	0.0340	0.0307	0.0322	0.0293	0.0310	0.0319	370	292	274	532	541	824	1384	1355	2711	2576	4738
all_kept	face1_xpos	1+3	144	44796	1.0206	1087.82	11	1.0257	3593	1.0452	3291	0.0841	129	180	346	2216	722	0.3760	0.4674	0.5709	0.6631	0.7742	0.8375	0.9170	0.9762	1.0117	0.9866	1.0050	0.0266	0.0359	0.0411	0.0304	0.0323	0.0305	0.0299	0.0310	0.0311	0.0302	0.0304	273	215	191	410	398	589	968	955	1938	1943	3593
complete	all	0+1+2+3	130	48007	1.0311	583.43	11	1.0449	3713	1.0527	3579	0.0361	17	124	278	2551	743	0.4617	0.5436	0.6669	0.7668	0.8965	0.9522	0.9875	1.0025	1.0213	1.0082	1.0134	0.0323	0.0364	0.0380	0.0306	0.0328	0.0322	0.0313	0.0313	0.0313	0.0307	0.0306	263	204	195	398	402	596	1000	1006	2018	1988	3713
complete	APA0	0	9	1867	0.9798	278.35	11	0.9875	120	1.0440	102	0.1500	4	15	24	59	18	0.3940	0.4139	0.4370	0.6272	0.7312	0.8090	0.8147	0.8539	0.7767	0.6492	1.0079	0.0727	0.0867	0.0781	0.1021	0.0630	0.0919	0.0600	0.0688	0.0501	0.0545	0.0465	14	11	11	22	23	33	54	57	114	92	120
