# doc pdvd/50 r2 d51_dqdx_rr_apa.py det=pdhd ref=stm/pdhd_ref_dqdx.json status=0 max_abs_x=1e+09 low_thr=21844 (0.40 x plateau 54609.2) complete_max_flow=0.05 files=61
det	event	block	cluster	status	npts	nkept	ngood	length	len_kept	pts_per_cm	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	reach	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	n_u0	n_u1	n_u2	n_u3	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdhd	028084_0_d51hstm	350	35	0	721	721	717	459.5940	459.5940	1.5601	721	460.1940	0.0000	0	0.0432	0.0000	459.5940	1	8	1.0134	0.8059	0.1877	0.4800	0.2269	muon	1.5620	0	1	0	0	717	0	nan	nan	nan	52561	52329	63307	60247	46941	57515	56805	52571	2	2	1	3	3	5	8	7	14	15	32
pdhd	028084_0_d51hstm	430	43	0	224	224	214	140.1849	140.1849	1.5266	224	140.7849	0.0000	0	0.1215	0.0000	140.1849	1	8	0.1320	0.2743	1.0687	0.1634	1.1120	muon	2.0509	0	0	0	0	214	0	nan	nan	nan	3846	14056	7383	11701	46589	25747	46656	58319	2	1	0	3	3	5	3	8	16	17	32
pdhd	028084_0_d51hstm	970	97	0	109	95	95	66.9354	58.2566	1.6307	94	58.2990	9.2364	1	0.0211	0.0000	58.2566	1	7	1.0206	0.7136	0.4860	0.4274	0.5320	muon	6.3567	0	1	0	95	0	0	nan	nan	nan	nan	25694	30769	59812	40859	61215	56111	74038	2	2	2	2	4	4	9	8	17	16	29
pdhd	028084_0_d51hstm	1080	108	0	154	154	154	98.7002	98.7002	1.5603	154	99.3002	0.0000	0	0.0260	0.0000	98.7002	1	8	0.9148	0.7364	0.2056	0.4386	0.2461	muon	1.2313	0	1	0	0	0	154	nan	nan	nan	53857	58049	57243	34420	45934	55957	52043	49907	2	2	1	3	4	5	8	7	17	15	30
pdhd	028084_0_d51hstm	1170	117	0	515	515	515	332.3576	332.3576	1.5495	515	332.9576	0.0000	0	0.0233	0.0000	332.3576	1	8	1.1576	0.7991	0.3132	0.4759	0.3266	muon	1.5205	0	1	0	0	0	515	nan	nan	nan	43460	77458	69277	50278	49806	79174	30653	55769	2	2	2	3	4	5	8	9	16	16	29
pdhd	028084_10_d51hstm	460	46	0	253	253	253	159.5045	159.5045	1.5862	253	160.1045	0.0000	0	0.0158	0.0000	159.5045	1	8	1.4346	0.6420	0.5693	0.3824	0.6055	muon	1.5658	0	1	0	0	253	0	nan	nan	nan	49727	17036	24492	53357	65138	57364	59508	55765	2	1	2	3	3	5	7	8	14	17	32
pdhd	028084_10_d51hstm	1080	108	0	296	293	293	195.1722	192.9024	1.5189	292	192.3110	2.9579	1	0.0205	0.0000	192.9024	1	7	1.9010	0.9373	0.3009	0.5614	0.2933	proton	1.4838	0	1	52	241	0	0	nan	nan	nan	nan	57637	85579	93141	81648	43092	34562	59339	2	1	2	2	4	4	8	9	15	14	32
pdhd	028084_10_d51hstm	1090	109	0	900	900	900	574.7041	574.7041	1.5660	900	571.8080	0.0000	0	0.0278	0.0000	574.7041	1	8	2.2780	1.1389	0.0763	0.6783	0.0868	muon	1.4587	1	1	81	471	0	348	nan	nan	nan	111729	99060	93101	66164	73691	66813	62778	63873	2	1	1	4	3	5	7	9	16	17	31
pdhd	028084_11_d51hstm	340	34	0	414	414	410	252.4216	252.4216	1.6243	414	253.0216	0.0000	0	0.3463	0.0000	252.4216	1	8	3.3903	0.3845	0.6787	0.2290	0.7154	muon	1.6200	0	0	410	0	0	0	nan	nan	nan	24065	7673	33042	45507	21136	22198	27837	62570	2	2	1	4	3	5	8	8	16	16	32
pdhd	028084_11_d51hstm	590	59	0	275	273	273	179.9021	178.4921	1.5295	272	178.5453	1.9568	1	0.0330	0.0000	178.4921	1	8	1.7848	1.0355	0.0468	0.6167	0.0612	muon	2.9289	0	1	0	0	273	0	nan	nan	nan	98701	86494	75638	75670	62303	60203	62627	54768	2	2	1	3	3	5	8	7	16	14	30
pdhd	028084_11_d51hstm	1100	110	0	238	238	238	151.7730	151.7730	1.5681	238	152.3730	0.0000	0	0.0378	0.0000	151.7730	1	8	3.4904	1.2392	0.2024	0.7380	0.1875	proton	1.5992	0	1	0	0	0	238	nan	nan	nan	174668	111902	85292	73334	89729	66886	54543	66061	2	1	1	3	3	5	8	7	17	15	32
pdhd	028084_11_d51hstm	1160	116	0	645	645	644	418.0137	418.0137	1.5406	645	418.6137	0.0000	0	0.0590	0.0000	418.0137	1	8	0.6752	0.8131	0.4050	0.4843	0.4354	muon	1.4224	0	0	0	0	0	644	nan	nan	nan	28748	87166	58753	43695	68454	54387	56079	67633	2	2	1	3	3	5	7	9	15	16	28
pdhd	028084_11_d51hstm	1300	130	0	110	110	110	70.5261	70.5261	1.5597	110	71.1261	0.0000	0	0.0000	0.0000	70.5261	1	8	0.9800	1.0068	0.2827	0.5996	0.3117	muon	1.4848	0	1	0	0	0	110	nan	nan	nan	55452	55841	105035	79481	65348	65071	59438	76827	2	2	2	3	3	4	8	6	16	16	31
pdhd	028084_12_d51hstm	360	36	0	302	301	301	192.5854	192.0199	1.5675	300	192.0654	1.1200	1	0.1296	0.0000	192.0199	1	8	1.6109	0.8174	0.3115	0.4868	0.3260	muon	4.4218	0	0	301	0	0	0	nan	nan	nan	86775	30818	78710	58038	52141	58968	58674	43009	2	2	2	3	3	5	6	7	17	16	33
pdhd	028084_12_d51hstm	460	46	0	288	288	288	181.9930	181.9930	1.5825	288	182.5930	0.0000	0	0.1840	0.0000	181.9930	1	8	1.0125	0.5544	0.5019	0.3302	0.5243	muon	4.9605	0	0	288	0	0	0	nan	nan	nan	48664	34840	25526	17015	62353	77134	38166	31368	2	2	1	3	3	6	8	7	15	15	34
pdhd	028084_12_d51hstm	760	76	0	475	475	472	296.6151	296.6151	1.5913	475	297.2151	0.0000	0	0.2818	0.0000	296.6151	1	7	1.1888	0.7718	0.5730	0.4627	0.5928	muon	1.9929	0	0	472	0	0	0	nan	nan	nan	47539	nan	20679	54152	102131	93617	36646	50706	2	2	2	3	2	6	7	8	16	15	33
pdhd	028084_12_d51hstm	1010	101	0	694	684	684	444.0302	437.2816	1.5642	683	433.2646	7.3047	1	0.0058	0.0000	437.2816	1	8	0.6722	1.1518	0.1115	0.6860	0.1264	muon	1.4634	0	1	0	254	0	430	nan	nan	nan	81625	95248	98721	77903	78622	70913	73206	60362	2	2	2	3	3	5	8	8	17	15	31
pdhd	028084_12_d51hstm	1170	117	0	149	149	149	96.5407	96.5407	1.5434	149	97.1407	0.0000	0	0.0000	0.0000	96.5407	1	7	1.0174	1.0596	0.0899	0.6352	0.1120	muon	2.8005	0	1	0	149	0	0	nan	nan	nan	80877	nan	85050	77840	63102	69275	64475	57594	2	2	1	4	2	4	7	9	16	14	32
pdhd	028084_12_d51hstm	1310	131	0	65	65	60	52.5456	52.5456	1.1419	65	53.1456	0.0000	0	0.5500	0.0000	52.5456	1	6	6.1642	0.3744	0.6197	0.2231	0.5633	proton	1.1970	0	0	0	0	0	60	nan	nan	nan	57261	55909	48168	25985	nan	nan	8891	9524	2	1	2	3	3	5	8	1	2	16	17
pdhd	028084_13_d51hstm	1090	109	0	322	322	320	205.3436	205.3436	1.5584	322	205.9436	0.0000	0	0.0813	0.0000	205.3436	1	8	0.5893	0.8873	0.1774	0.5284	0.2095	muon	1.6348	0	0	0	320	0	0	nan	nan	nan	98855	71450	45957	55373	51438	60267	60115	54508	2	1	1	3	3	5	7	8	15	15	32
pdhd	028084_13_d51hstm	1190	119	0	52	52	50	33.9167	33.9167	1.4742	52	34.5167	0.0000	0	0.7200	0.0000	32.6930	1	7	0.1523	0.2848	0.5194	0.1668	0.5500	muon	5.5034	0	0	0	50	0	0	nan	nan	nan	12436	15183	21687	19126	14133	29308	40086	nan	2	2	2	3	3	4	7	7	15	5	0
pdhd	028084_14_d51hstm	200	20	0	110	110	108	72.3413	72.3413	1.4929	110	72.9413	0.0000	0	0.1019	0.0000	72.3413	1	8	0.1323	0.6688	0.6166	0.3983	0.6477	muon	2.2187	0	0	0	0	108	0	nan	nan	nan	110944	45051	12279	32373	49424	54787	57578	61471	2	2	1	4	3	3	7	8	15	15	30
pdhd	028084_14_d51hstm	290	29	0	244	244	242	153.5189	153.5189	1.5764	244	154.1189	0.0000	0	0.3512	0.0000	153.5189	1	8	0.3668	0.1981	1.0497	0.1180	1.0952	muon	0.5221	0	0	242	0	0	0	nan	nan	nan	2774	10422	9468	12404	6281	29151	38962	46587	2	2	1	4	3	5	9	8	15	17	30
pdhd	028084_14_d51hstm	830	83	0	722	722	722	474.3437	474.3437	1.5221	722	474.9437	0.0000	0	0.0360	0.0000	474.3437	1	4	3.2678	0.3298	1.3022	0.2037	1.3550	muon	1.7594	0	1	0	722	0	0	nan	nan	nan	6666	nan	nan	nan	nan	6813	58112	78399	2	2	1	4	0	0	0	1	15	16	31
pdhd	028084_15_d51hstm	280	28	0	82	82	82	51.8541	51.8541	1.5814	82	52.4541	0.0000	0	0.3049	0.0000	51.8541	1	8	0.2662	0.5113	0.7163	0.3045	0.7309	muon	1.0038	0	0	82	0	0	0	nan	nan	nan	39086	20081	17349	23208	72467	96350	60039	16765	2	2	2	3	3	4	9	7	15	16	19
pdhd	028084_15_d51hstm	310	31	0	51	51	50	31.0805	31.0805	1.6087	51	31.6805	0.0000	0	0.8200	0.0000	31.0805	1	6	1.3531	0.1416	0.8211	0.0820	0.8234	muon	1.9437	0	0	50	0	0	0	nan	nan	nan	8366	2656	19027	23841	18097	6592	nan	nan	2	2	1	4	3	5	7	8	16	2	0
pdhd	028084_15_d51hstm	500	50	0	373	373	373	242.8068	242.8068	1.5362	373	243.4068	0.0000	0	0.1180	0.0000	242.8068	1	8	1.9632	0.2644	1.0135	0.1575	1.0466	muon	5.5886	0	0	0	0	373	0	nan	nan	nan	32738	10235	1975	16874	25995	34104	43712	26266	2	2	1	4	3	4	8	7	15	14	31
pdhd	028084_15_d51hstm	1020	102	0	257	257	257	169.3291	169.3291	1.5178	257	169.9291	0.0000	0	0.0078	0.0000	169.3291	1	7	0.7699	0.8883	0.1876	0.5321	0.2121	muon	1.9593	0	1	0	257	0	0	nan	nan	nan	nan	50748	81448	68010	46722	59569	52657	55248	2	2	2	2	3	5	7	8	15	17	30
pdhd	028084_16_d51hstm	1000	100	0	295	295	295	189.3709	189.3709	1.5578	295	189.9709	0.0000	0	0.0136	0.0000	189.3709	1	8	0.6788	0.6652	0.6746	0.3962	0.6991	muon	1.5549	0	1	0	295	0	0	nan	nan	nan	61688	81600	9176	42058	49693	75229	47719	52617	2	2	1	3	3	5	8	9	14	14	32
pdhd	028084_16_d51hstm	1060	106	0	682	682	682	438.6729	438.6729	1.5547	682	434.6445	0.0000	0	0.0718	0.0000	438.6729	1	8	0.0455	0.6706	0.5156	0.3994	0.5559	muon	1.7889	0	0	0	637	0	45	nan	nan	nan	30409	32311	45217	25099	67797	73308	55943	62724	2	1	2	3	3	4	8	7	15	9	31
pdhd	028084_16_d51hstm	1100	110	0	215	215	215	138.0744	138.0744	1.5571	215	138.6744	0.0000	0	0.0837	0.0000	138.0744	1	8	0.0963	0.4148	1.3451	0.2470	1.3728	muon	2.0607	0	0	0	215	0	0	nan	nan	nan	1956	8494	31960	77258	55643	60104	57097	53207	2	1	2	3	3	5	9	8	16	15	32
pdhd	028084_17_d51hstm	290	29	0	340	340	338	214.5499	214.5499	1.5754	340	215.1499	0.0000	0	0.2337	0.0000	214.5499	1	7	1.2004	0.5609	0.2181	0.3360	0.2532	muon	4.8460	0	0	338	0	0	0	nan	nan	nan	nan	40970	32861	35163	35852	32467	52851	31276	2	2	2	2	4	4	9	8	14	15	31
pdhd	028084_17_d51hstm	350	35	0	517	517	512	321.7922	321.7922	1.5911	517	322.3922	0.0000	0	0.5645	0.0000	321.7922	1	8	1.1537	0.3543	0.8712	0.2110	0.9149	muon	2.2130	0	0	512	0	0	0	nan	nan	nan	9143	13369	19336	22356	11402	63909	60532	50700	2	2	1	3	3	5	9	8	16	15	34
pdhd	028084_17_d51hstm	380	38	0	63	63	50	117.8089	117.8089	0.4244	63	118.4089	0.0000	0	0.4600	0.0000	117.8089	1	1	nan	nan	nan	nan	nan	none	0.8264	0	0	0	0	50	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6679	2	0	0	0	0	0	0	0	1	0	8
pdhd	028084_17_d51hstm	550	55	0	563	563	562	366.5179	366.5179	1.5333	563	363.0699	0.0000	0	0.0712	0.0000	366.5179	1	8	2.2787	1.1129	0.1625	0.6628	0.1619	proton	3.5693	0	0	531	0	31	0	nan	nan	nan	107639	71251	106355	95626	61794	59234	66239	59159	2	1	2	3	4	5	8	7	15	15	28
pdhd	028084_17_d51hstm	970	97	0	556	536	535	356.8690	343.5540	1.5573	535	343.4714	13.9976	1	0.1028	0.0000	342.8018	1	8	1.7335	0.6610	0.5543	0.3937	0.5642	muon	3.7342	0	0	0	535	0	0	nan	nan	nan	99061	65889	34475	13453	50718	64411	61161	28632	2	2	1	3	3	4	8	7	15	16	33
pdhd	028084_17_d51hstm	1100	110	0	112	112	112	73.7156	73.7156	1.5194	112	74.3156	0.0000	0	0.0179	0.0000	73.7156	1	8	nan	0.7767	0.3507	0.4626	0.3907	muon	1.7965	0	1	0	0	0	112	nan	nan	nan	39568	37292	53309	59224	58944	58038	67164	58815	2	0	0	4	3	5	8	8	14	14	32
pdhd	028084_17_d51hstm	1130	113	0	216	216	214	137.6149	137.6149	1.5551	216	138.2149	0.0000	0	0.1168	0.0000	137.6149	1	8	1.2677	0.6799	0.5024	0.4050	0.4963	proton	2.2281	0	0	0	0	0	214	nan	nan	nan	58886	55534	53634	64603	56512	56305	10990	54819	2	2	2	3	3	4	7	8	15	15	31
pdhd	028084_18_d51hstm	170	17	0	167	167	167	128.9999	128.9999	1.2946	167	129.5999	0.0000	0	0.2814	0.0000	128.9999	1	8	0.5668	0.6209	0.6516	0.3698	0.6461	proton	0.5188	0	0	0	0	167	0	nan	nan	nan	46410	99956	121376	32702	35056	9700	36396	46074	2	1	2	3	3	5	9	4	14	3	14
pdhd	028084_18_d51hstm	500	50	0	436	436	435	277.6479	277.6479	1.5667	436	278.2479	0.0000	0	0.1172	0.0000	277.6479	1	7	0.3685	0.8157	0.2139	0.4886	0.2488	muon	3.1567	0	0	435	0	0	0	nan	nan	nan	nan	66415	51551	38166	68664	46161	57019	53057	2	2	2	2	3	5	8	8	17	16	35
pdhd	028084_18_d51hstm	1040	104	0	564	559	559	361.9334	358.2522	1.5604	558	358.3004	4.2330	1	0.0340	0.0000	358.2522	1	8	0.6447	0.9911	0.1064	0.5903	0.1466	muon	1.4057	0	1	0	559	0	0	nan	nan	nan	74021	91377	69740	65265	61711	58350	63699	62685	2	2	1	3	3	4	8	8	17	15	31
pdhd	028084_18_d51hstm	1080	108	0	133	130	130	90.7387	88.9128	1.4621	129	83.2845	2.3892	1	0.0077	0.0000	88.9128	1	8	0.4432	1.0450	0.1029	0.6224	0.0827	proton	2.1207	0	1	0	58	0	72	nan	nan	nan	89625	99764	89495	64307	72349	63206	57039	50380	2	2	1	3	3	5	7	7	16	17	21
pdhd	028084_18_d51hstm	1220	122	0	275	275	275	181.2102	181.2102	1.5176	275	181.8102	0.0000	0	0.0291	0.0000	181.2102	1	8	0.7769	0.7664	0.3361	0.4565	0.3714	muon	1.8698	0	1	0	0	0	275	nan	nan	nan	33324	48362	56063	54905	67475	55502	49434	61632	2	2	1	4	3	4	8	7	16	15	30
pdhd	028084_19_d51hstm	590	59	0	432	432	432	274.5174	274.5174	1.5737	432	275.1174	0.0000	0	0.0000	0.0000	274.5174	1	8	3.4714	1.0935	0.0535	0.6512	0.0693	muon	1.8386	1	1	0	0	432	0	nan	nan	nan	93158	87248	80794	80745	77096	66930	59632	59564	2	1	1	3	4	4	7	9	15	16	32
pdhd	028084_19_d51hstm	610	61	0	106	106	106	65.6514	65.6514	1.6146	106	66.2514	0.0000	0	0.0472	0.0000	65.6514	1	8	0.8851	0.8009	0.3246	0.4770	0.3459	muon	1.4749	0	1	0	0	106	0	nan	nan	nan	52588	66219	67941	42986	33514	93353	56067	45110	2	2	1	3	4	5	8	8	15	17	31
pdhd	028084_1_d51hstm	250	25	0	84	84	84	52.7242	52.7242	1.5932	84	53.3242	0.0000	0	0.0952	0.0000	52.7242	1	8	0.4480	0.6835	0.3522	0.4070	0.3923	muon	4.2380	0	0	84	0	0	0	nan	nan	nan	41202	33507	37224	57964	61539	38796	55623	57225	2	2	1	3	4	5	8	8	17	15	19
