det	event	seg	rr	dqdx	x	y	z	dx
pdvd	039349_10_d51vnu	1107986733	0.60	13679.8	324.09	146.87	6.99	0.600
pdvd	039349_10_d51vnu	1107986733	1.20	48990.9	324.06	146.67	7.56	0.600
pdvd	039349_10_d51vnu	1107986733	1.80	77729.9	324.03	146.48	8.12	0.600
pdvd	039349_10_d51vnu	1107986733	2.40	107845.7	324.01	146.29	8.69	0.600
pdvd	039349_10_d51vnu	1107986733	3.00	99553.8	323.96	145.92	9.16	0.600
pdvd	039349_10_d51vnu	1107986733	3.60	100153.2	323.93	145.60	9.67	0.600
pdvd	039349_10_d51vnu	1107986733	4.20	97296.9	323.89	145.22	10.13	0.600
pdvd	039349_10_d51vnu	1107986733	4.80	90075.8	323.84	144.85	10.60	0.600
pdvd	039349_77_d51vnu	105876712	0.67	115854.7	339.49	-68.08	157.28	0.667
pdvd	039349_77_d51vnu	105876712	1.33	75964.5	339.07	-67.94	157.79	0.634
pdvd	039349_77_d51vnu	105876712	1.93	86348.1	338.69	-67.93	158.25	0.600
pdvd	039349_77_d51vnu	105876712	2.53	93333.8	338.32	-67.91	158.72	0.600
pdvd	039349_77_d51vnu	105876712	3.13	103598.3	337.97	-67.78	159.19	0.600
pdvd	039349_77_d51vnu	105876712	3.73	98359.7	337.52	-67.65	159.56	0.600
pdvd	039349_77_d51vnu	105876712	4.33	101187.6	337.14	-67.58	160.02	0.600
