# doc pdvd/50 r2 d51_dqdx_rr_apa.py det=pdvd ref=stm/pdvd_ref_dqdx_045.json status=5 max_abs_x=305 low_thr=21586 (0.40 x plateau 53965.5) complete_max_flow=0.05 files=120
det	event	block	cluster	status	npts	nkept	ngood	length	len_kept	pts_per_cm	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	reach	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	n_u0	n_u1	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdvd	039252_12_d51vstm	1020	102	5	202	202	202	129.0308	129.0308	1.5655	202	128.8939	0.0000	0	0.0198	0.0000	129.0308	1	7	3.1721	0.7850	0.2245	0.4777	0.2485	muon	1.2529	0	1	0	202	nan	nan	nan	43006	nan	63238	65373	50985	40130	51419	50281	2	2	1	4	2	5	8	8	17	15	30
pdvd	039252_13_d51vstm	600	60	5	444	444	373	284.8459	284.8459	1.3095	444	285.4744	0.0000	0	0.0483	0.0000	240.4481	1	7	2.7031	0.8539	0.2243	0.5197	0.2436	muon	1.3086	0	1	0	373	nan	nan	nan	70653	nan	38692	72495	64187	57726	45265	50989	2	2	2	3	2	4	8	7	17	15	33
pdvd	039252_14_d51vstm	960	96	5	290	290	290	206.4471	206.4471	1.4047	290	206.8277	0.0000	0	0.1897	0.0000	206.4471	1	4	1.6530	0.1300	1.1965	0.0815	1.2417	muon	2.1662	0	0	0	290	nan	nan	nan	4737	nan	nan	nan	nan	1786	21323	25915	2	1	2	3	0	0	0	0	6	17	33
pdvd	039252_16_d51vstm	1210	121	5	803	799	797	523.6037	521.2482	1.5290	798	511.4063	2.9463	1	0.0703	0.0000	521.2482	1	8	0.3202	1.0162	0.1229	0.6146	0.1467	muon	1.4585	0	0	625	172	nan	nan	nan	96222	71486	87598	53246	63923	62314	62839	58092	2	2	1	4	3	5	8	9	16	16	29
pdvd	039252_4_d51vstm	1260	126	5	547	547	547	362.1465	362.1465	1.5104	547	347.4164	0.0000	0	0.0293	0.0000	362.1465	1	8	3.3558	1.2218	0.1654	0.7389	0.1304	proton	1.7544	0	1	384	163	nan	nan	nan	135819	126024	99047	83636	65060	66776	60147	54961	2	1	2	3	3	5	7	7	16	15	32
pdvd	039252_7_d51vstm	970	97	5	140	140	69	88.2950	88.2950	0.7815	140	88.7547	0.0000	0	0.1449	0.0000	44.2025	1	8	2.4660	0.4996	0.9365	0.3022	0.9655	muon	1.3389	0	0	0	69	nan	nan	nan	8188	9182	37835	64781	53798	62991	48238	52853	2	2	1	3	4	5	7	8	15	15	7
pdvd	039252_7_d51vstm	1020	102	5	313	313	313	199.5098	199.5098	1.5688	313	200.1098	0.0000	0	0.0064	0.0000	199.5098	1	8	2.7841	0.7757	0.2618	0.4691	0.2863	muon	3.4195	0	1	0	313	nan	nan	nan	80374	33903	53333	46048	60695	53596	56743	43521	2	1	1	4	3	3	7	7	16	16	32
pdvd	039252_8_d51vstm	720	72	5	732	732	618	459.1271	459.1271	1.3460	732	457.4865	0.0000	0	0.1068	0.0000	390.2243	1	8	2.8939	0.6260	0.4285	0.3786	0.4207	proton	2.3988	0	0	0	618	nan	nan	nan	87558	55449	34915	20496	60190	54650	42268	20021	2	2	1	3	3	5	8	8	15	17	28
pdvd	039253_0_d51vstm	820	82	5	608	608	533	397.4847	397.4847	1.3409	608	396.2485	0.0000	0	0.0300	0.0000	349.8460	1	8	2.0839	0.6894	0.7038	0.4170	0.7277	muon	1.4641	0	1	0	533	nan	nan	nan	66925	9476	38640	67423	66927	64708	57808	50606	2	1	2	3	3	4	8	7	16	17	29
pdvd	039253_13_d51vstm	380	38	5	97	97	97	62.9132	62.9132	1.5418	97	63.5132	0.0000	0	0.0515	0.0000	62.9132	1	8	0.3143	0.8504	0.3067	0.5143	0.3284	muon	2.2439	0	0	97	0	nan	nan	nan	124369	50234	35065	57269	53190	53414	61942	50797	2	1	2	3	3	4	6	7	16	15	33
