tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30hnupre	028084_0	nu	1	66	48.957	3.87	3.8713645935058594	0.0013645935058592684	95	67	4	24	24	10461	1174	0.3078346252441406	0.24334335327148438	2.9582691192626953	289.2	62.0	46.3	0.0	9954.1	0.2	1232.8	28241.1	130.0	0.9	15.5	5239.8	0.0	195.7	570.5	1337.4	838.9	0.308	0.000	0.000	0.000	0.243	0.000	0.019	2.958	0.000	0.000	0.000	0.001	0.000	0.153	0.003	0.000	0.000
d30hnupre	028084_10	nu	1	67	64.248	3.51	3.51	0.0	84	56	5	22	22	11456	1112	0.30852508544921875	0.23987579345703125	2.563018798828125	345.1	77.8	55.9	0.0	8669.2	0.2	1414.7	23221.2	127.4	44.6	187.2	25833.5	0.0	204.8	937.8	1194.2	953.6	0.309	0.000	0.000	0.000	0.240	0.000	0.059	2.563	0.000	0.000	0.000	0.000	0.000	0.153	0.000	0.000	0.000
d30hnupre	028084_11	nu	1	30	27.078	2.36	2.36	0.0	102	71	1	18	18	8028	1198	0.2957496643066406	0.23281097412109375	1.4562511444091797	295.7	61.7	45.4	0.0	8041.7	0.2	1188.8	14092.9	113.4	1.2	12.6	1123.4	0.0	183.5	140.2	585.9	564.1	0.296	0.000	0.000	0.000	0.233	0.000	0.033	1.456	0.000	0.000	0.000	0.001	0.000	0.153	0.000	0.000	0.002
d30hnupre	028084_12	nu	1	63	59.229	3.62	3.6225128173828125	0.0025128173828123934	102	68	8	30	30	10042	789	0.3828468322753906	0.2746467590332031	2.582426071166992	383.7	77.8	57.6	0.0	10976.5	0.2	1516.1	24482.5	164.0	105.7	457.4	16886.0	0.0	207.7	756.1	1132.5	1063.6	0.383	0.000	0.000	0.000	0.275	0.000	0.040	2.582	0.000	0.000	0.000	0.002	0.000	0.153	0.000	0.003	0.000
d30hnupre	028084_13	nu	1	26	21.886	1.96	1.96	0.0	98	73	6	17	17	5106	903	0.2577552795410156	0.1793975830078125	1.1449050903320312	274.0	57.7	41.6	0.0	6543.4	0.2	1083.8	9552.8	79.8	5.6	12.1	2222.5	0.0	181.2	276.1	511.2	594.4	0.258	0.000	0.000	0.000	0.179	0.000	0.031	1.145	0.000	0.000	0.000	0.001	0.000	0.153	0.002	0.001	-0.000
d30hnupre	028084_14	nu	1	16	12.528	1.17	1.1728858947753906	0.002885894775390696	83	60	1	9	9	4737	976	0.17866134643554688	0.16980361938476562	0.4694252014160156	200.8	45.2	32.9	0.0	4969.9	0.2	779.3	5056.6	72.0	0.7	14.3	126.8	0.0	173.1	88.0	187.4	330.6	0.179	0.001	0.000	0.000	0.170	0.000	0.012	0.469	0.000	0.000	-0.000	0.000	0.000	0.135	0.019	0.001	0.003
d30hnupre	028084_15	nu	1	38	34.601	2.06	2.068204879760742	0.008204879760742134	96	64	3	18	18	4850	820	0.35894775390625	0.38913726806640625	0.9586334228515625	364.5	84.2	65.8	0.0	15463.5	0.2	3198.4	10581.6	124.0	313.3	854.9	1288.9	0.0	170.9	218.9	385.5	715.4	0.359	0.000	0.000	0.000	0.389	0.000	0.008	0.959	0.000	0.000	0.001	0.000	0.000	0.156	0.000	-0.000	0.013
d30hnupre	028084_16	nu	1	47	44.24	2.29	2.2947311401367188	0.0047311401367187145	97	65	3	22	22	7328	833	0.26476287841796875	0.27729034423828125	1.3678836822509766	290.2	64.0	43.8	0.0	8909.7	0.2	2089.9	12794.5	103.5	0.9	7.4	17004.6	0.0	204.1	707.8	632.6	633.3	0.265	0.000	0.000	0.000	0.277	0.000	0.044	1.368	0.000	0.000	0.000	0.001	0.000	0.155	0.000	0.000	0.000
d30hnupre	028084_17	nu	1	38	36.732	2.47	2.4707698822021484	0.0007698822021482421	95	73	4	22	22	8071	1040	0.2519073486328125	0.2089691162109375	1.6306591033935547	272.7	65.4	46.6	0.0	7651.0	0.2	1257.8	15068.6	104.7	81.3	440.1	9055.3	0.0	185.7	438.6	715.1	621.6	0.252	0.000	0.000	0.000	0.209	0.000	0.038	1.631	0.000	0.000	0.000	0.000	0.000	0.153	0.000	0.000	0.003
d30hnupre	028084_18	nu	1	123	119.926	6.38	6.38	0.0	98	65	6	26	26	10599	1088	0.7460975646972656	1.1346435546875	4.113626480102539	784.1	203.1	138.8	0.0	42239.3	0.2	7092.1	41628.7	263.6	40.0	190.9	19986.2	0.0	234.4	1140.4	2326.7	1884.5	0.746	0.000	0.000	0.000	1.135	0.000	0.001	4.114	0.000	0.000	0.000	0.003	0.000	0.153	0.000	0.000	0.000
