tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30hpre	028084_0	stm	1	43	38.385	3.87	3.87	0.0	95	67	4	24	24	10461	1174	0.3092689514160156	0.242584228515625	2.958221435546875	299.8	62.2	46.7	0.0	8451.3	0.2	1074.5	25578.7	115.8	1.2	14.9	0.0	0.0	0.0	0.1	1381.4	652.9	0.309	0.000	0.000	0.000	0.243	0.000	0.018	2.958	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.001
d30hpre	028084_10	stm	1	34	31.715	3.51	3.51	0.0	84	56	5	22	22	11456	1112	0.3080787658691406	0.24026870727539062	2.5609207153320312	286.4	60.7	45.1	0.0	7429.3	0.2	1193.8	19830.0	114.2	41.9	166.6	0.0	0.0	0.0	0.1	1178.7	577.8	0.308	0.000	0.000	0.000	0.240	0.000	0.059	2.561	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.154	0.000
d30hpre	028084_11	stm	1	24	22.623	2.21	2.360706329345703	0.15070632934570316	102	71	1	18	18	8028	1198	0.29949188232421875	0.23099517822265625	1.4533329010009766	305.7	68.9	54.9	0.0	7178.7	0.2	1038.4	12090.5	106.1	0.9	12.4	0.0	0.0	0.0	0.1	683.4	487.0	0.299	0.000	0.001	0.000	0.231	0.000	0.033	1.453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30hpre	028084_12	stm	1	36	35.056	3.62	3.6208248138427734	0.0008248138427733309	102	68	8	30	30	10042	789	0.38207244873046875	0.27593994140625	2.5788307189941406	368.7	75.4	56.1	0.0	9224.6	0.2	1246.3	20655.6	143.2	100.0	387.3	0.0	0.0	0.0	0.1	1255.0	689.1	0.382	0.000	0.000	0.000	0.276	0.000	0.040	2.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.157	-0.001
d30hpre	028084_13	stm	1	18	16.458	1.67	1.9545745849609375	0.28457458496093757	98	73	6	17	17	5106	903	0.257537841796875	0.17942047119140625	1.1450862884521484	268.3	55.4	41.0	0.0	5555.7	0.2	893.2	8127.3	74.6	5.2	11.7	0.0	0.0	0.0	0.1	596.5	424.0	0.258	0.000	0.000	0.000	0.179	0.000	0.031	1.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.003
d30hpre	028084_14	stm	1	12	10.502	0.82	1.1710262298583984	0.3510262298583985	83	60	1	9	9	4737	976	0.17833709716796875	0.1708526611328125	0.46944427490234375	199.3	42.5	41.3	0.0	4209.7	0.2	670.3	4260.5	68.1	0.7	14.0	0.0	0.0	0.0	0.1	314.6	301.7	0.178	0.000	0.000	0.000	0.171	0.000	0.012	0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30hpre	028084_15	stm	1	31	29.562	2.05	2.0536327362060547	0.003632736206054865	96	64	3	18	18	4850	820	0.358245849609375	0.39051055908203125	0.95703125	329.9	74.3	56.4	0.0	13457.0	0.2	2921.1	9453.0	119.7	332.9	871.4	0.0	0.0	0.0	0.2	562.1	601.7	0.358	0.000	0.000	0.000	0.391	0.000	0.006	0.957	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.001
d30hpre	028084_16	stm	1	25	24.011	2.29	2.2945213317871094	0.0045213317871093395	97	65	3	22	22	7328	833	0.26433563232421875	0.2787933349609375	1.3676738739013672	257.8	55.2	40.0	0.0	7932.5	0.2	1911.6	11634.9	99.3	1.0	6.8	0.0	0.0	0.0	0.1	737.7	537.6	0.264	0.000	0.000	0.000	0.279	0.000	0.043	1.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.001
d30hpre	028084_17	stm	1	26	24.258	2.45	2.4701309204101562	0.020130920410156072	95	73	4	22	22	8071	1040	0.2512359619140625	0.20847320556640625	1.6296958923339844	249.8	54.8	41.7	0.0	6367.5	0.1	1126.2	13651.1	102.2	80.4	470.5	0.0	0.0	0.0	0.1	885.4	488.8	0.251	0.000	0.000	0.000	0.208	0.000	0.038	1.630	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.153	0.002
d30hpre	028084_18	stm	1	96	94.483	6.37	6.3718414306640625	0.0018414306640623934	98	65	6	26	26	10599	1088	0.7476768493652344	1.1327457427978516	4.111700057983398	769.7	171.2	128.6	0.0	39865.7	0.2	6700.4	40551.0	261.3	38.1	172.7	0.0	0.0	0.0	0.2	2385.8	1528.8	0.748	0.000	0.000	0.000	1.133	0.000	0.000	4.112	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.156	-0.004
d30hpre	028084_19	stm	1	23	21.733	2.03	2.0319652557373047	0.001965255737304883	109	82	3	18	18	6159	887	0.2954902648925781	0.2510337829589844	1.1050701141357422	287.1	61.6	45.8	0.0	8601.5	0.2	1636.6	9111.8	99.2	41.7	203.9	0.0	0.0	0.0	0.1	585.4	482.3	0.295	0.000	0.000	0.000	0.251	0.000	0.035	1.105	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.153	0.003
d30hpre	028084_1	stm	1	30	25.27	2.34	2.3550796508789062	0.015079650878906392	118	86	9	26	26	8327	1109	0.317169189453125	0.257659912109375	1.3979911804199219	307.6	67.8	51.7	0.0	9455.9	0.2	1731.1	11067.1	118.4	61.0	405.1	0.0	0.0	0.0	0.2	733.4	572.3	0.317	0.001	0.000	0.000	0.258	0.000	0.042	1.398	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.152	0.000
d30hpre	028084_20	stm	1	37	35.821	2.93	2.93	0.0	95	67	7	25	25	10259	944	0.3053627014160156	0.22024917602539062	2.0235252380371094	320.2	68.2	51.3	0.0	8994.7	0.2	1111.5	21561.5	141.3	205.2	782.7	0.0	0.0	0.0	0.2	1078.8	629.7	0.305	0.000	0.000	0.000	0.220	0.000	0.033	2.024	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.155	-0.001
d30hpre	028084_21	stm	1	35	34.155	3.17	3.1757259368896484	0.0057259368896485086	98	68	7	24	24	12118	1050	0.28347015380859375	0.23903656005859375	2.2658634185791016	292.9	61.5	45.4	0.0	8638.4	0.2	1485.7	20584.7	123.4	46.5	189.8	0.0	0.0	0.0	0.1	1103.0	597.1	0.283	0.000	0.000	0.000	0.239	0.000	0.043	2.266	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30hpre	028084_22	stm	1	20	18.967	1.92	1.9203662872314453	0.00036628723144538355	101	72	5	22	22	6720	846	0.22808456420898438	0.21387100219726562	1.0984325408935547	246.1	53.3	39.3	0.0	6483.6	0.2	1400.7	9064.2	86.5	6.3	26.7	0.0	0.0	0.0	0.1	583.7	426.1	0.228	0.001	0.000	0.000	0.214	0.000	0.037	1.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	0.001
d30hpre	028084_23	stm	1	32	30.295	3.06	3.0629634857177734	0.002963485717773384	97	66	2	22	22	9157	1373	0.3129005432128906	0.2478485107421875	2.1125411987304688	315.3	69.2	50.8	0.0	8705.7	0.2	1296.3	17166.4	126.5	2.1	15.4	0.0	0.0	0.0	0.1	1083.7	608.1	0.313	0.000	0.001	0.000	0.248	0.000	0.042	2.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.157	-0.001
d30hpre	028084_24	stm	1	53	51.463	5.35	5.352811813354492	0.0028118133544925428	98	68	6	34	34	12484	849	0.52008056640625	0.2805671691894531	4.122333526611328	483.5	103.2	77.4	0.0	11803.1	0.3	1687.7	32957.1	162.9	35.4	43.6	0.0	0.0	0.0	0.1	2094.7	955.0	0.520	0.000	0.000	0.000	0.281	0.000	0.076	4.122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	-0.002
