tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30vnupre	039252_0	nu	1	39	19.9	1.55	1.5711307525634766	0.021130752563476518	345	36	6	15	15	4427	575	0.3274726867675781	0.22249603271484375	0.36658477783203125	409.1	79.6	63.9	6.2	7171.1	0.2	674.6	3911.7	79.3	2.3	35.7	5542.6	0.0	211.5	385.4	154.9	801.6	0.327	0.000	0.000	0.000	0.222	0.000	0.014	0.367	0.000	0.000	0.000	0.181	0.000	0.190	0.110	0.000	0.018
d30vnupre	039252_10	nu	1	40	21.19	1.66	1.66	0.0	348	47	2	18	18	6219	900	0.4356727600097656	0.2544975280761719	0.5281867980957031	483.0	100.1	83.9	7.2	9251.3	0.3	1072.3	5981.3	87.8	2.0	26.8	2101.0	0.0	201.7	255.0	233.6	824.0	0.436	0.000	0.000	0.000	0.254	0.000	0.029	0.528	0.000	0.000	0.000	0.001	0.000	0.153	0.027	-0.000	0.087
d30vnupre	039252_11	nu	1	41	19.112	1.47	1.470346450805664	0.00034645080566408915	415	38	0	14	14	4039	621	0.4506034851074219	0.36884307861328125	0.26862335205078125	521.6	113.5	91.4	8.9	11493.1	0.3	2039.9	3143.4	82.4	1.9	36.3	0.4	0.0	174.2	0.3	132.1	782.5	0.451	0.000	0.000	0.000	0.369	0.000	0.001	0.269	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.004	0.083
d30vnupre	039252_12	nu	1	70	48.976	2.38	2.3836898803710938	0.0036898803710938566	451	51	8	20	20	5602	1131	0.5621223449707031	0.6389999389648438	0.23389053344726562	665.7	133.7	109.8	10.3	23064.7	0.3	3198.6	5267.6	129.2	19.8	49.1	13271.4	0.0	241.7	528.9	205.4	1384.1	0.562	0.000	0.000	0.000	0.639	0.000	0.000	0.234	0.000	0.000	0.000	0.388	0.000	0.186	0.139	-0.001	0.077
d30vnupre	039252_13	nu	1	54	32.396	1.47	1.7101001739501953	0.24010017395019534	360	42	3	17	17	6784	1124	0.4140815734863281	0.27838897705078125	0.49309539794921875	447.9	103.4	80.6	8.0	11214.8	0.3	2083.3	6595.8	91.3	2.3	28.7	9651.0	0.0	206.2	326.6	217.5	845.7	0.414	0.000	0.000	0.000	0.278	0.000	0.033	0.493	0.000	0.000	0.000	0.013	0.000	0.180	0.087	0.000	0.069
d30vnupre	039252_14	nu	1	51	49.598	2.72	2.7228927612304688	0.0028927612304685546	614	47	5	20	20	6891	900	0.6804542541503906	0.5534248352050781	0.8229560852050781	800.4	164.9	131.4	14.6	26990.9	0.3	4190.5	10532.9	141.0	3.7	69.9	3103.1	0.0	216.8	371.4	415.6	1562.4	0.680	0.001	0.000	0.000	0.553	0.000	0.000	0.823	0.000	0.000	0.000	0.062	0.000	0.184	0.091	0.001	0.149
d30vnupre	039252_15	nu	1	34	30.52	2.37	2.37	0.0	465	47	5	21	21	5984	632	0.5681648254394531	0.3430824279785156	0.7405662536621094	614.2	134.3	108.9	10.6	14853.2	0.3	2175.3	8084.9	121.3	5.2	31.4	1632.8	0.0	227.6	293.5	345.7	1224.2	0.568	0.000	0.000	0.000	0.343	0.000	0.071	0.741	0.000	0.000	0.000	0.083	0.000	0.186	0.081	0.001	0.129
d30vnupre	039252_16	nu	1	63	57.362	3.31	3.439311981201172	0.12931198120117182	816	58	7	27	27	10738	1002	0.7492027282714844	0.5709915161132812	1.4135932922363281	842.4	201.8	153.9	18.3	24482.8	0.3	3490.6	18712.5	139.4	54.1	265.7	4966.6	0.0	215.0	422.7	687.6	1818.5	0.749	0.000	0.000	0.000	0.571	0.000	0.000	1.414	0.000	0.000	0.000	0.054	0.000	0.186	0.126	0.000	0.147
d30vnupre	039252_17	nu	1	46	42.526	2.8	2.8	0.0	569	53	5	27	27	9274	886	0.6172599792480469	0.3732566833496094	1.3080215454101562	719.4	153.4	116.8	11.6	16443.2	0.3	2275.7	15291.1	126.7	14.2	62.0	4002.6	0.0	223.3	305.9	613.9	1412.4	0.617	0.000	0.000	0.000	0.373	0.000	0.058	1.308	0.000	0.000	0.000	0.002	0.000	0.153	0.000	0.000	0.113
d30vnupre	039252_1	nu	1	41	38.241	2.01	2.0131683349609375	0.003168334960937713	475	38	2	14	14	5659	864	0.5923347473144531	0.4473724365234375	0.4344139099121094	694.3	144.3	121.6	12.1	22266.7	0.3	3004.0	6614.4	136.0	2.6	39.5	2697.7	0.0	186.8	325.7	203.1	1132.1	0.592	0.000	0.000	0.000	0.447	0.000	-0.000	0.434	0.000	0.000	0.000	0.001	0.000	0.165	0.093	0.000	0.119
d30vnupre	039252_2	nu	1	47	44.977	2.6	2.6001930236816406	0.00019302368164053618	522	54	9	16	16	4029	570	0.6064338684082031	0.6131019592285156	0.3842124938964844	674.8	152.8	123.0	12.6	25450.3	0.3	7146.0	5118.9	135.9	7.6	94.3	2883.2	0.0	209.1	384.1	201.0	1525.1	0.606	0.000	0.000	0.000	0.613	0.000	0.000	0.384	0.000	0.000	0.000	0.416	0.000	0.185	0.106	0.001	0.117
d30vnupre	039252_3	nu	1	29	27.189	1.95	1.95	0.0	389	48	6	14	14	3692	668	0.4629249572753906	0.30744171142578125	0.3756866455078125	526.4	111.9	91.6	8.8	12997.8	0.3	2098.5	4330.3	109.3	3.0	24.6	4572.2	0.0	212.3	358.3	153.7	1026.7	0.463	0.000	0.000	0.000	0.307	0.000	0.054	0.376	0.000	0.000	0.000	0.247	0.000	0.185	0.107	0.000	0.060
d30vnupre	039252_4	nu	1	46	43.604	1.93	1.9785118103027344	0.04851181030273444	552	56	1	17	17	6184	933	0.5930900573730469	0.49927520751953125	0.4776458740234375	671.6	154.7	112.4	11.3	28708.2	0.3	3553.0	7208.5	121.1	2.5	45.1	645.0	0.0	188.2	209.1	275.6	1066.0	0.593	0.000	0.000	0.000	0.499	0.000	0.000	0.478	0.000	0.000	0.000	0.001	0.000	0.153	0.000	0.000	0.093
d30vnupre	039252_5	nu	1	55	50.235	2.28	2.28	0.0	707	45	1	15	15	5299	729	0.6887626647949219	0.7274818420410156	0.4100151062011719	796.6	165.4	136.7	15.9	33091.6	0.3	5894.4	6822.4	136.0	3.1	70.5	338.1	0.0	183.3	247.4	277.6	1231.1	0.689	0.001	0.000	0.000	0.727	0.000	0.000	0.410	0.000	0.000	0.000	0.001	0.000	0.153	0.000	0.000	0.122
d30vnupre	039252_6	nu	1	42	36.692	2.33	2.33	0.0	579	56	7	22	22	5538	542	0.5152931213378906	0.3919944763183594	0.6428337097167969	577.3	149.4	107.2	12.5	18513.5	0.3	3720.4	7953.3	115.3	35.9	71.5	2625.0	0.0	196.9	366.4	301.4	1250.4	0.515	0.000	0.000	0.000	0.392	0.000	0.045	0.643	0.000	0.000	0.000	0.175	0.000	0.184	0.115	0.000	0.095
d30vnupre	039252_7	nu	1	28	27.276	1.87	1.87	0.0	540	48	5	15	15	4678	708	0.44901275634765625	0.3021507263183594	0.4197959899902344	515.5	113.5	83.9	9.0	12273.7	0.3	2176.8	4509.7	105.0	4.1	44.8	5126.5	0.0	202.6	402.8	183.0	962.1	0.449	0.000	0.000	0.000	0.302	0.000	0.047	0.420	0.000	0.000	0.000	0.158	0.000	0.185	0.106	0.000	0.055
d30vnupre	039252_8	nu	1	81	79.098	2.73	2.73	0.0	460	47	6	19	19	7738	935	0.6328697204589844	0.82177734375	0.5915641784667969	723.2	154.7	139.5	12.5	44441.0	0.3	14531.0	10690.8	170.7	61.8	457.0	4139.9	0.0	205.7	495.4	385.4	1544.1	0.633	0.000	0.000	0.000	0.822	0.000	0.000	0.592	0.000	0.000	0.000	0.093	0.000	0.187	0.139	0.000	0.091
d30vnupre	039252_9	nu	1	26	23.35	1.87	1.9956302642822266	0.12563026428222646	385	48	6	24	24	7077	762	0.4482574462890625	0.2522773742675781	0.63348388671875	502.2	104.3	84.4	7.9	9735.3	0.2	1455.9	6615.8	83.1	3.8	44.1	2449.0	0.0	216.7	244.1	273.8	1033.0	0.448	0.000	0.000	0.000	0.252	0.000	0.054	0.633	0.000	0.000	0.000	0.111	0.000	0.186	0.066	0.001	0.096
d30vnupre	039253_0	nu	1	22	19.356	1.72	1.8786239624023438	0.15862396240234378	445	53	6	19	19	5242	695	0.4498329162597656	0.26209259033203125	0.4513893127441406	522.4	116.5	86.3	8.2	9324.2	0.2	851.2	4753.6	98.8	18.6	99.8	1420.3	0.0	211.7	211.5	193.7	1014.3	0.450	0.001	0.000	0.000	0.262	0.000	0.028	0.451	0.000	0.000	0.000	0.196	0.000	0.186	0.060	0.001	0.097
d30vnupre	039253_10	nu	1	28	22.939	1.64	1.6920089721679688	0.05200897216796885	343	41	4	16	16	7554	1023	0.377777099609375	0.22167205810546875	0.5621566772460938	466.1	92.3	73.2	7.0	8124.5	0.2	693.2	6713.4	74.0	2.6	27.6	4646.9	0.0	216.2	366.5	241.7	782.9	0.378	0.000	0.000	0.000	0.222	0.000	0.036	0.562	0.000	0.000	0.000	0.023	0.000	0.187	0.088	0.000	0.054
d30vnupre	039253_11	nu	1	54	49.142	2.73	2.8461551666259766	0.11615516662597658	563	49	6	25	25	8033	818	0.6572914123535156	0.6380195617675781	0.9283180236816406	753.8	157.9	127.7	12.4	25958.3	0.3	3097.9	12299.4	141.8	21.7	118.4	3020.8	0.0	204.7	394.7	524.1	1535.3	0.657	0.000	0.000	0.000	0.638	0.000	0.000	0.928	0.000	0.000	0.000	0.028	0.000	0.185	0.112	0.002	0.119
d30vnupre	039253_12	nu	1	26	23.664	1.66	1.753530502319336	0.09353050231933602	424	46	4	15	15	3475	544	0.4515953063964844	0.2965202331542969	0.2915000915527344	513.0	113.4	91.5	9.0	12602.5	0.3	2403.2	2803.5	96.2	10.4	68.7	2876.1	0.0	221.2	252.4	130.5	925.9	0.452	0.001	0.000	0.000	0.297	0.000	0.068	0.292	0.000	0.000	0.000	0.143	0.000	0.184	0.070	0.001	0.098
