tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30vpre	039252_0	stm	1	26	13.872	1.25	1.25	0.0	345	36	6	15	15	4427	575	0.3296012878417969	0.22038650512695312	0.3662223815917969	384.9	80.3	64.7	6.4	7202.6	0.2	691.8	4122.2	75.5	2.6	33.2	0.0	0.0	0.0	0.3	302.5	556.3	0.330	0.000	0.000	0.000	0.220	0.000	0.014	0.366	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.022
d30vpre	039252_10	stm	1	31	18.509	1.55	1.55	0.0	348	47	2	18	18	6219	900	0.4330787658691406	0.2544212341308594	0.5306892395019531	476.5	105.3	83.7	7.2	9479.1	0.3	1082.5	5612.7	86.3	2.3	25.6	0.0	0.0	0.0	0.3	375.1	707.3	0.433	0.000	0.000	0.000	0.254	0.000	0.029	0.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	-0.000
d30vpre	039252_11	stm	1	32	18.976	1.36	1.4712905883789062	0.11129058837890615	415	38	0	14	14	4039	621	0.452789306640625	0.3682861328125	0.2684745788574219	496.9	110.4	88.5	8.3	11487.3	0.3	2078.2	3031.8	82.8	1.9	36.4	0.0	0.0	0.0	0.3	277.9	777.9	0.453	0.001	0.000	0.000	0.368	0.000	0.001	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.083
d30vpre	039252_12	stm	1	48	34.358	1.6	1.8054676055908203	0.20546760559082022	451	51	8	20	20	5602	1131	0.5621261596679688	0.6404037475585938	0.2342681884765625	597.9	140.3	111.3	10.5	22955.1	0.3	3139.7	5234.8	125.7	20.9	49.5	0.0	0.0	0.0	0.3	344.5	944.1	0.562	0.000	0.001	0.000	0.640	0.000	0.000	0.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.055
d30vpre	039252_13	stm	1	35	22.301	1.52	1.52	0.0	360	42	3	17	17	6784	1124	0.41419219970703125	0.2783660888671875	0.492462158203125	452.3	101.8	77.8	7.7	11267.1	0.2	2038.3	6669.8	85.7	2.3	28.0	0.0	0.0	0.0	0.3	368.6	695.1	0.414	0.000	0.000	0.000	0.278	0.000	0.033	0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.001
d30vpre	039252_14	stm	1	48	45.138	2.39	2.3931884765625	0.0031884765624998757	614	47	5	20	20	6891	900	0.6804542541503906	0.5566635131835938	0.8232536315917969	724.9	163.7	135.7	14.5	26400.4	0.3	4105.6	10643.4	153.3	3.3	62.0	0.0	0.0	0.0	0.3	556.0	1242.6	0.680	0.000	0.000	0.000	0.557	0.000	0.000	0.823	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039252_15	stm	1	33	27.381	2.04	2.0404624938964844	0.00046249389648433947	465	47	5	21	21	5984	632	0.5661506652832031	0.3443870544433594	0.7388496398925781	645.9	132.4	105.5	10.3	14188.1	0.3	2151.0	7900.8	124.7	4.8	31.0	0.0	0.0	0.0	0.3	476.9	952.0	0.566	0.000	0.000	0.000	0.344	0.000	0.071	0.739	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.003
d30vpre	039252_16	stm	1	60	51.499	3.08	3.08	0.0	816	58	7	27	27	10738	1002	0.7491874694824219	0.5723876953125	1.4123344421386719	822.2	176.2	175.2	22.2	24842.5	0.4	3452.1	18596.9	137.9	56.4	242.4	0.0	0.0	0.0	0.4	815.5	1307.7	0.749	0.000	0.000	0.001	0.572	0.000	0.000	1.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.001
d30vpre	039252_17	stm	1	48	39.538	2.68	2.6839447021484375	0.00394470214843734	569	53	5	27	27	9274	886	0.6175117492675781	0.3732757568359375	1.3073444366455078	715.5	157.4	119.0	11.8	17336.1	0.3	2296.9	16093.6	118.9	14.3	63.7	0.0	0.0	0.0	0.3	780.9	1068.5	0.618	0.000	0.001	0.000	0.373	0.000	0.058	1.307	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	-0.000
d30vpre	039252_1	stm	1	37	34.291	1.86	1.8609619140625	0.0009619140624999023	475	38	2	14	14	5659	864	0.5920867919921875	0.4477500915527344	0.4326591491699219	694.6	156.6	115.9	12.3	21577.5	0.3	2912.1	6462.7	128.3	2.8	38.2	0.0	0.0	0.0	0.3	365.6	1109.5	0.592	0.000	0.000	0.000	0.448	0.000	0.000	0.433	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.072
d30vpre	039252_2	stm	1	43	41.223	2.02	2.02	0.0	522	54	9	16	16	4029	570	0.6044197082519531	0.6160697937011719	0.38506317138671875	662.5	146.5	116.8	12.2	25290.3	0.3	7132.3	5217.5	157.8	8.8	105.2	0.0	0.0	0.0	0.4	356.3	1112.0	0.604	0.000	0.000	0.000	0.616	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.086
d30vpre	039252_3	stm	1	26	22.412	1.2	1.5588855743408203	0.35888557434082036	389	48	6	14	14	3692	668	0.4629249572753906	0.3067893981933594	0.3751335144042969	545.0	109.8	92.6	8.5	13399.2	0.3	2105.9	4362.7	107.5	3.3	24.9	0.0	0.0	0.0	0.3	294.3	784.2	0.463	0.000	0.000	0.000	0.307	0.000	0.055	0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.057
