tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30r2a	028084_18	stm	1	80	78.669	4.59	4.59	0.0	98	65	6	26	26	10599	1088	0.7432441711425781	1.13525390625	2.057342529296875	701.1	147.4	117.2	0.0	34917.0	0.2	5927.5	31464.8	221.1	30.6	136.5	0.0	0.0	0.0	0.1	1974.7	1289.7	0.743	0.000	0.000	0.000	1.135	0.000	0.000	2.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.268	0.152
d30r2a	028084_2	stm	1	68	65.7	5.0	5.0	0.0	99	63	5	36	36	14931	1153	0.5965499877929688	0.3804206848144531	3.343524932861328	536.2	104.7	82.8	0.0	14598.2	0.2	2234.2	43327.7	176.9	0.8	5.3	0.0	0.0	0.0	0.1	2374.6	1127.0	0.597	0.000	0.000	0.000	0.380	0.000	0.099	3.344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.202	0.158
d30r2a	029107_12	stm	1	48	46.192	3.17	3.17	0.0	92	69	8	27	27	10819	1181	0.4654655456542969	0.3466072082519531	1.7611312866210938	429.5	87.5	67.8	0.0	13896.1	0.2	2650.0	24524.1	145.9	325.3	865.0	0.0	0.0	0.0	0.1	1435.4	818.2	0.465	0.000	0.000	0.000	0.347	0.000	0.054	1.761	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.240	0.109
d30r2a	029107_15	stm	1	46	44.529	3.35	3.5001564025878906	0.15015640258789054	102	62	2	29	29	10719	989	0.5508499145507812	0.361358642578125	1.9065570831298828	509.4	102.1	78.4	0.0	17010.1	0.2	3136.7	20240.8	172.9	0.9	18.3	0.0	0.0	0.0	0.1	1433.4	928.1	0.551	0.000	0.001	0.000	0.361	0.000	0.114	1.907	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.219	0.148
d30r2a	029107_18	stm	1	66	64.917	4.29	4.308223724365234	0.01822372436523434	105	70	7	34	34	16249	1068	0.5679702758789062	0.441558837890625	2.5870227813720703	505.4	106.9	81.0	0.0	17462.7	0.2	4142.5	37790.4	190.2	4.1	43.4	0.0	0.0	0.0	0.1	1978.8	1298.3	0.568	0.000	0.000	0.000	0.442	0.000	0.124	2.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.168
d30r2a	029107_9	stm	1	15	13.198	1.39	1.39	0.0	106	71	4	15	15	4987	984	0.19277191162109375	0.22450637817382812	0.4285850524902344	209.8	47.2	34.4	0.0	5074.8	0.1	1248.5	5064.7	98.4	0.8	12.0	0.0	0.0	0.0	0.1	381.5	353.4	0.193	0.000	0.000	0.000	0.225	0.000	0.049	0.429	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.179	0.127
d30r2b	028084_18	stm	1	81	79.465	4.58	4.58	0.0	98	65	6	26	26	10599	1088	0.7452011108398438	1.1358070373535156	2.0539283752441406	701.4	154.9	119.4	0.0	35399.3	0.2	6087.5	31736.7	259.9	36.6	158.5	0.0	0.0	0.0	0.1	2002.4	1280.0	0.745	0.001	0.000	0.000	1.136	0.000	0.000	2.054	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.263	0.153
d30r2b	028084_2	stm	1	67	65.303	5.0	5.0	0.0	99	63	5	36	36	14931	1153	0.5959815979003906	0.3854560852050781	3.3397293090820312	526.2	104.6	78.8	0.0	14376.4	0.2	2250.4	43122.4	175.6	1.7	5.2	0.0	0.0	0.0	0.0	2398.9	1136.5	0.596	0.000	0.000	0.000	0.385	0.000	0.098	3.340	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.157
d30r2b	029107_12	stm	1	47	46.305	3.17	3.17	0.0	92	69	8	27	27	10819	1181	0.4674530029296875	0.3436126708984375	1.7616748809814453	428.6	89.2	67.7	0.0	13837.1	0.2	2704.9	24680.0	146.3	318.6	871.1	0.0	0.0	0.0	0.1	1413.7	806.0	0.467	0.000	0.000	0.000	0.344	0.000	0.053	1.762	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.240	0.111
d30r2b	029107_15	stm	1	45	44.058	3.5	3.5025882720947266	0.0025882720947265625	102	62	2	29	29	10719	989	0.5501747131347656	0.3653106689453125	1.9071197509765625	495.8	102.5	78.2	0.0	16893.6	0.2	2983.7	19980.4	172.7	0.9	18.2	0.0	0.0	0.0	0.1	1465.7	946.4	0.550	0.000	0.000	0.000	0.365	0.000	0.112	1.907	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.218	0.149
d30r2b	029107_18	stm	1	66	64.246	4.31	4.311618804931641	0.0016188049316410158	105	70	7	34	34	16249	1068	0.5695953369140625	0.44547271728515625	2.5844860076904297	493.8	103.8	76.9	0.0	17653.8	0.2	4265.1	37215.0	191.8	3.9	45.9	0.0	0.0	0.0	0.1	1902.8	1042.3	0.570	0.000	0.000	0.000	0.445	0.000	0.126	2.584	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.168
d30r2b	029107_9	stm	1	14	13.264	1.38	1.38	0.0	106	71	4	15	15	4987	984	0.19031143188476562	0.22624588012695312	0.4263916015625	189.3	43.6	31.5	0.0	5132.1	0.1	1263.3	5098.4	100.4	0.8	12.6	0.0	0.0	0.0	0.1	385.3	350.9	0.190	0.000	0.000	0.000	0.226	0.000	0.049	0.426	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.179	0.117
