tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30r3off	028084_18	stm	1	86	84.835	4.58	4.583320617675781	0.003320617675781179	98	65	6	26	26	10599	1088	0.7460212707519531	1.1372852325439453	2.053680419921875	717.3	154.1	122.3	0.0	38300.9	0.2	6211.0	33994.2	224.0	30.5	141.8	0.0	0.0	0.0	0.1	2014.2	1303.3	0.746	0.000	0.000	0.000	1.137	0.000	0.000	2.054	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.265	0.153
d30r3off	028084_2	stm	1	70	68.128	5.0	5.0	0.0	99	63	5	36	36	14931	1153	0.5967369079589844	0.3855857849121094	3.3460044860839844	535.4	108.5	83.2	0.0	14850.0	0.2	2364.9	45163.1	181.6	0.8	4.9	0.0	0.0	0.0	0.0	2515.5	1143.8	0.597	0.000	0.000	0.000	0.386	0.000	0.098	3.346	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.202	0.154
d30r3off	029107_12	stm	1	52	50.228	3.17	3.17	0.0	92	69	8	27	27	10819	1181	0.467498779296875	0.3463020324707031	1.7629623413085938	441.9	91.8	71.9	0.0	15399.2	0.2	3077.7	26286.4	158.4	345.3	977.6	0.0	0.0	0.0	0.2	1491.3	861.6	0.467	0.000	0.000	0.000	0.346	0.000	0.055	1.763	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.241	0.108
d30r3off	029107_15	stm	1	49	47.215	3.51	3.51	0.0	102	62	2	29	29	10719	989	0.55059814453125	0.3670082092285156	1.9048881530761719	527.5	107.0	83.4	0.0	18313.0	0.2	3206.7	21497.3	185.5	0.9	17.1	0.0	0.0	0.0	0.1	1425.7	934.9	0.551	0.000	0.001	0.000	0.367	0.000	0.114	1.905	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.219	0.151
d30r3off	029107_18	stm	1	68	65.727	4.31	4.31	0.0	105	70	7	34	34	16249	1068	0.5692138671875	0.4425544738769531	2.588653564453125	507.9	105.3	80.0	0.0	18014.0	0.2	4304.2	38260.8	197.5	4.0	41.6	0.0	0.0	0.0	0.1	1910.9	1042.5	0.569	0.000	0.000	0.000	0.443	0.000	0.123	2.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.169
d30r3off	029107_9	stm	1	14	13.302	1.39	1.39	0.0	106	71	4	15	15	4987	984	0.19082260131835938	0.22240066528320312	0.4259452819824219	186.3	42.1	29.9	0.0	5026.8	0.1	1270.7	5188.6	101.4	0.9	12.7	0.0	0.0	0.0	0.1	392.8	349.3	0.191	0.000	0.000	0.000	0.222	0.000	0.054	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.180	0.123
d30r3hon	028084_18	stm	1	64	62.601	2.4	2.4043846130371094	0.004384613037109464	98	65	6	26	26	10599	1088	0.7467041015625	1.1402702331542969	0.031497955322265625	737.0	151.2	120.8	0.0	36846.2	0.2	6119.0	15337.6	236.5	33.3	149.9	0.0	0.0	0.0	0.1	269.4	1037.5	0.747	0.000	0.000	0.000	1.140	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.110
d30r3hon	028084_2	stm	1	44	42.583	2.02	2.190876007080078	0.1708760070800781	99	63	5	36	36	14931	1153	0.5965499877929688	0.3854560852050781	0.5070533752441406	574.8	110.6	84.0	0.0	15010.4	0.2	2413.1	21856.9	182.1	1.5	4.9	0.0	0.0	0.0	0.1	306.6	817.0	0.597	0.000	0.000	0.000	0.385	0.000	0.098	0.507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.235
d30r3hon	029107_12	stm	1	35	33.726	1.73	1.7316436767578125	0.0016436767578125178	92	69	8	27	27	10819	1181	0.465484619140625	0.3469963073730469	0.3360710144042969	439.2	89.3	70.5	0.0	14632.8	0.2	2766.0	12382.4	155.3	348.3	974.3	0.0	0.0	0.0	0.1	241.1	665.7	0.465	0.000	0.000	0.000	0.347	0.000	0.054	0.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.183
d30r3hon	029107_15	stm	1	34	33.29	1.95	1.95	0.0	102	62	2	29	29	10719	989	0.5508499145507812	0.3655738830566406	0.3309669494628906	505.5	101.8	78.2	0.0	17690.2	0.2	3211.2	9618.5	179.9	1.2	16.9	0.0	0.0	0.0	0.1	232.1	753.2	0.551	0.000	0.001	0.000	0.366	0.000	0.114	0.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.233
