tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30r3voff	039252_15	nu	1	27	25.027	2.38	2.38	0.0	465	47	5	21	21	5984	632	0.565582275390625	0.3454399108886719	0.45477294921875	621.0	133.7	105.6	9.9	11951.2	0.2	1998.3	6236.9	117.8	4.6	28.9	1361.5	0.0	181.7	261.7	293.4	1123.5	0.566	0.000	0.000	0.000	0.345	0.000	0.071	0.455	0.000	0.000	0.000	0.366	0.000	0.186	0.081	0.001	0.137
d30r3voff	039252_5	nu	1	47	45.7	2.16	2.2781944274902344	0.11819442749023423	707	45	1	15	15	5299	729	0.6876258850097656	0.7270164489746094	0.18416976928710938	738.8	159.5	129.7	14.6	30121.4	0.3	5717.8	5487.4	145.0	3.4	79.0	375.9	0.0	183.6	257.6	279.0	1249.4	0.688	0.000	0.000	0.000	0.727	0.000	-0.000	0.184	0.000	0.000	0.000	0.052	0.000	0.184	0.050	0.001	0.210
d30r3voff	039252_8	nu	1	74	72.339	2.64	2.7320003509521484	0.09200035095214831	460	47	6	19	19	7738	935	0.6317329406738281	0.8217201232910156	0.26343536376953125	702.5	140.4	117.8	11.5	41972.2	0.2	12975.3	9050.1	161.5	56.8	379.7	3627.4	0.0	191.1	455.2	344.3	1338.6	0.632	0.001	0.000	0.000	0.822	0.000	-0.000	0.263	0.000	0.000	0.001	0.419	0.000	0.187	0.140	0.000	0.090
d30r3voff	039253_11	nu	1	44	42.312	2.74	2.8505420684814453	0.1105420684814451	563	49	6	25	25	8033	818	0.6586723327636719	0.6422691345214844	0.4785003662109375	722.8	151.4	126.4	11.8	23333.6	0.3	2672.2	9418.4	141.2	20.2	100.6	2518.6	0.0	186.9	349.5	476.0	1353.0	0.659	0.000	0.000	0.000	0.642	0.000	0.000	0.479	0.000	0.000	0.000	0.476	0.000	0.185	0.116	0.001	0.116
d30r3voff	039253_15	nu	1	29	27.603	2.06	2.0804405212402344	0.02044052124023432	440	56	7	17	17	6499	868	0.43592071533203125	0.2932167053222656	0.3617095947265625	473.3	98.9	80.1	7.9	9684.1	0.2	1682.9	4897.3	97.8	18.4	199.3	7996.3	0.0	185.6	431.8	228.9	964.7	0.436	0.000	0.000	0.000	0.293	0.000	0.050	0.362	0.000	0.000	0.001	0.450	0.000	0.180	0.132	0.000	0.029
d30r3voff	039349_6	nu	1	14	12.38	0.87	1.146841049194336	0.27684104919433594	252	34	4	13	13	4148	627	0.20983123779296875	0.14418411254882812	0.210174560546875	245.6	52.1	43.7	4.0	3900.8	0.2	311.2	3317.9	52.3	12.8	13.8	3212.2	0.0	172.2	259.9	131.7	454.5	0.210	0.002	0.000	0.000	0.144	0.000	0.011	0.210	0.000	0.000	0.000	0.152	0.000	0.186	0.077	0.001	0.011
d30r3voff	039349_7	nu	1	22	21.225	1.94	1.94	0.0	304	36	7	17	17	5238	680	0.4052734375	0.255096435546875	0.3795623779296875	433.3	90.1	75.7	6.4	8195.2	0.2	1421.4	4821.4	83.7	56.2	185.3	3824.2	0.0	180.0	343.4	236.4	871.4	0.405	0.001	0.000	0.000	0.255	0.000	0.024	0.380	0.000	0.000	0.001	0.387	0.000	0.187	0.111	0.000	0.038
d30r3vp0	039252_15	nu	1	25	22.727	2.07	2.07	0.0	465	47	5	21	21	5984	632	0.5658340454101562	0.3411750793457031	0.165283203125	619.6	131.3	107.1	12.0	12155.6	0.2	1888.1	3983.8	115.2	5.5	29.8	1442.6	0.0	183.1	263.8	59.3	1099.4	0.566	0.000	0.000	0.000	0.341	0.000	0.072	0.165	0.000	0.000	0.000	0.357	0.000	0.185	0.077	0.001	0.136
d30r3vp0	039252_5	nu	1	43	41.141	2.02	2.02	0.0	707	45	1	15	15	5299	729	0.6892585754394531	0.730255126953125	0.00984954833984375	731.7	158.8	128.7	14.3	28918.0	0.3	5146.6	3198.6	127.7	3.3	66.6	260.8	0.0	176.7	257.0	52.6	1172.0	0.689	0.000	0.000	0.000	0.730	0.000	-0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.159	0.073	0.000	0.179
d30r3vp0	039252_8	nu	1	67	65.164	2.37	2.3717880249023438	0.0017880249023436434	460	47	6	19	19	7738	935	0.6338043212890625	0.81890869140625	0.001483917236328125	676.6	140.8	120.8	11.9	39791.6	0.2	12735.6	4781.5	163.5	58.4	389.5	3457.7	0.0	188.8	424.3	61.4	1310.2	0.634	0.001	0.000	0.000	0.819	0.000	-0.000	0.001	0.000	0.000	0.000	0.327	0.000	0.185	0.132	0.001	0.099
