# doc pdvd/55 sec 17 -- CheckSTM_Michel failure register, arm d53v.
# One row per (item, failure class).  Regenerate with pdhd/stm_michel_scan/mkfailures.py after a fix to see whether a class shrank.
# 'scan' columns are the hand scan (doc 55); everything else is the chain's own payload.
item	scan_id	tranche	failure_class	scan_verdict	chain_is_stm	chain_reject	detail
039252_8/93	76	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039253_14/84	116	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039349_13/56	201	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039349_21/26	240	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039349_22/45	246	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039349_26/51	267	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039349_38/60	329	1	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039349_59/14	433	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039349_6/62	439	2	A_is_stm_false_positive	THRU	1	STM	chain is_stm=1, scan THRU
039252_0/75	2	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039252_12/123	16	2	B_is_stm_false_negative	STM_ONLY	0	no_bragg	scan STM_ONLY, chain rejects no_bragg
039252_12/95	14	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
039252_15/81	28	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039252_16/108	37	2	B_is_stm_false_negative	STM_ONLY	0	plateau_off_mip	scan STM_ONLY, chain rejects plateau_off_mip
039252_16/110	38	2	B_is_stm_false_negative	STM_ONLY	0	no_bragg|shape_flat	scan STM_ONLY, chain rejects no_bragg|shape_flat
039252_16/32	31	2	B_is_stm_false_negative	STM_MICHEL	0	profile_sparse	scan STM_MICHEL, chain rejects profile_sparse
039252_16/98	36	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat|profile_sparse	scan STM_MICHEL, chain rejects shape_flat|profile_sparse
039252_17/104	43	2	B_is_stm_false_negative	STM_ONLY	0	shape_flat	scan STM_ONLY, chain rejects shape_flat
039252_17/88	40	2	B_is_stm_false_negative	STM_MICHEL	0	plateau_off_mip	scan STM_MICHEL, chain rejects plateau_off_mip
039252_2/103	50	2	B_is_stm_false_negative	STM_MICHEL	0	stop_near_boundary	scan STM_MICHEL, chain rejects stop_near_boundary
039252_2/39	44	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039252_2/55	45	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
039252_3/75	56	2	B_is_stm_false_negative	STM_ONLY	0	no_bragg|shape_flat	scan STM_ONLY, chain rejects no_bragg|shape_flat
039252_5/73	59	2	B_is_stm_false_negative	STM_ONLY	0	shape_flat	scan STM_ONLY, chain rejects shape_flat
039252_6/100	64	2	B_is_stm_false_negative	STM_ONLY	0	no_bragg|shape_flat	scan STM_ONLY, chain rejects no_bragg|shape_flat
039252_6/106	65	2	B_is_stm_false_negative	STM_ONLY	0	plateau_off_mip	scan STM_ONLY, chain rejects plateau_off_mip
039252_7/98	70	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039252_7/99	71	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039252_8/102	78	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|plateau_off_mip	scan STM_MICHEL, chain rejects no_bragg|plateau_off_mip
039252_8/82	74	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
039252_9/101	84	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039252_9/49	80	2	B_is_stm_false_negative	STM_ONLY	0	no_bragg|shape_flat	scan STM_ONLY, chain rejects no_bragg|shape_flat
039252_9/52	81	1	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039252_9/94	83	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
039253_0/102	89	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_0/110	90	2	B_is_stm_false_negative	STM_MICHEL	0	stop_near_boundary	scan STM_MICHEL, chain rejects stop_near_boundary
039253_0/44	86	2	B_is_stm_false_negative	STM_ONLY	0	shape_flat	scan STM_ONLY, chain rejects shape_flat
039253_1/79	92	2	B_is_stm_false_negative	STM_ONLY	0	shape_flat	scan STM_ONLY, chain rejects shape_flat
039253_1/98	93	2	B_is_stm_false_negative	STM_ONLY	0	not_muon_pid	scan STM_ONLY, chain rejects not_muon_pid
039253_10/77	98	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_13/39	110	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
039253_13/73	111	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_15/105	124	1	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_15/45	120	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
039253_17/115	133	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
039253_17/77	131	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat|profile_sparse	scan STM_MICHEL, chain rejects shape_flat|profile_sparse
039253_2/13	135	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_2/77	138	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_3/29	142	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_3/61	143	2	B_is_stm_false_negative	STM_MICHEL	0	no_bragg|shape_flat	scan STM_MICHEL, chain rejects no_bragg|shape_flat
039253_4/79	146	2	B_is_stm_false_negative	STM_MICHEL	0	shape_flat	scan STM_MICHEL, chain rejects shape_flat
