# doc pdhd/12 -- ANSWER KEY for the pdvd STM + Michel scan.
# Committed on purpose: it is the record of the sample at arm d15vnu /
# HEAD c0b1613b, and a scan whose key lives only beside a work/ arm stops
# being scorable the day that arm is retired.
# THE BLIND ON THIS FILE IS AN HONOUR RULE, NOT A STRUCTURAL ONE, and doc
# pdhd/12 sec 6 says so.  What IS structural is the display: the viewer
# never opens this file, and the chain's answer reaches no data source
# unless REVEAL is on -- proved by poisoning it.  Do not open this while
# scanning, and that goes for an assistant reading it on your behalf.
scan_id	tranche	stratum	event	cluster	npts	muon_len_cm	is_stm	michel_found	michel_conn_type	michel_len	michel_ke_best	michel_kink_deg	n_dots	in_fv	reject_bits	reject_names	n_near	n_far
5	1	S1	039252_0	82	176	107.4	1	1	1	4.97	13.27	39.1	0	1	0	STM	695	7242
6	1	S1	039252_1	30	222	132.74	1	1	1	15.41	31.95	58.3	0	1	0	STM	1258	7778
21	1	S1	039252_14	37	169	100.92	1	1	2	7.48	8.3	-1.0	1	1	0	STM	812	7762
27	1	S1	039252_15	77	189	113.08	1	1	2	16.08	51.55	-1.0	2	1	0	STM	1577	7627
47	1	S1	039252_2	83	51	30.11	1	1	1	4.64	21.29	79.8	0	1	0	STM	4228	7701
55	1	S1	039252_3	74	152	87.75	1	1	1	12.2	14.21	117.9	0	1	0	STM	1525	7808
60	1	S4	039252_6	26	408	246.58	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	1929	7979
71	1	S3	039252_7	99	548	328.75	0	1	1	5.41	21.75	96.2	1	1	12	no_bragg|shape_flat	2477	7934
82	1	S2	039252_9	88	154	91.87	1	0	0	0.0	0.0	-1.0	0	1	0	STM	645	7898
92	1	S4	039253_1	79	104	61.97	0	0	0	0.0	0.0	-1.0	0	1	8	shape_flat	2946	7717
98	1	S3	039253_10	77	346	206.63	0	1	2	1.4	3.54	-1.0	1	1	12	no_bragg|shape_flat	1417	7487
104	1	S2	039253_11	106	525	313.28	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2625	7637
106	1	S1	039253_12	35	344	205.78	1	1	1	7.94	20.63	66.0	1	1	0	STM	2225	7917
