# PR cluster_id remap for bee/d147r3/d147r3-tail8.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
294174	0	16	19	flash-matched	19:3881, 9:610
294174	0	25	6	flash-matched	6:598
294174	0	42	9	flash-matched	9:13
294174	0	43	9	flash-matched	9:35
294174	0	44	9	flash-matched	9:43
294174	0	45	19	flash-matched	19:12
294174	0	46	19	flash-matched	19:6
294174	0	47	19	flash-matched	19:10
294174	0	48	19	flash-matched	19:17
294174	0	49	19	flash-matched	19:12
294174	0	50	19	flash-matched	19:20
294174	0	51	19	flash-matched	19:22
294174	0	52	19	flash-matched	19:13
294174	0	53	19	flash-matched	19:3
294174	0	54	19	flash-matched	19:5
294174	0	55	19	flash-matched	19:11
294174	0	56	19	flash-matched	19:3
294174	0	57	19	flash-matched	19:9
294174	0	59	19	flash-matched	19:14
294174	0	60	19	flash-matched	19:7
294174	0	61	19	flash-matched	19:11
294174	0	62	19	flash-matched	19:17
294174	0	63	19	flash-matched	19:53
294174	0	64	19	flash-matched	19:293
294174	0	65	19	flash-matched	19:6
294174	0	71	19	flash-matched	19:266
294174	0	72	19	flash-matched	19:124
294174	0	73	6	flash-matched	6:35
294174	0	74	6	flash-matched	6:13
294174	0	75	6	flash-matched	6:24
294174	0	76	6	flash-matched	6:3
294174	0	77	19	flash-matched	19:10
406631	1	18	8	flash-matched	8:2749
406631	1	23	3	flash-matched	3:14
406631	1	24	14	flash-matched	14:14
406631	1	25	15	flash-matched	15:10
406631	1	26	16	flash-matched	16:13
406631	1	27	20	flash-matched	20:11
406631	1	58	8	flash-matched	8:15
406631	1	59	8	flash-matched	8:15
406631	1	60	8	flash-matched	8:47
406631	1	61	8	flash-matched	8:12
406631	1	62	8	flash-matched	8:60
240636	2	12	5	flash-matched	5:2988
240636	2	20	11	flash-matched	11:10
240636	2	42	5	flash-matched	5:10
240636	2	43	5	flash-matched	5:16
240636	2	44	5	flash-matched	5:19
240636	2	45	5	flash-matched	5:8
240636	2	46	5	flash-matched	5:6
101828	3	18	12	flash-matched	12:3280
101828	3	19	1	flash-matched	1:11
101828	3	20	2	flash-matched	2:8
101828	3	21	3	flash-matched	3:14
101828	3	22	11	flash-matched	11:337
101828	3	28	12	flash-matched	12:13
101828	3	29	12	flash-matched	12:11
101828	3	30	12	flash-matched	12:7
101828	3	31	12	flash-matched	12:10
101828	3	32	12	flash-matched	12:29
101828	3	33	11	flash-matched	11:15
101828	3	34	11	flash-matched	11:336
395610	4	22	4	flash-matched	4:1581, 24:231
395610	4	28	11	flash-matched	11:1689
395610	4	51	24	flash-matched	24:13
395610	4	52	24	flash-matched	24:15
395610	4	53	11	flash-matched	11:20
395610	4	54	11	flash-matched	11:8
395610	4	55	11	flash-matched	11:13
350935	5	11	5	flash-matched	5:538
350935	5	16	1	flash-matched	1:5
350935	5	17	8	flash-matched	8:1857
350935	5	37	5	flash-matched	5:6
350935	5	38	5	flash-matched	5:16
350935	5	39	5	flash-matched	5:6
350935	5	51	8	flash-matched	8:14
350935	5	52	8	flash-matched	8:16
94392	6	5	4	flash-matched	4:2790
94392	6	12	7	flash-matched	7:18
94392	6	13	10	flash-matched	10:11
94392	6	19	4	flash-matched	4:8
94392	6	20	4	flash-matched	4:10
94392	6	21	4	flash-matched	4:7
94392	6	22	4	flash-matched	4:17
94392	6	23	4	flash-matched	4:13
94392	6	24	4	flash-matched	4:15
94392	6	45	4	flash-matched	4:725
94392	6	46	7	flash-matched	7:6
321371	7	18	22	flash-matched	22:4522
321371	7	26	15	flash-matched	15:6
321371	7	27	19	flash-matched	19:1354
321371	7	46	22	flash-matched	22:13
321371	7	47	22	flash-matched	22:15
321371	7	48	22	flash-matched	22:8
321371	7	49	22	flash-matched	22:9
321371	7	50	19	flash-matched	19:15
