sample	run	subrun	event	classes	enu_a	enu_b	denu	numu_a	numu_b	nue_a	nue_b	vtx_move_cm	label_a	label_b	eval_a	eval_b	rc_a	rc_b	nuefill_a	nuefill_b
mcp1k	18255	1	54175	enu,nue_fill,numu	688.4645	827.1335	138.669	4.6130776	5.191546										filled	unfilled
mcp1k	18255	1	277298	enu,nue_fill,numu,vtx_cm	551.0442	446.2444	-104.800	-0.17831585	1.4147395			4.851							filled	unfilled
mcp1k	18255	1	282979	enu,nue_fill,numu,vtx_cm	248.93471	616.81866	367.884	-1.5176954	0.18081474			14.897							filled	unfilled
mcp1k	18255	1	293149	nue_fill,numu				-1.0700953	-0.46380055										filled	unfilled
mcp1k	18255	1	313781	enu,nue_fill,numu	110.85145	221.4419	110.590	-3.2222755	-3.170491										filled	unfilled
mcp1k	18255	1	386442	enu,nue_fill,numu,vtx_cm	248.77362	531.31915	282.546	-1.4281203	-0.40666375			4.893							filled	unfilled
mcp1k	18255	1	399052	enu,nue_fill,numu,vtx_cm	847.8719	585.00665	-262.865	0.46742564	0.06641914			21.866							unfilled	filled
mcp1k	18255	1	406752	enu,nue_fill,numu,vtx_cm	376.30414	125.672935	-250.631	0.23256148	-0.4952702			24.989							unfilled	filled
mcp1k	18255	1	489503	enu,nue_fill,numu	683.3699	583.24335	-100.127	0.046540633	1.296605										unfilled	filled
mcp1k	18259	1	67394	enu,nue_fill,numu	1193.7207	855.6025	-338.118	1.3813907	0.74240637										unfilled	filled
mcp1k	18259	1	73004	enu,nue_fill,numu	933.2572	705.6076	-227.650	2.9883897	3.4918694										unfilled	filled
mcp1k	18259	1	168526	enu,nue_fill,numu	2406.4536	2047.7715	-358.682	3.7231152	4.221229										unfilled	filled
mcp1k	18259	1	175896	enu,nue_fill,numu,vtx_cm	325.9428	386.3709	60.428	-1.5373074	-0.6323526			11.723							filled	unfilled
mcp2k	18255	1	51219	enu,nue_fill,numu	1056.5739	870.3589	-186.215	3.2436996	3.6453238										unfilled	filled
mcp2k	18255	1	52044	enu,nue_fill	571.90826	759.9492	188.041												filled	unfilled
mcp2k	18255	1	52605	enu,nue_fill,numu,vtx_cm	444.69882	287.55685	-157.142	-1.1008172	-2.443838			3.028							filled	unfilled
mcp2k	18255	1	69006	enu,nue_fill,numu	1140.6729	1012.3662	-128.307	3.6009014	3.6584117										unfilled	filled
mcp2k	18255	1	73336	enu,nue_fill,numu	595.31055	648.63715	53.327	-0.09960865	0.39760643										filled	unfilled
mcp2k	18255	1	75862	enu,nue_fill,numu,vtx_cm	618.9038	559.889	-59.015	3.9009852	3.718323			3.137							unfilled	filled
mcp2k	18255	1	76346	enu,nue_fill,numu,vtx_cm	319.4629	556.83887	237.376	-1.4859236	-1.3677757			37.302							filled	unfilled
mcp2k	18255	1	96383	nue_fill,numu,vtx_cm				-0.21326067	0.367966			4.936							unfilled	filled
mcp2k	18255	1	98844	nue_fill,numu,vtx_cm				1.2735525	0.6787831			52.377							filled	unfilled
mcp2k	18255	1	100135	enu,nue_fill,numu,vtx_cm	144.31503	1368.9137	1224.599	-0.9049279	4.4757986			2.064							filled	unfilled
mcp2k	18255	1	280159	enu,nue_fill,numu,vtx_cm	2238.959	1421.8358	-817.123	0.6839409	1.5412043			4.753							unfilled	filled
mcp2k	18255	1	281567	enu,nue_fill,numu,vtx_cm	1817.9952	1475.313	-342.682	-0.34420323	-0.48991913			5.860							filled	unfilled
mcp2k	18255	1	282837	enu,nue_fill,numu	701.1603	543.40533	-157.755	3.1428804	3.7582433										unfilled	filled
mcp2k	18255	1	289508	enu,nue_fill,numu,vtx_cm	872.9002	998.1422	125.242	1.9580917	2.8498445			1.439							filled	unfilled
mcp2k	18255	1	321169	enu,nue_fill,numu,vtx_cm	429.80148	307.38583	-122.416	-0.220286	-2.959882			2.997							filled	unfilled
mcp2k	18255	1	323125	enu,nue_fill,numu	275.09253	497.6098	222.517	0.26957914	-0.004736421										filled	unfilled
