sample	group	stage	n_events	rc	wall_s	maxrss_kb
nuecc48	g0	imaging	16	0	135.0	973852.0
nuecc48	g0	clus+QL	16	0	100.0	614108.0
nuecc48	g1	imaging	16	0	114.0	953260.0
nuecc48	g1	clus+QL	16	0	80.0	554232.0
nuecc48	g2	imaging	16	0	132.0	954980.0
nuecc48	g2	clus+QL	16	0	107.0	630424.0
ncpi0	g0	imaging	16	0	115.0	972120.0
ncpi0	g0	clus+QL	16	0	88.0	563032.0
ncpi0	g1	imaging	3	0	20.0	942520.0
ncpi0	g1	clus+QL	3	0	16.0	468792.0
mcp1k	g0	imaging	16	0	92.0	956640.0
mcp1k	g0	clus+QL	16	0	58.0	516352.0
mcp1k	g1	imaging	16	0	83.0	951736.0
mcp1k	g1	clus+QL	16	0	48.0	472732.0
mcp1k	g10	imaging	16	0	101.0	954544.0
mcp1k	g10	clus+QL	16	0	72.0	501244.0
mcp1k	g11	imaging	16	0	111.0	954240.0
mcp1k	g11	clus+QL	16	0	76.0	540588.0
mcp1k	g12	imaging	16	0	104.0	951780.0
mcp1k	g12	clus+QL	16	0	71.0	553436.0
mcp1k	g13	imaging	16	0	107.0	954152.0
mcp1k	g13	clus+QL	16	0	77.0	545672.0
mcp1k	g14	imaging	16	0	101.0	955072.0
mcp1k	g14	clus+QL	16	0	68.0	518292.0
mcp1k	g15	imaging	16	0	117.0	952600.0
mcp1k	g15	clus+QL	16	0	91.0	548060.0
mcp1k	g16	imaging	16	0	98.0	948284.0
mcp1k	g16	clus+QL	16	0	61.0	493168.0
mcp1k	g17	imaging	16	0	115.0	967808.0
mcp1k	g17	clus+QL	16	0	80.0	624708.0
mcp1k	g18	imaging	16	0	107.0	950744.0
mcp1k	g18	clus+QL	16	0	72.0	534576.0
mcp1k	g19	imaging	16	0	103.0	971620.0
mcp1k	g19	clus+QL	16	0	70.0	483088.0
mcp1k	g2	imaging	16	0	99.0	952316.0
mcp1k	g2	clus+QL	16	0	66.0	510472.0
mcp1k	g20	imaging	16	0	109.0	967800.0
mcp1k	g20	clus+QL	16	0	76.0	490232.0
mcp1k	g21	imaging	16	0	109.0	951444.0
mcp1k	g21	clus+QL	16	0	69.0	516316.0
mcp1k	g22	imaging	16	0	127.0	993732.0
mcp1k	g22	clus+QL	16	0	88.0	656476.0
mcp1k	g23	imaging	16	0	101.0	949964.0
mcp1k	g23	clus+QL	16	0	69.0	538892.0
mcp1k	g24	imaging	16	0	93.0	958084.0
mcp1k	g24	clus+QL	16	0	64.0	506368.0
mcp1k	g25	imaging	16	0	117.0	955956.0
mcp1k	g25	clus+QL	16	0	93.0	634816.0
mcp1k	g26	imaging	16	0	142.0	971720.0
mcp1k	g26	clus+QL	16	0	132.0	820052.0
mcp1k	g27	imaging	16	0	114.0	950784.0
mcp1k	g27	clus+QL	16	0	82.0	513644.0
mcp1k	g28	imaging	16	0	103.0	952996.0
mcp1k	g28	clus+QL	16	0	71.0	533304.0
mcp1k	g29	imaging	16	0	109.0	954888.0
mcp1k	g29	clus+QL	16	0	73.0	567424.0
mcp1k	g3	imaging	16	0	106.0	946572.0
mcp1k	g3	clus+QL	16	0	76.0	537140.0
mcp1k	g30	imaging	16	0	115.0	955132.0
mcp1k	g30	clus+QL	16	0	79.0	531456.0
mcp1k	g31	imaging	16	0	124.0	968176.0
mcp1k	g31	clus+QL	16	0	97.0	934264.0
