sample	metric	value
nuecc48	n_events	48
nuecc48	n_rc_nonzero	0
nuecc48	n_evaluated	48
nuecc48	n_degenerate	0
nuecc48	n_clean	48
nuecc48	label:cosmic-tagged	1
nuecc48	label:nu-candidate	47
nuecc48	n_cosmict_flag_0	48
nuecc48	n_dl_warn	0
nuecc48	enu_min_MeV	624.0
nuecc48	enu_median_MeV	1502.8
nuecc48	enu_max_MeV	3671.2
nuecc48	numu_median	-0.261
nuecc48	n_numu_gt_0.9	3
nuecc48	n_nue_filled	44
nuecc48	nue_median_filled	9.72
nuecc48	n_nue_gt_7.0	33
nuecc48	n_nue_gt_0.7	41
nuecc48	excluded_frac_median_pct	0.25
nuecc48	pr_core_s_median	15.26
nuecc48	pr_core_s_p90	40.81
nuecc48	pr_core_s_max	147.44
nuecc48	pr_core_h_sum	0.30
nuecc48	pr_wall_s_median@PR_JOBS=16	14.83
nuecc48	pr_procwall_s_median@PR_JOBS=16	15
nuecc48	pr_maxrss_GiB_median	1.19
nuecc48	pr_maxrss_GiB_p90	1.27
nuecc48	pr_maxrss_GiB_max	1.39
ncpi0	n_events	19
ncpi0	n_rc_nonzero	0
ncpi0	n_evaluated	19
ncpi0	n_degenerate	0
ncpi0	n_clean	19
ncpi0	label:nu-candidate	19
ncpi0	n_cosmict_flag_0	19
ncpi0	n_dl_warn	0
ncpi0	enu_min_MeV	125.8
ncpi0	enu_median_MeV	1437.9
ncpi0	enu_max_MeV	2678.3
ncpi0	numu_median	-0.141
ncpi0	n_numu_gt_0.9	4
ncpi0	n_nue_filled	6
ncpi0	nue_median_filled	-2.62
ncpi0	n_nue_gt_7.0	0
ncpi0	n_nue_gt_0.7	1
ncpi0	excluded_frac_median_pct	1.27
ncpi0	pr_core_s_median	12.63
ncpi0	pr_core_s_p90	23.16
ncpi0	pr_core_s_max	26.20
ncpi0	pr_core_h_sum	0.07
ncpi0	pr_wall_s_median@PR_JOBS=16	13.05
ncpi0	pr_procwall_s_median@PR_JOBS=16	14
ncpi0	pr_maxrss_GiB_median	1.17
ncpi0	pr_maxrss_GiB_p90	1.24
ncpi0	pr_maxrss_GiB_max	1.25
mcp1k	n_events	1000
mcp1k	n_rc_nonzero	0
mcp1k	n_evaluated	462
mcp1k	n_degenerate	16
mcp1k	n_clean	446
mcp1k	label:cosmic-tagged	302
mcp1k	label:no-beam-flash	117
mcp1k	label:no-bundle	72
mcp1k	label:nu-candidate	509
mcp1k	n_cosmict_flag_0	370
mcp1k	n_dl_warn	0
mcp1k	enu_min_MeV	11.3
mcp1k	enu_median_MeV	583.2
mcp1k	enu_max_MeV	3356.4
mcp1k	numu_median	1.804
mcp1k	n_numu_gt_0.9	274
mcp1k	n_nue_filled	19
mcp1k	nue_median_filled	-6.73
mcp1k	n_nue_gt_7.0	0
mcp1k	n_nue_gt_0.7	2
mcp1k	excluded_frac_median_pct	0.38
mcp1k	pr_core_s_median	1.61
mcp1k	pr_core_s_p90	8.05
mcp1k	pr_core_s_max	40.38
mcp1k	pr_core_h_sum	1.10
mcp1k	pr_wall_s_median@PR_JOBS=16	8.50
mcp1k	pr_procwall_s_median@PR_JOBS=16	10
mcp1k	pr_maxrss_GiB_median	0.43
mcp1k	pr_maxrss_GiB_p90	1.18
mcp1k	pr_maxrss_GiB_max	1.44
mcp2k	n_events	2000
mcp2k	n_rc_nonzero	0
mcp2k	n_evaluated	906
mcp2k	n_degenerate	34
mcp2k	n_clean	872
mcp2k	label:cosmic-tagged	629
mcp2k	label:no-beam-flash	226
mcp2k	label:no-bundle	152
mcp2k	label:nu-candidate	993
mcp2k	n_cosmict_flag_0	739
mcp2k	n_dl_warn	0
mcp2k	enu_min_MeV	3.1
mcp2k	enu_median_MeV	533.6
mcp2k	enu_max_MeV	4347.5
mcp2k	numu_median	1.541
mcp2k	n_numu_gt_0.9	507
mcp2k	n_nue_filled	67
mcp2k	nue_median_filled	-6.68
mcp2k	n_nue_gt_7.0	3
mcp2k	n_nue_gt_0.7	8
mcp2k	excluded_frac_median_pct	0.42
mcp2k	pr_core_s_median	1.53
mcp2k	pr_core_s_p90	7.79
mcp2k	pr_core_s_max	78.61
mcp2k	pr_core_h_sum	2.11
mcp2k	pr_wall_s_median@PR_JOBS=16	6.56
mcp2k	pr_procwall_s_median@PR_JOBS=16	8
mcp2k	pr_maxrss_GiB_median	0.43
mcp2k	pr_maxrss_GiB_p90	1.18
mcp2k	pr_maxrss_GiB_max	1.36
all	n_events	3067
all	n_evaluated	1435
all	n_degenerate	50
all	n_clean	1385
all	label:nu-candidate	1568
all	label:cosmic-tagged	932
all	label:no-bundle	224
all	label:no-beam-flash	343
all	pr_core_s_median	1.66
all	pr_core_h_sum	3.58
all	pr_maxrss_GiB_median	0.44
all	pr_maxrss_GiB_p90	1.18
all	pr_maxrss_GiB_max	1.44
all	stageA_imaging_s_per_evt_median	7.12
all	stageA_imaging_s_per_evt_max	9.19
all	stageA_imaging_rss_GiB_median	0.91
all	stageA_imaging_rss_GiB_max	1.01
all	stageA_imaging_sum_wall_h	6.13
all	stageA_imaging_n_groups	194
all	stageA_clus+QL_s_per_evt_median	4.88
all	stageA_clus+QL_s_per_evt_max	9.94
all	stageA_clus+QL_rss_GiB_median	0.51
all	stageA_clus+QL_rss_GiB_max	0.89
all	stageA_clus+QL_sum_wall_h	4.60
all	stageA_clus+QL_n_groups	194
cfg	n_tla_pr	513
cfg	n_tla_pr_with_value	325
cfg	n_tla_ql	54
cfg	n_tla_ql_with_value	35
