sample	evt	n_mu_nodes	E_mu	add_energy	Enu
mcp1k	166738	2	522.0	122.9	1484.0
mcp1k	166804	1	88.4	105.7	204.7
mcp1k	166870	2	119.3	122.9	682.7
mcp1k	167112	1	151.3	253.8	703.4
mcp1k	167684	1	11.1	105.7	157.0
mcp1k	168432	1	225.2	245.2	928.8
mcp1k	168526	1	779.5	384.8	2047.8
mcp1k	168614	1	440.4	105.7	547.2
mcp1k	168658	1	232.6	105.7	349.4
mcp1k	169356	0	0.0	287.7	1087.3
mcp1k	169488	0	0.0	8.6	97.7
mcp1k	169598	1	215.0	114.3	448.9
mcp1k	169620	1	427.3	122.9	1090.4
mcp1k	169626	0	0.0	0.0	617.0
mcp1k	169758	0	0.0	0.0	0.0
mcp1k	169774	1	1.6	0.0	60.2
mcp1k	169824	1	433.6	245.2	1064.5
mcp1k	169846	0	0.0	8.6	31.3
mcp1k	169890	1	370.4	105.7	477.5
mcp1k	170792	1	73.0	393.4	850.8
mcp1k	170808	2	307.8	114.3	627.3
mcp1k	170814	1	149.4	105.7	306.1
mcp1k	170880	0	0.0	8.6	176.9
mcp1k	170924	1	70.1	114.3	359.1
mcp1k	171358	1	65.9	122.9	426.0
mcp1k	171600	1	818.3	105.7	934.0
mcp1k	171892	1	1.2	105.7	106.9
mcp1k	172090	1	697.9	105.7	821.3
mcp1k	172266	2	284.1	122.9	714.7
mcp1k	172656	1	591.1	114.3	877.6
mcp1k	172788	2	585.1	211.3	807.6
mcp1k	172794	1	689.1	114.3	1031.4
mcp1k	172832	1	308.2	245.2	653.2
mcp1k	172942	0	0.0	8.6	551.4
mcp1k	173058	0	0.0	8.6	112.8
mcp1k	173146	1	334.8	114.3	676.5
mcp1k	173234	1	543.6	105.7	728.7
mcp1k	173498	1	406.1	245.2	760.1
mcp1k	174114	1	116.1	114.3	411.7
mcp1k	174224	1	795.4	114.3	1046.0
mcp1k	174422	1	324.2	105.7	431.8
mcp1k	174576	1	255.9	245.2	637.6
mcp1k	174752	0	0.0	0.0	56.5
mcp1k	174928	2	255.7	253.8	672.4
mcp1k	175016	0	0.0	8.6	84.3
mcp1k	175808	0	0.0	8.6	122.9
mcp1k	175896	1	80.2	105.7	386.4
mcp1k	276836	1	751.3	105.7	869.0
mcp1k	277276	1	327.7	122.9	745.2
mcp1k	277298	2	170.7	253.8	446.2
mcp1k	278046	2	106.0	376.7	869.7
mcp1k	278420	2	185.8	245.2	777.7
mcp1k	278640	1	315.0	105.7	433.1
mcp1k	278684	1	439.8	105.7	612.7
mcp1k	278785	1	464.5	253.8	815.2
mcp1k	278794	1	307.8	105.7	652.9
mcp1k	279190	0	0.0	8.6	66.6
mcp1k	279256	3	667.6	105.7	833.2
mcp1k	279445	1	301.7	114.3	429.2
mcp1k	279643	1	4.6	114.3	199.1
mcp1k	280017	0	0.0	8.6	183.0
mcp1k	280466	1	245.3	114.3	536.6
mcp1k	280598	1	106.8	393.4	767.0
mcp1k	280752	0	0.0	148.2	305.5
mcp1k	280774	1	22.4	122.9	807.5
mcp1k	280853	1	97.3	122.9	566.1
mcp1k	280972	1	1107.0	245.2	3356.4
mcp1k	280994	1	295.4	105.7	411.8
mcp1k	281214	1	358.2	393.4	966.3
mcp1k	281337	1	0.6	105.7	107.2
mcp1k	281485	0	0.0	8.6	545.2
mcp1k	281505	1	249.4	245.2	555.7
mcp1k	281507	1	299.9	114.3	527.8
mcp1k	281527	1	386.0	114.3	651.3
mcp1k	281595	1	779.7	245.2	1103.3
mcp1k	281639	0	0.0	8.6	371.2
mcp1k	281727	0	0.0	8.6	41.6
mcp1k	281837	1	295.4	262.4	1406.1
mcp1k	281953	1	225.2	105.7	331.3
mcp1k	282057	1	60.3	114.3	251.9
mcp1k	282072	1	713.9	114.3	1132.5
mcp1k	282204	1	230.5	253.8	975.1
mcp1k	282217	1	957.7	114.3	1293.1
mcp1k	282231	1	147.9	148.2	469.1
mcp1k	282385	1	375.7	114.3	595.0
mcp1k	282459	1	231.8	114.3	538.2
mcp1k	282666	1	314.4	253.8	968.1
mcp1k	282737	1	414.1	245.2	788.1
mcp1k	282899	2	324.0	105.7	484.7
mcp1k	282979	1	67.5	245.2	616.8
mcp1k	283009	1	586.1	253.8	1129.9
mcp1k	283040	1	298.1	122.9	649.8
mcp1k	283091	1	296.6	114.3	551.4
mcp1k	283229	1	410.9	114.3	644.2
mcp1k	283463	1	6.6	139.6	303.5
mcp1k	283515	2	123.4	122.9	861.6
mcp1k	283595	1	25.1	114.3	371.8
mcp1k	283691	0	0.0	17.2	316.7
mcp1k	283713	3	1429.7	122.9	1878.1
mcp1k	283771	1	336.8	114.3	591.8
mcp1k	283905	1	283.3	105.7	388.9
mcp1k	283969	1	37.9	105.7	170.8
mcp1k	283991	1	320.7	114.3	589.8
mcp1k	284013	2	394.0	105.7	528.7
mcp1k	284103	1	400.7	114.3	692.6
mcp1k	284145	1	528.6	262.4	1343.0
mcp1k	284153	0	0.0	148.2	656.0
mcp1k	284200	1	52.3	17.2	592.9
mcp1k	284211	1	341.2	114.3	654.5
mcp1k	284235	1	28.4	105.7	376.4
mcp1k	284637	1	100.7	114.3	313.4
mcp1k	284657	2	217.6	219.9	749.8
mcp1k	284769	1	859.4	122.9	1251.5
mcp1k	284791	1	112.8	105.7	359.9
mcp1k	284794	1	633.7	114.3	883.8
mcp1k	285069	1	91.0	122.9	381.9
mcp1k	285253	2	191.8	105.7	299.9
mcp1k	285311	2	176.0	359.5	889.3
mcp1k	285366	1	182.6	105.7	292.8
mcp1k	285443	1	197.9	105.7	605.9
mcp1k	285467	1	252.6	105.7	386.8
mcp1k	285531	1	365.1	114.3	968.1
mcp1k	285564	1	99.3	114.3	344.0
mcp1k	285652	0	0.0	0.0	0.0
mcp1k	285665	0	0.0	139.6	436.0
mcp1k	285753	0	0.0	17.2	289.6
mcp1k	285929	2	701.1	350.9	1166.0
mcp1k	285971	1	626.1	105.7	787.1
mcp1k	286177	1	57.2	105.7	191.0
mcp1k	286180	1	103.4	122.9	434.3
mcp1k	286191	2	386.9	105.7	500.7
mcp1k	286241	1	705.5	105.7	827.5
mcp1k	286268	1	470.6	105.7	591.9
mcp1k	286353	1	628.4	245.2	899.9
mcp1k	286400	1	807.6	105.7	923.5
mcp1k	286527	2	81.8	114.3	266.6
mcp1k	286655	1	1.2	8.6	523.7
mcp1k	286681	1	179.4	271.0	1901.1
mcp1k	286818	1	129.5	105.7	266.2
mcp1k	286906	2	367.4	211.3	639.2
mcp1k	287007	0	0.0	0.0	267.0
mcp1k	287211	1	255.9	253.8	855.6
mcp1k	287249	1	334.3	245.2	625.9
mcp1k	287431	0	0.0	0.0	0.0
mcp1k	287517	1	343.6	253.8	713.1
