sample	evt	verdict	pair_key	recv_shower_id	recv_sh_pdg	recv_seg_pdg	recv_seg_id	recv_end_x	recv_far_x	recv_len	recv_dqdx_mip	recv_chi2	recv_straight	partner_kind	partner_sh_pdg	partner_seg_pdg	partner_seg_id	partner_end_x	partner_far_x	partner_len	partner_dqdx_mip	partner_chi2	partner_straight	partner_zerofrac	gap_cm	a_gap_deg	a_tan_deg	waived	same_clus
mcp1k	167684	receiver_type	10000-10002	0	11	11	10000	4.26	11.19	11.9	1.411	4.37	0.894	bare	-1	13	10002	4.26	7.55	3.6	1.628	4.19	0.955	0.000	0.0	181.0	142.6	0	1
mcp1k	167684	receiver_type	10000-10002	0	11	11	10000	4.26	11.19	11.9	1.411	4.37	0.894	bare	-1	13	10002	7.55	4.26	3.6	1.628	4.19	0.955	0.000	3.5	147.4	27.8	0	1
mcp1k	167684	receiver_type	10000-10002	0	11	11	10000	11.19	4.26	11.9	1.411	4.37	0.894	bare	-1	13	10002	4.26	7.55	3.6	1.628	4.19	0.955	0.000	10.7	179.2	38.5	0	1
mcp1k	167684	receiver_type	10000-10002	0	11	11	10000	11.19	4.26	11.9	1.411	4.37	0.894	bare	-1	13	10002	7.55	4.26	3.6	1.628	4.19	0.955	0.000	8.0	166.8	151.1	0	1
mcp1k	169626	receiver_type	13012-42031	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	42031	-10.15	-12.03	3.3	1.487	4.93	0.867	0.000	11.3	153.4	123.5	0	0
mcp1k	169626	receiver_type	13012-53051	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53051	-8.51	-9.92	6.5	1.386	3.95	0.947	0.000	12.9	53.8	161.6	0	0
mcp1k	169626	receiver_type	13012-53051	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53051	-9.92	-8.51	6.5	1.386	3.95	0.947	0.000	8.6	77.8	22.1	0	0
mcp1k	169626	receiver_type	13012-53052	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53052	-5.97	-1.84	8.8	1.133	3.32	0.851	0.000	22.5	28.6	137.9	0	0
mcp1k	169626	receiver_type	13012-53052	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53052	-1.84	-5.97	8.8	1.133	3.32	0.851	0.000	18.9	36.5	63.1	0	0
mcp1k	169626	receiver_type	13012-53055	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53055	-8.51	-11.71	5.6	1.077	4.52	0.723	0.600	12.9	53.8	110.9	0	0
mcp1k	169626	receiver_type	13012-53055	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53055	-11.71	-8.51	5.6	1.077	4.52	0.723	0.600	9.9	58.4	45.4	0	0
mcp1k	169626	receiver_type	13012-53056	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53056	-5.97	-6.42	6.6	1.902	5.35	0.956	0.000	22.5	28.6	58.0	0	0
mcp1k	169626	receiver_type	13012-53056	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53056	-6.42	-5.97	6.6	1.902	5.35	0.956	0.000	28.2	34.2	125.7	0	0
mcp1k	169626	receiver_type	13012-53057	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	bare	-1	2212	53057	-6.42	-3.36	14.0	2.658	2.26	0.961	0.000	28.2	34.2	22.9	0	0
mcp1k	169626	receiver_type	13012-53057	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	bare	-1	2212	53057	-3.36	-6.42	14.0	2.658	2.26	0.961	0.000	41.4	30.6	156.7	0	0
mcp1k	169626	receiver_type	13012-53058	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53058	-6.42	-8.05	4.7	1.203	6.17	0.878	0.000	28.2	34.2	131.7	0	0
mcp1k	169626	receiver_type	13012-53058	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53058	-8.05	-6.42	4.7	1.203	6.17	0.878	0.000	24.2	33.6	32.2	0	0
mcp1k	169626	receiver_type	13012-53059	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53059	-7.24	-10.08	8.9	0.468	4.03	0.640	0.000	19.1	56.0	55.1	0	0
mcp1k	169626	receiver_type	13012-53059	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53059	-10.08	-7.24	8.9	0.468	4.03	0.640	0.000	19.7	44.6	125.4	0	0
mcp1k	169626	receiver_type	13012-53060	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53060	-7.24	-8.51	7.3	0.756	4.57	0.862	0.000	19.1	56.0	113.3	0	0
mcp1k	169626	receiver_type	13012-53060	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53060	-8.51	-7.24	7.3	0.756	4.57	0.862	0.000	12.9	53.8	54.2	0	0
mcp1k	169626	receiver_type	13012-53061	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53061	-7.24	-5.97	14.0	0.674	4.33	0.750	0.000	19.1	56.0	31.0	0	0
mcp1k	169626	receiver_type	13012-53061	10	11	11	13012	-11.90	-14.52	7.2	1.436	4.01	0.867	shower	11	11	53061	-5.97	-7.24	14.0	0.674	4.33	0.750	0.000	22.5	28.6	145.8	0	0
mcp1k	169626	receiver_type	13013-42031	10	11	11	13013	-10.80	-14.43	15.0	1.025	3.60	0.767	shower	11	11	42031	-10.15	-12.03	3.3	1.487	4.93	0.867	0.000	16.0	149.8	87.0	0	0
