sample	evt	verdict	pair_key	recv_shower_id	recv_sh_pdg	recv_seg_pdg	recv_seg_id	recv_end_x	recv_far_x	recv_len	recv_dqdx_mip	recv_chi2	recv_straight	partner_kind	partner_sh_pdg	partner_seg_pdg	partner_seg_id	partner_end_x	partner_far_x	partner_len	partner_dqdx_mip	partner_chi2	partner_straight	partner_zerofrac	gap_cm	a_gap_deg	a_tan_deg	waived	same_clus
mcp1k	169626	receiver_type	53063-53070	4	11	11	53063	-1.84	-6.02	9.2	1.166	3.05	0.836	bare	-1	2212	53070	-3.36	-6.54	14.1	2.581	2.50	0.952	0.000	24.8	134.8	59.9	0	1
mcp1k	282231	receiver_type	19000-23002	2	2212	2212	23002	2.00	3.90	8.0	3.780	4.37	0.825	bare	-1	13	19000	-0.54	-11.09	52.4	1.427	1.79	0.954	0.000	34.1	35.0	34.0	0	0
mcp1k	282231	receiver_type	19000-23002	2	2212	2212	23002	3.90	2.00	8.0	3.780	4.37	0.825	bare	-1	13	19000	-0.54	-11.09	52.4	1.427	1.79	0.954	0.000	39.5	145.4	140.4	0	0
mcp1k	287654	receiver_type	12001-12004	0	11	11	12004	-4.86	-3.37	6.3	0.685	4.20	0.870	bare	-1	211	12001	-4.67	-8.66	55.5	1.340	2.68	0.941	0.000	54.8	29.5	144.5	0	1
mcp1k	287654	receiver_type	12001-12004	0	11	11	12004	-3.37	-4.86	6.3	0.685	4.20	0.870	bare	-1	211	12001	-4.67	-8.66	55.5	1.340	2.68	0.941	0.000	59.4	141.9	45.6	0	1
mcp1k	287654	receiver_type	12001-12005	0	11	11	12005	-4.86	-0.53	7.2	0.950	2.47	0.703	bare	-1	211	12001	-4.67	-8.66	55.5	1.340	2.68	0.941	0.000	54.8	96.0	82.0	0	1
mcp1k	287654	receiver_type	12001-12005	0	11	11	12005	-0.53	-4.86	7.2	0.950	2.47	0.703	bare	-1	211	12001	-4.67	-8.66	55.5	1.340	2.68	0.941	0.000	55.5	108.8	79.7	0	1
mcp1k	289559	angle_gap	14005-14007	0	13	13	14007	-2.34	38.84	101.1	1.136	1.31	0.975	bare	-1	2212	14005	1.99	-2.34	12.9	1.670	2.45	0.960	0.000	12.4	145.1	32.6	0	1
mcp1k	289559	angle_gap	14007-14011	0	13	13	14007	-2.34	38.84	101.1	1.136	1.31	0.975	bare	-1	2212	14011	-5.65	-2.34	5.4	3.906	2.69	0.981	0.000	5.3	73.2	105.9	0	1
mcp1k	289559	angle_gap	14007-14011	0	13	13	14007	-2.34	38.84	101.1	1.136	1.31	0.975	bare	-1	2212	14011	-2.34	-5.65	5.4	3.906	2.69	0.981	0.000	0.0	181.0	72.4	0	1
mcp1k	289559	partner_type	14007-42014	0	13	13	14007	-2.34	38.84	101.1	1.136	1.31	0.975	shower	2212	2212	42014	4.09	8.37	19.3	3.480	2.17	0.986	0.000	21.5	135.3	138.5	0	0
mcp1k	289559	receiver_type	14005-42014	3	2212	2212	42014	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	2212	14005	-2.34	1.99	12.9	1.670	2.45	0.960	0.000	21.5	10.1	173.7	0	0
mcp1k	289559	receiver_type	14005-42014	3	2212	2212	42014	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	2212	14005	1.99	-2.34	12.9	1.670	2.45	0.960	0.000	9.5	21.5	10.6	0	0
mcp1k	289559	receiver_type	14007-42014	3	2212	2212	42014	4.09	8.37	19.3	3.480	2.17	0.986	shower	13	13	14007	-2.34	38.84	101.1	1.136	1.31	0.975	0.000	21.5	10.1	138.5	0	0
mcp1k	289559	receiver_type	14011-42014	3	2212	2212	42014	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	2212	14011	-5.65	-2.34	5.4	3.906	2.69	0.981	0.000	25.2	19.3	119.5	0	0
mcp1k	289559	receiver_type	14011-42014	3	2212	2212	42014	4.09	8.37	19.3	3.480	2.17	0.986	bare	-1	2212	14011	-2.34	-5.65	5.4	3.906	2.69	0.981	0.000	21.5	10.1	59.2	0	0
mcp1k	349549	receiver_type	12088-12092	16	11	11	12092	1.15	18.70	39.4	1.451	2.28	0.930	bare	-1	2212	12088	1.15	-14.89	39.9	2.879	1.98	0.956	0.000	0.0	181.0	95.7	0	1
mcp1k	349549	receiver_type	12091-12092	16	11	11	12092	1.15	18.70	39.4	1.451	2.28	0.930	bare	-1	13	12091	1.15	41.04	58.3	1.396	1.23	0.981	0.000	0.0	181.0	153.4	0	1
mcp1k	386948	receiver_type	16008-79039	5	11	11	16008	-4.25	-7.39	5.6	1.212	4.52	0.802	shower	11	11	79039	-0.84	-4.96	11.9	1.250	2.33	0.913	0.000	78.7	113.2	100.0	0	0
mcp1k	386948	receiver_type	16008-79039	5	11	11	16008	-4.25	-7.39	5.6	1.212	4.52	0.802	shower	11	11	79039	-4.96	-0.84	11.9	1.250	2.33	0.913	0.000	86.1	112.8	75.2	0	0
