sample	evt	n_mu_nodes	E_mu	add_energy	Enu
mcp1k	166738	2	520.4	122.9	1495.2
mcp1k	166804	1	89.9	105.7	205.7
mcp1k	166870	1	68.2	122.9	608.7
mcp1k	167112	1	151.0	253.8	637.3
mcp1k	167684	1	10.6	105.7	157.9
mcp1k	168432	1	222.8	105.7	756.0
mcp1k	168526	2	818.1	630.0	2406.5
mcp1k	168614	1	441.8	105.7	548.6
mcp1k	168658	1	232.6	105.7	349.4
mcp1k	169356	0	0.0	287.7	1084.5
mcp1k	169488	0	0.0	8.6	97.7
mcp1k	169598	1	215.9	114.3	447.0
mcp1k	169620	1	427.9	122.9	1091.7
mcp1k	169626	0	0.0	0.0	623.4
mcp1k	169758	0	0.0	0.0	0.0
mcp1k	169774	1	1.6	0.0	60.2
mcp1k	169824	1	434.6	245.2	1062.6
mcp1k	169846	0	0.0	8.6	31.3
mcp1k	169890	1	370.5	105.7	477.6
mcp1k	170792	2	86.8	122.9	575.1
mcp1k	170808	1	116.7	114.3	713.6
mcp1k	170814	1	150.5	105.7	334.2
mcp1k	170880	0	0.0	17.2	186.5
mcp1k	170924	1	70.0	114.3	358.8
mcp1k	171358	2	73.4	122.9	413.5
mcp1k	171600	1	818.3	105.7	934.0
mcp1k	171892	1	1.2	105.7	106.9
mcp1k	172090	1	699.5	105.7	823.2
mcp1k	172266	2	283.9	122.9	724.8
mcp1k	172656	1	596.1	114.3	905.1
mcp1k	172788	2	590.5	211.3	811.0
mcp1k	172794	1	687.8	114.3	1030.7
mcp1k	172832	1	305.9	245.2	655.7
mcp1k	172942	1	67.9	105.7	616.4
mcp1k	173058	0	0.0	8.6	112.8
mcp1k	173146	1	335.0	253.8	829.9
mcp1k	173234	1	545.5	105.7	730.5
mcp1k	173498	1	405.7	245.2	760.2
mcp1k	174114	1	116.2	114.3	411.4
mcp1k	174224	1	790.4	114.3	1042.4
mcp1k	174422	1	324.2	105.7	431.8
mcp1k	174576	1	251.9	245.2	605.0
mcp1k	174752	0	0.0	0.0	56.7
mcp1k	174928	3	285.9	211.3	640.8
mcp1k	175016	0	0.0	8.6	84.3
mcp1k	175808	0	0.0	8.6	122.6
