sample	evt	shower_id	shower_len	bare_seg	bare_pdg	bare_len
mcp2k	101675	0	156.0	11010	211	31.3
mcp2k	101828	10	271.3	18004	13	111.3
mcp2k	162143	0	373.5	8041	211	40.6
mcp2k	170761	0	316.7	8023	211	37.8
mcp2k	172617	0	178.1	17014	2212	27.3
mcp2k	175057	0	243.1	13009	2212	47.8
mcp2k	177536	1	115.4	17008	13	279.6
mcp2k	177536	1	115.4	85017	2212	24.0
mcp2k	240636	0	120.9	12016	13	148.3
mcp2k	275231	0	535.6	6013	2212	53.8
mcp2k	281165	0	130.6	16037	211	52.1
mcp2k	283299	0	279.9	11003	211	33.3
mcp2k	283833	0	435.3	11005	211	31.4
mcp2k	292524	0	204.0	9017	211	20.3
mcp2k	294174	0	148.9	16001	13	245.4
mcp2k	391899	0	189.6	5004	2212	36.4
mcp2k	392669	0	90.2	5034	2212	33.5
mcp2k	393538	0	319.3	7010	2212	20.5
mcp2k	395209	0	454.5	4001	2212	27.4
mcp2k	395695	0	104.4	11011	211	21.4
mcp2k	396323	0	53.8	10011	2212	30.6
mcp2k	397401	0	160.9	16014	211	35.5
mcp2k	398181	9	241.5	37021	2212	39.3
mcp2k	400117	0	304.7	15002	2212	47.9
mcp2k	405201	0	330.6	20003	2212	25.1
mcp2k	406147	0	378.4	22019	2212	56.0
mcp2k	406631	0	85.8	18025	13	212.5
mcp2k	499577	0	297.9	13062	211	44.1
mcp2k	502019	0	98.0	9025	211	49.1
mcp2k	52121	1	67.1	11002	211	25.1
mcp2k	53793	0	407.3	37014	211	27.2
mcp2k	67026	0	325.0	17002	2212	54.4
mcp2k	94392	1	29.6	45030	13	47.3
mcp2k	95405	0	104.7	17007	2212	25.0
mcp2k	95899	0	72.0	69033	2212	25.2
mcp2k	97231	0	319.3	18016	2212	90.6
mcp2k	98470	0	121.5	11004	2212	68.6
mcp2k	99232	0	265.2	17019	2212	51.7
mcp2k	99716	0	307.2	13002	2212	135.1
mcp1k	168526	0	346.7	19020	211	206.3
mcp1k	168526	0	346.7	19021	211	20.3
mcp1k	169824	0	184.9	18011	211	153.7
mcp1k	172794	1	299.3	50003	2212	32.0
mcp1k	282072	0	324.2	7009	2212	47.7
mcp1k	282217	0	415.5	9007	2212	30.7
mcp1k	283009	0	256.4	23010	2212	23.0
mcp1k	283713	0	506.3	17009	2212	27.2
mcp1k	284103	0	172.4	8007	2212	20.8
mcp1k	287555	9	158.6	18003	2212	21.7
mcp1k	287555	9	158.6	18006	2212	24.6
mcp1k	288287	0	257.0	10007	2212	56.7
mcp1k	292027	0	294.4	12007	2212	25.0
mcp1k	292384	0	389.8	19008	2212	54.9
mcp1k	292687	0	103.2	11011	211	22.5
mcp1k	292687	0	103.2	11012	2212	21.2
mcp1k	313847	0	268.0	19020	2212	65.4
mcp1k	321371	0	29.6	18007	13	32.0
mcp1k	345633	0	236.3	8016	2212	47.0
mcp1k	350935	6	131.2	11002	13	49.8
mcp1k	395610	0	59.5	28005	13	51.2
mcp1k	408534	1	29.8	23012	2212	25.6
mcp1k	56463	0	416.9	14003	211	55.3
mcp1k	59025	0	269.4	19007	2212	104.9
mcp1k	64921	0	41.1	62024	2212	36.9
