# doc pr/145 -- pr141 PID labels carried onto d144fixprod by a positional/invariant join
sample	event	obj_old	obj_new	id_same	resid	owner	weak	q_old	rng_old	ratio_old	q_new	rng_new	ratio_new	len_old	len_new
mcp1k	283713	17007	17007	1	0.0098	TRACK	0	874.1	1139.3	0.767	871.3	1142.9	0.762	503.0	506.3
mcp2k	99838	14004	14004	1	0.0013	TRACK	0	795.3	1046.5	0.76	794.9	1073.3	0.741	473.3	473.7
mcp2k	499577	13031	13056	0	0.9111	TRACK	0	554.5	746.9	0.742	489.7	686.1	0.714	341.5	297.9
mcp2k	77328	16017	16005	0	0.0255	TRACK	0	529.2	746.4	0.709	520.5	736.9	0.706	331.3	328.3
mcp2k	318769	65037	65039	0	0.2663	EM	0	353.4	134.1	2.635	352.6	121.5	2.902	78.0	83.0
mcp2k	294174	16028	16030	0	0.0681	EM	1	327.2	3.8	86.105	327.9	3.8	85.996	159.4	148.9
mcp2k	292524	9018	9008	0	0.0239	TRACK	0	318.8	436.4	0.731	324.0	391.1	0.828	202.5	204.0
mcp2k	397401	16012	16012	1	0.0299	TRACK	0	275.1	334.1	0.823	281.3	334.0	0.842	159.7	160.9
mcp2k	281165	16006	16006	1	0.0067	TRACK	0	236.0	301.7	0.782	236.4	302.5	0.781	129.9	130.6
ncpi0	259542	81053	83055	0	0.0202	TRACK	1	138.6	51.8	2.676	141.1	5.7	24.739	41.0	41.1
mcp2k	396323	10009	10006	0	0.0451	TRACK	0	130.4	154.5	0.844	134.2	152.6	0.879	54.7	53.8
mcp2k	176502	20005	138215	0	2.282	TRACK	1	85.1	73.5	1.158	2.4	7.8	0.305	19.5	0.5
mcp1k	348691	51080	52074	0	0.0043	EM	0	79.8	103.5	0.771	79.8	103.1	0.774	31.9	31.8
mcp2k	170098	70030	65018	0	2.8505	EM	0	51.0	54.4	0.938	0.1	9.3	0.007	16.9	0.6
