# doc pr/145 sec 5 -- mu-typed PID set, arm work-*-d144fixprod
# predictor: kine_charge/kine_range > 1.0 => EM.  Threshold from the
# population's own empty 1.0-1.2 bin, NOT fitted on labels (sec 5.8).
sample	run	subrun	event	obj	kine_charge	kine_range	ratio	dE_if_EM	nseg	length	cm_per_seg	conn	sy	sz	ey	ez	predicted	dump
mcp2k	18255	1	275231	6005	1011.3	1189.2	0.85	664.4	7	535.6	76.5	1	105.18	27.24	-45.7	498.73	TRACK	work-mcp2k-d144fixprod/pr_evt275231/calib-pr-evt275231.json
mcp1k	18255	1	283713	17007	871.3	1142.9	0.762	572.4	4	506.3	126.6	1	67.32	35.87	94.11	500.88	TRACK	work-mcp1k-d144fixprod/pr_evt283713/calib-pr-evt283713.json
mcp2k	18255	1	99563	16002	838.8	1158.5	0.724	551.1	5	515.0	103.0	1	-14.67	1.8	83.9	468.88	TRACK	work-mcp2k-d144fixprod/pr_evt99563/calib-pr-evt99563.json
mcp2k	18255	1	99838	14004	794.9	1073.3	0.741	522.3	6	473.7	78.9	1	-4.3	94.78	165.31	490.97	TRACK	work-mcp2k-d144fixprod/pr_evt99838/calib-pr-evt99838.json
mcp2k	18255	1	78032	18007	751.6	1009.6	0.744	493.8	3	442.2	147.4	1	116.17	74.93	75.17	467.79	TRACK	work-mcp2k-d144fixprod/pr_evt78032/calib-pr-evt78032.json
mcp2k	18255	1	283833	11004	746.9	1000.3	0.747	490.7	3	435.3	145.1	1	-135.66	19.26	194.99	249.99	TRACK	work-mcp2k-d144fixprod/pr_evt283833/calib-pr-evt283833.json
mcp2k	18255	1	395209	4006	742.5	1026.8	0.723	487.9	5	454.5	90.9	1	182.25	91.65	112.07	500.88	TRACK	work-mcp2k-d144fixprod/pr_evt395209/calib-pr-evt395209.json
mcp2k	18255	1	53793	37026	739.3	918.4	0.805	485.7	6	407.3	67.9	1	-21.57	117.4	36.62	442.25	TRACK	work-mcp2k-d144fixprod/pr_evt53793/calib-pr-evt53793.json
mcp2k	18255	1	98778	8004	717.0	999.3	0.718	471.1	3	443.1	147.7	1	114.75	94.46	162.57	492.05	TRACK	work-mcp2k-d144fixprod/pr_evt98778/calib-pr-evt98778.json
mcp2k	18255	1	349276	21003	709.3	1010.7	0.702	466.0	3	445.0	148.3	1	192.6	13.46	184.3	413.03	TRACK	work-mcp2k-d144fixprod/pr_evt349276/calib-pr-evt349276.json
mcp1k	18255	1	56463	14009	681.0	964.0	0.706	447.4	3	416.9	139.0	1	165.65	186.08	-58.97	394.99	TRACK	work-mcp1k-d144fixprod/pr_evt56463/calib-pr-evt56463.json
mcp2k	18255	1	68748	13002	660.3	888.2	0.743	433.8	3	389.5	129.8	1	-20.75	132.72	26.19	494.98	TRACK	work-mcp2k-d144fixprod/pr_evt68748/calib-pr-evt68748.json
mcp1k	18255	1	282217	9005	654.0	957.7	0.683	429.7	3	415.5	138.5	1	55.08	24.71	77.93	390.31	TRACK	work-mcp1k-d144fixprod/pr_evt282217/calib-pr-evt282217.json
mcp1k	18255	1	292384	19006	649.8	885.7	0.734	426.9	3	389.8	129.9	1	13.58	52.0	-94.64	373.88	TRACK	work-mcp1k-d144fixprod/pr_evt292384/calib-pr-evt292384.json
mcp2k	18255	1	76170	23002	648.1	907.0	0.715	425.8	3	397.7	132.6	1	-47.43	129.81	-37.33	498.03	TRACK	work-mcp2k-d144fixprod/pr_evt76170/calib-pr-evt76170.json
mcp2k	18259	1	180117	12005	643.6	946.6	0.68	422.8	2	409.6	204.8	1	-25.65	231.98	-163.61	500.14	TRACK	work-mcp2k-d144fixprod/pr_evt180117/calib-pr-evt180117.json
mcp2k	18255	1	317407	12009	632.5	869.6	0.727	415.5	2	377.1	188.5	1	-186.91	67.29	-84.9	407.94	TRACK	work-mcp2k-d144fixprod/pr_evt317407/calib-pr-evt317407.json
mcp1k	18255	1	288859	9003	631.6	797.2	0.792	415.0	6	400.5	66.7	1	37.04	200.72	142.41	500.02	TRACK	work-mcp1k-d144fixprod/pr_evt288859/calib-pr-evt288859.json
mcp2k	18255	1	406147	22008	625.4	818.7	0.764	410.9	7	378.4	54.1	1	-117.83	63.0	39.47	357.16	TRACK	work-mcp2k-d144fixprod/pr_evt406147/calib-pr-evt406147.json
mcp2k	18255	1	79616	18002	621.8	791.6	0.785	408.5	3	357.9	119.3	1	130.17	174.13	136.68	499.95	TRACK	work-mcp2k-d144fixprod/pr_evt79616/calib-pr-evt79616.json
mcp2k	18259	1	162143	8040	607.3	853.0	0.712	399.0	3	373.5	124.5	1	-49.52	136.6	199.05	383.26	TRACK	work-mcp2k-d144fixprod/pr_evt162143/calib-pr-evt162143.json
mcp1k	18255	1	284769	16005	599.4	859.4	0.698	393.8	3	378.0	126.0	1	-6.1	152.62	-56.22	500.02	TRACK	work-mcp1k-d144fixprod/pr_evt284769/calib-pr-evt284769.json
mcp1k	18259	1	168526	19028	593.0	783.7	0.757	389.6	4	346.7	86.7	1	-99.24	38.9	134.27	250.1	TRACK	work-mcp1k-d144fixprod/pr_evt168526/calib-pr-evt168526.json
mcp2k	18259	1	170761	8005	590.3	729.2	0.81	387.8	2	316.7	158.4	1	58.95	126.84	26.14	411.17	TRACK	work-mcp2k-d144fixprod/pr_evt170761/calib-pr-evt170761.json
mcp2k	18255	1	72275	15040	584.2	743.5	0.786	383.8	9	341.3	37.9	1	90.94	198.96	67.4	499.86	TRACK	work-mcp2k-d144fixprod/pr_evt72275/calib-pr-evt72275.json
mcp2k	18255	1	97231	18009	581.9	708.3	0.821	382.3	6	319.3	53.2	1	50.27	169.14	-153.27	351.95	TRACK	work-mcp2k-d144fixprod/pr_evt97231/calib-pr-evt97231.json
mcp2k	18255	1	405201	20002	571.1	761.2	0.75	375.2	2	330.6	165.3	1	13.79	72.88	-23.51	371.86	TRACK	work-mcp2k-d144fixprod/pr_evt405201/calib-pr-evt405201.json
mcp2k	18255	1	82322	11002	563.6	773.2	0.729	370.3	3	335.8	111.9	1	-186.61	23.5	-40.41	297.88	TRACK	work-mcp2k-d144fixprod/pr_evt82322/calib-pr-evt82322.json
mcp2k	18255	1	78242	17021	562.9	727.9	0.773	369.8	4	319.8	79.9	1	8.83	66.71	20.71	328.99	TRACK	work-mcp2k-d144fixprod/pr_evt78242/calib-pr-evt78242.json
mcp2k	18259	1	179048	17013	560.1	0.0	5601364.982	368.0	9	364.9	40.5	1	105.29	151.99	77.04	199.32	EM	work-mcp2k-d144fixprod/pr_evt179048/calib-pr-evt179048.json
mcp1k	18259	1	174224	20027	558.0	795.4	0.702	366.6	5	348.8	69.8	1	-2.27	188.16	38.36	500.93	TRACK	work-mcp1k-d144fixprod/pr_evt174224/calib-pr-evt174224.json
mcp2k	18259	1	99716	13005	537.0	671.3	0.8	352.8	4	307.2	76.8	1	-10.59	64.9	-176.83	275.93	TRACK	work-mcp2k-d144fixprod/pr_evt99716/calib-pr-evt99716.json
mcp1k	18255	1	281595	20013	529.8	779.7	0.679	348.1	2	338.6	169.3	1	-67.98	197.51	-150.17	499.84	TRACK	work-mcp1k-d144fixprod/pr_evt281595/calib-pr-evt281595.json
mcp2k	18255	1	77328	16005	520.5	736.9	0.706	341.9	3	328.3	109.4	1	-144.35	223.97	-28.6	499.75	TRACK	work-mcp2k-d144fixprod/pr_evt77328/calib-pr-evt77328.json
mcp1k	18255	1	391766	17002	520.3	684.7	0.76	341.8	6	307.9	51.3	1	-25.61	0.07	-61.63	267.08	TRACK	work-mcp1k-d144fixprod/pr_evt391766/calib-pr-evt391766.json
mcp1k	18255	1	289251	12002	513.8	657.6	0.781	337.5	7	302.4	43.2	1	-196.07	311.32	-0.47	364.86	TRACK	work-mcp1k-d144fixprod/pr_evt289251/calib-pr-evt289251.json
mcp2k	18255	1	91367	7003	512.5	731.1	0.701	336.7	1	317.6	317.6	1	-141.89	194.55	-142.37	447.84	TRACK	work-mcp2k-d144fixprod/pr_evt91367/calib-pr-evt91367.json
mcp1k	18255	1	282072	7005	509.0	713.9	0.713	334.4	3	324.2	108.1	1	30.73	250.75	178.6	493.96	TRACK	work-mcp1k-d144fixprod/pr_evt282072/calib-pr-evt282072.json
mcp2k	18255	1	497311	15000	508.5	766.3	0.664	334.1	2	333.8	166.9	2	0.75	184.6	-3.1	496.35	TRACK	work-mcp2k-d144fixprod/pr_evt497311/calib-pr-evt497311.json
mcp2k	18255	1	393538	7005	507.1	723.9	0.7	333.1	6	319.3	53.2	1	-73.67	227.92	43.62	482.79	TRACK	work-mcp2k-d144fixprod/pr_evt393538/calib-pr-evt393538.json
mcp2k	18255	1	67026	17001	505.5	745.1	0.678	332.1	3	325.0	108.3	1	83.43	86.44	199.47	339.54	TRACK	work-mcp2k-d144fixprod/pr_evt67026/calib-pr-evt67026.json
mcp2k	18255	1	66366	22006	504.0	689.7	0.731	331.1	4	306.5	76.6	1	-106.76	253.51	-189.38	500.93	TRACK	work-mcp2k-d144fixprod/pr_evt66366/calib-pr-evt66366.json
mcp2k	18255	1	103952	15000	503.8	724.5	0.695	331.0	1	314.7	314.7	3	30.13	367.62	124.17	498.47	TRACK	work-mcp2k-d144fixprod/pr_evt103952/calib-pr-evt103952.json
mcp2k	18259	1	174771	15008	502.9	692.9	0.726	330.4	3	310.0	103.3	1	47.91	221.51	30.93	500.06	TRACK	work-mcp2k-d144fixprod/pr_evt174771/calib-pr-evt174771.json
mcp2k	18259	1	101828	18002	499.7	625.6	0.799	328.3	4	271.3	67.8	3	43.1	482.64	-198.27	456.75	TRACK	work-mcp2k-d144fixprod/pr_evt101828/calib-pr-evt101828.json
mcp1k	18255	1	57575	12003	498.6	689.5	0.723	327.6	3	304.3	101.4	1	-3.81	234.07	70.56	498.23	TRACK	work-mcp1k-d144fixprod/pr_evt57575/calib-pr-evt57575.json
mcp2k	18255	1	400117	15004	498.2	694.6	0.717	327.3	4	304.7	76.2	1	-8.51	165.3	-135.62	365.02	TRACK	work-mcp2k-d144fixprod/pr_evt400117/calib-pr-evt400117.json
mcp2k	18255	1	348088	8004	491.2	731.6	0.671	322.7	3	323.7	107.9	1	-141.93	209.59	-126.43	499.62	TRACK	work-mcp2k-d144fixprod/pr_evt348088/calib-pr-evt348088.json
mcp2k	18255	1	499577	13056	489.7	686.1	0.714	321.7	2	297.9	149.0	1	134.33	312.58	-0.51	499.93	TRACK	work-mcp2k-d144fixprod/pr_evt499577/calib-pr-evt499577.json
mcp1k	18259	1	172794	50004	488.6	689.1	0.709	321.0	2	299.3	149.6	1	148.34	178.38	-23.63	402.7	TRACK	work-mcp1k-d144fixprod/pr_evt172794/calib-pr-evt172794.json
mcp1k	18255	1	276836	11004	483.6	530.2	0.912	317.7	4	278.6	69.7	1	-29.93	312.22	-53.2	296.5	TRACK	work-mcp1k-d144fixprod/pr_evt276836/calib-pr-evt276836.json
mcp2k	18255	1	283299	11013	481.5	625.8	0.769	316.4	5	279.9	56.0	1	18.35	249.58	26.38	491.82	TRACK	work-mcp2k-d144fixprod/pr_evt283299/calib-pr-evt283299.json
mcp1k	18255	1	285971	7009	480.7	626.1	0.768	315.9	4	274.1	68.5	1	-17.95	96.14	-29.6	313.18	TRACK	work-mcp1k-d144fixprod/pr_evt285971/calib-pr-evt285971.json
mcp2k	18259	1	180698	11002	477.0	620.9	0.768	313.4	3	286.1	95.4	1	183.15	1.06	193.49	249.95	TRACK	work-mcp2k-d144fixprod/pr_evt180698/calib-pr-evt180698.json
mcp1k	18255	1	292027	12005	468.6	665.9	0.704	307.9	3	294.4	98.1	1	173.95	110.26	117.0	370.22	TRACK	work-mcp1k-d144fixprod/pr_evt292027/calib-pr-evt292027.json
mcp1k	18255	1	286353	9012	468.1	628.4	0.745	307.5	3	274.0	91.3	1	46.7	372.4	-198.15	414.31	TRACK	work-mcp1k-d144fixprod/pr_evt286353/calib-pr-evt286353.json
mcp1k	18255	1	315497	14002	467.4	735.3	0.636	307.1	3	319.4	106.5	1	191.88	201.67	191.25	498.5	TRACK	work-mcp1k-d144fixprod/pr_evt315497/calib-pr-evt315497.json
mcp1k	18255	1	398690	18002	462.6	614.6	0.753	303.9	3	269.8	89.9	1	-197.83	121.78	29.87	216.8	TRACK	work-mcp1k-d144fixprod/pr_evt398690/calib-pr-evt398690.json
mcp2k	18255	1	321937	22002	462.2	568.0	0.814	303.6	2	245.7	122.9	1	33.32	270.87	-75.17	474.61	TRACK	work-mcp2k-d144fixprod/pr_evt321937/calib-pr-evt321937.json
mcp2k	18255	1	318703	12011	455.9	635.0	0.718	299.6	3	277.8	92.6	1	-33.0	252.25	33.36	500.88	TRACK	work-mcp2k-d144fixprod/pr_evt318703/calib-pr-evt318703.json
mcp1k	18255	1	59025	19005	453.3	621.2	0.73	297.8	3	269.4	89.8	1	-25.81	132.9	43.57	252.13	TRACK	work-mcp1k-d144fixprod/pr_evt59025/calib-pr-evt59025.json
mcp2k	18255	1	74784	8013	453.0	683.6	0.663	297.6	3	296.8	98.9	1	84.3	149.09	-59.12	358.3	TRACK	work-mcp2k-d144fixprod/pr_evt74784/calib-pr-evt74784.json
mcp1k	18255	1	283009	23008	448.1	586.1	0.765	294.4	5	256.4	51.3	1	29.85	281.14	134.42	500.92	TRACK	work-mcp1k-d144fixprod/pr_evt283009/calib-pr-evt283009.json
mcp1k	18255	1	279256	15006	446.7	601.6	0.742	293.5	3	264.6	88.2	1	-52.08	250.67	-39.86	483.86	TRACK	work-mcp1k-d144fixprod/pr_evt279256/calib-pr-evt279256.json
mcp2k	18255	1	72055	14003	442.8	568.3	0.779	290.9	3	254.9	85.0	1	-149.35	7.31	-157.85	232.77	TRACK	work-mcp2k-d144fixprod/pr_evt72055/calib-pr-evt72055.json
mcp2k	18255	1	55542	5008	441.8	588.9	0.75	290.2	4	262.5	65.6	1	-61.39	123.55	69.56	320.94	TRACK	work-mcp2k-d144fixprod/pr_evt55542/calib-pr-evt55542.json
mcp2k	18259	1	99232	17020	441.2	574.8	0.768	289.8	2	265.2	132.6	1	-123.49	84.35	74.73	206.14	TRACK	work-mcp2k-d144fixprod/pr_evt99232/calib-pr-evt99232.json
mcp2k	18255	1	66652	22002	439.8	584.3	0.753	289.0	3	257.9	86.0	1	167.01	115.97	130.28	348.7	TRACK	work-mcp2k-d144fixprod/pr_evt66652/calib-pr-evt66652.json
mcp1k	18255	1	288287	10033	438.3	593.2	0.739	287.9	3	257.0	85.7	1	5.74	81.74	-35.32	311.8	TRACK	work-mcp1k-d144fixprod/pr_evt288287/calib-pr-evt288287.json
mcp1k	18255	1	399702	27003	437.1	519.1	0.842	287.2	4	231.6	57.9	1	152.96	269.06	3.95	128.04	TRACK	work-mcp1k-d144fixprod/pr_evt399702/calib-pr-evt399702.json
mcp2k	18259	1	52338	1001	434.2	625.7	0.694	285.3	1	271.4	271.4	1	-128.16	256.11	-139.91	498.95	TRACK	work-mcp2k-d144fixprod/pr_evt52338/calib-pr-evt52338.json
