# doc pr/145 -- split-muon census, d144off vs d144on (doc 144 sec 14.2.1)
sample	event	nmu_off	nmu_on	Emu_off	Emu_on	d_add	Enu_off	Enu_on
mcp2k	98844	1	2	174.205	176.822	139.570	1219.403	1252.775
mcp1k	407280	4	5	907.615	910.917	105.658	1139.353	1267.772
mcp2k	78743	2	3	305.891	311.554	105.658	441.692	555.007
mcp1k	55595	1	2	470.623	464.636	105.658	730.027	846.777
mcp2k	177536	1	2	908.642	920.341	105.658	1222.409	1339.751
mcp2k	97260	1	2	820.239	849.061	105.658	1166.970	1315.783
mcp1k	286527	1	2	82.494	81.810	0.000	268.843	266.637
mcp1k	279256	1	3	677.836	667.635	0.000	841.970	833.155
mcp1k	287621	2	3	303.231	311.664	0.000	675.969	683.653
mcp1k	320029	1	2	519.309	540.594	0.000	657.224	660.624
mcp1k	395962	1	2	108.391	112.407	0.000	663.161	650.686
mcp2k	392262	1	2	130.819	133.943	0.000	241.269	244.393
mcp2k	77328	1	2	746.441	745.964	0.000	1078.380	1054.917
mcp2k	321895	1	2	194.287	200.489	-0.000	815.850	870.343
mcp2k	347824	1	2	362.195	364.828	-8.599	1601.313	1570.239
mcp1k	50303	1	2	83.756	85.354	-8.600	394.147	317.474
mcp1k	291961	2	3	265.345	267.923	-33.912	998.039	957.991
mcp2k	163771	1	2	265.444	275.037	-33.912	422.612	387.363
mcp1k	284657	1	2	208.939	217.628	-33.912	775.598	749.755
mcp1k	404244	1	2	278.190	278.289	-139.570	760.976	620.040
mcp2k	170076	1	2	805.544	796.481	-139.570	1220.898	1072.865
