sample	event	arm	shower_id	seg_id	pdg	e_logline_mev	kine_best_mev	start_seg_len_cm	binding_gate	conn	d_sv_cm	ang_sv_deg	in_main	d_mv_cm	ang_mv_deg	cont	track	n_candidates	n_dropped
mcp2k	103952	drop:A	14	15000	13	724.5	724.45	314.68	n/a	3	73.3	74.3	true	107.3	52.4	false	true	12	1
mcp2k	55740	drop:A	14	17000	13	419.1	419.12	168.24	n/a	3	5.3	107.0	false	228.4	153.3	false	true	11	1
mcp2k	290654	drop:A	9	23000	13	396.8	396.78	167.92	n/a	3	19.5	72.3	false	89.0	55.1	false	true	6	1
mcp2k	179246	drop:A	9	14000	13	376.4	376.40	158.50	n/a	3	31.9	69.1	true	31.9	69.1	false	true	9	1
mcp1k	399052	drop:A	4	19040	2212	343.1	343.07	63.57	fires	3	7.6	86.9	false	29.0	141.1	false	true	4	1
mcp1k	350935	drop:A	6	11001	13	317.9	317.86	129.45	n/a	3	31.2	81.7	true	126.6	80.3	true	true	5	1
mcp1k	321767	drop:A	8	46034	2212	309.3	309.32	53.72	fires	3	6.7	83.6	false	29.8	71.2	false	true	17	1
mcp2k	478220	drop:A	9	51016	2212	231.0	231.01	33.07	fires	3	5.7	71.8	false	7.8	15.2	false	true	9	2
mcp1k	280466	drop:A	4	16007	2212	175.6	175.56	20.74	fires	3	4.2	114.6	false	95.9	178.2	false	true	8	1
mcp2k	167744	drop:A	1	17001	13	150.8	150.83	53.02	n/a	3	6.5	90.1	false	208.6	106.4	false	true	9	1
mcp2k	388323	drop:A	2	34006	2212	140.1	140.13	14.06	fires	3	31.0	84.7	false	82.9	60.5	false	true	11	1
mcp2k	100222	drop:A	10	83067	2212	135.0	134.95	13.18	fires	3	15.1	91.3	false	29.4	35.9	false	true	4	1
mcp2k	105316	drop:A	13	71032	2212	120.3	120.30	10.79	fires	3	54.6	86.7	true	54.6	86.7	false	true	16	1
mcp2k	174771	drop:A	27	89068	2212	115.7	115.69	10.08	fires	3	16.7	76.2	false	68.5	168.9	false	true	19	1
mcp2k	77702	drop:A	0	28005	11	57.0	57.04	23.61	n/a	3	40.5	90.0	true	352.1	118.3	false	true	6	1
mcp1k	291064	drop:A	0	23001	11	39.9	39.92	14.54	n/a	3	245.8	82.4	true	245.8	82.4	false	true	1	1
mcp1k	73004	drop:A	1	23011	11	32.8	32.79	10.46	n/a	3	259.5	84.2	false	365.5	85.9	false	true	2	1
mcp1k	488139	drop:A	0	37006	11	31.8	31.82	10.37	n/a	3	72.7	81.5	true	204.6	81.8	false	true	1	1
mcp2k	497311	drop:B	0	15000	13	766.3	766.33	332.82	n/a	2	258.9	45.3	true	258.9	45.3	false	true	2	2
mcp2k	497311	drop:B	1	19007	13	401.6	401.60	170.15	n/a	3	27.0	10.2	false	241.2	135.0	false	true	2	2
mcp1k	55539	drop:B	1	23005	13	270.3	270.28	108.89	n/a	2	127.3	22.0	true	169.5	86.3	false	true	3	2
mcp1k	291570	drop:B	1	26001	13	251.0	250.98	99.81	n/a	3	29.9	47.0	false	214.4	48.2	false	true	2	1
mcp2k	294174	drop:B	8	25036	13	205.1	205.09	78.23	n/a	3	2.0	23.5	false	342.0	134.8	false	true	14	1
mcp2k	407886	drop:B	1	26005	13	186.3	186.34	69.46	n/a	3	24.4	41.0	false	96.6	102.8	false	true	6	1
mcp1k	55539	drop:B	3	39006	13	173.7	173.67	63.55	n/a	3	9.0	1.9	false	169.6	87.4	false	true	3	2
mcp1k	349461	drop:B	1	71014	13	122.7	122.71	40.36	n/a	2	125.0	27.6	true	14.2	69.8	false	true	5	1
mcp2k	396222	drop:B	12	17080	13	112.9	112.92	36.04	n/a	2	132.5	19.7	true	75.4	83.6	false	true	26	1
mcp2k	390743	drop:B	0	21013	11	52.9	52.86	16.77	n/a	2	256.8	46.7	true	256.8	46.7	false	true	8	1
mcp2k	74336	drop:C	1	22002	13	267.5	267.48	103.85	n/a	2	71.6	14.3	true	46.4	6.8	true	true	7	1
mcp1k	408534	drop:C	1	23011	13	98.6	98.65	29.84	n/a	2	105.8	2.2	true	105.8	2.2	true	true	2	1
mcp2k	94392	drop:C	1	45029	13	98.1	98.14	29.62	n/a	2	16.3	4.5	true	16.3	4.5	true	true	6	1
mcp1k	321371	drop:C	0	18009	13	98.1	98.08	25.21	n/a	2	80.3	28.5	true	31.1	72.7	true	true	4	1
mcp2k	392009	drop:C	0	58014	211	59.4	59.35	23.67	n/a	2	221.6	14.8	true	226.9	6.5	true	true	2	1
mcp1k	54341	drop:C	3	34014	11	46.9	46.92	2.63	n/a	2	96.7	19.6	true	81.7	20.1	true	true	8	1
mcp1k	320667	drop:C	1	88039	11	35.6	35.64	2.88	n/a	2	18.7	2.1	true	127.2	107.8	true	true	4	1
mcp2k	170098	drop:C	2	72030	2212	23.5	23.46	3.39	under5cm	2	62.1	12.1	true	62.1	12.1	true	true	10	1
mcp1k	64591	drop:E	1	83044	11	282.2	282.18	3.61	n/a	2	18.9	64.4	true	195.5	76.1	false	false	4	1
mcp1k	410008	drop:E	3	98039	11	139.6	139.60	9.15	n/a	3	3.4	82.9	false	170.8	88.4	false	false	12	2
mcp1k	410008	drop:E	1	20004	11	114.2	114.18	8.71	n/a	2	143.8	54.5	true	161.3	62.6	false	false	12	2
mcp2k	321849	drop:E	21	21008	2212	113.9	113.86	9.80	fires	3	30.6	41.4	false	403.2	103.5	false	false	5	2
mcp2k	321849	drop:E	16	88044	11	111.8	111.78	21.56	n/a	3	41.4	57.7	false	396.4	120.1	false	false	5	2
mcp2k	167612	drop:E	6	102081	11	85.4	85.41	4.68	n/a	3	18.5	56.6	false	198.2	74.6	false	false	21	3
mcp2k	166295	drop:E	0	89019	11	78.0	77.96	4.17	n/a	2	289.9	75.9	true	289.9	75.9	false	false	9	1
mcp2k	169793	drop:E	7	60067	11	73.3	73.32	5.68	n/a	3	0.0	0.0	false	192.4	105.0	false	false	23	2
mcp1k	57661	drop:E	2	25016	11	49.3	49.33	19.36	n/a	2	206.4	46.1	true	206.4	46.1	false	false	6	1
mcp2k	292436	drop:E	6	57031	211	48.7	48.68	4.96	n/a	3	39.7	29.9	false	203.3	117.8	false	false	4	1
mcp1k	489327	drop:E	2	27008	11	45.3	45.29	9.49	n/a	2	110.4	9.8	true	296.8	121.2	false	false	2	1
mcp2k	393133	drop:E	3	24008	11	43.1	43.14	8.49	n/a	2	218.8	88.9	true	218.8	88.9	false	false	10	1
mcp1k	350121	drop:E	7	29038	11	40.3	40.26	10.60	n/a	3	13.0	12.5	true	177.6	94.5	false	false	11	1
mcp2k	47784	drop:E	0	23009	11	39.8	39.85	6.00	n/a	2	254.1	67.1	true	254.1	67.1	false	false	1	1
mcp2k	283299	drop:E	6	61039	11	35.6	35.56	12.08	n/a	3	78.3	37.5	true	291.7	60.7	false	false	16	1
mcp2k	478220	drop:E	3	22008	11	35.4	35.36	6.93	n/a	3	135.0	61.5	true	354.7	71.2	false	false	9	2
mcp2k	56180	drop:E	1	22010	211	34.2	34.16	3.99	n/a	3	1.1	114.8	false	200.4	107.4	false	false	15	1
mcp2k	167612	drop:E	7	103085	11	33.7	33.70	10.87	n/a	3	21.0	80.1	false	197.0	85.1	false	false	21	3
mcp2k	167612	drop:E	5	90051	11	32.5	32.48	3.84	n/a	3	4.1	32.3	false	216.4	90.3	false	false	21	3
mcp1k	409964	drop:E	5	51010	2212	30.5	30.54	2.26	under5cm	3	79.0	51.1	true	154.2	78.5	false	false	10	1
mcp1k	486687	drop:E	6	95045	11	30.0	29.96	4.31	n/a	3	10.3	80.3	true	280.0	102.1	false	false	12	1
mcp2k	178885	drop:E	8	9015	11	28.3	28.32	6.25	n/a	3	187.0	71.1	true	187.0	71.1	false	false	8	1
mcp2k	323301	drop:E	1	78024	11	26.9	26.92	3.78	n/a	3	110.3	68.0	true	316.5	64.6	false	false	3	1
mcp2k	275231	drop:E	3	13020	11	24.7	24.72	8.23	n/a	3	244.6	63.0	true	474.7	114.0	false	false	7	2
mcp1k	52657	drop:E	4	72004	11	24.6	24.60	7.36	n/a	3	49.6	69.0	false	155.1	75.8	false	false	4	1
