sample	event	shower_id	start_seg	verdict	pdg	conn	nseg_census	nseg_final	smax_cm	growth	n_early	n_late	dqdx_trunk	dqdx_term	bragg	stem_mip	retype_start_len_cm	kine_best_mev	kine_charge_mev	kine_dQdx_mev	kine_range_mev	total_len_cm	start_len_cm	start_pdg	start_score	start_flag_shower	n_heavy	len_heavy_cm	f_heavy	max_mip	star_n	star_dist_cm	stem_run_cm	n_lead_fitpts	mip_used	mip_meta	nue_score	numu_score	enu_mev
mcp1k	166870	1	10064	0	11	1	1	1	17.8	2.18	819	1462	4633	13890	3.00	-0.63		69.543	95.359	56.949	69.543	19.906	19.906	11	0.40982004292457025	0	0	0.0	0.0	1.616	0		18.0	11	48000.0	43000.0	-15.0	0.227	682.7
mcp1k	166870	2	10003	1	11	1	2	2	10.1	0.94	326	308	2154	7535	3.50	0.65	12.5	25.245	45.612	25.245	50.354	13.769	12.505	211	100.0	0	0	0.0	0.0	1.57	0		6.0	14	48000.0	43000.0	-15.0	0.227	682.7
mcp1k	167684	0	10000	0	11	1	1	1	10.7	1.07	374	401	8120	5042	0.62	1.69		40.274	74.052	31.388	40.274	11.936	11.936	11	100.0	1	0	0.0	0.0	1.264	0		12.0	12	48000.0	43000.0	-15.0	-0.877	157.0
mcp1k	168526	39	19024	0	11	1	4	14	38.6	5.00	1387	2852	5098	5482	1.08	0.58		202.66	202.66	169.473	0.0	69.341	22.331	11	100.0	0	0	0.0	0.0	1.192	0		15.0	11	48000.0	43000.0	-9.553	4.221	2047.8
mcp1k	169626	0	22023	1	11	1	6	6	58.5	0.50	1213	620	5464	3609	0.66	2.58	28.7	100.348	100.348	80.81	0.0	30.473	28.749	11	100.0	1	0	0.0	0.0	1.194	0		0.0	0	48000.0	43000.0	-11.32	-2.644	617.0
mcp1k	169774	0	2000	0	11	1	6	10	48.7	-1.00	739	15	5523	4351	0.79	1.34		58.591	58.591	47.614	0.0	17.574	13.225	11	100.0	1	0	0.0	0.0	1.42	0		3.0	13	48000.0	43000.0	-15.0	-2.156	60.2
mcp1k	170792	1		1	11	1	1		20.1	0.47	595	561	5051	5197	1.03	1.05	22.2																				-15.0	1.38	850.8
mcp1k	170814	0	18009	0	11	1	4	1	39.4	-1.00	850	0	5242	5153	0.98	1.96		44.334	69.82	36.096	44.334	12.703	12.703	11	100.0	1	0	0.0	0.0	1.071	0		12.0	12	48000.0	43000.0	-15.0	0.373	306.1
mcp1k	172942	5	4002	0	11	1	2	4	49.7	1.28	1798	1968	7434	10281	1.38	2.78		277.117	277.117	230.615	0.0	56.276	32.249	11	0.1939643044593543	0	0	0.0	0.0	1.815	0		30.0	11	48000.0	43000.0	-7.214	-0.12	551.4
mcp1k	173234	0	10003	0	11	1	1	2	10.5	0.96	426	409	5280	5091	0.96	0.54		75.231	75.231	34.046	0.0	15.778	12.556	11	100.0	1	0	0.0	0.0	1.222	0		12.0	12	48000.0	43000.0	-15.0	2.578	728.7
mcp1k	174576	0	5004	0	11	1	2	3	40.8	-1.00	504	0	3856	4356	1.13	0.80		43.785	43.785	32.416	0.0	16.442	12.12	11	100.0	1	0	0.0	0.0	0.907	0		12.0	11	48000.0	43000.0	-15.0	2.737	637.6
mcp1k	174752	8	48009	0	11	1	2	5	13.8	1.04	232	382	4758	5936	1.25	0.99		48.734	48.734	38.088	0.0	15.327	4.801	11	100.0	0	0	0.0	0.0	1.136	0		3.0	11	48000.0	43000.0	-15.0	-2.499	56.5
mcp1k	277298	0		1	11	1	1		25.2	0.58	1844	1729	8683	10825	1.25	1.57	27.5																				-15.0	1.415	446.2
mcp1k	280598	0	15030	0	11	1	1	2	17.6	1.88	510	784	5515	5841	1.06	0.51		64.319	64.319	44.814	0.0	21.022	20.659	11	100.0	1	0	0.0	0.0	1.102	0		18.0	12	48000.0	43000.0	-15.0	2.137	767.0
mcp1k	280972	0	7031	0	11	1	14	19	115.1	6.26	1390	3901	5993	6042	1.01	1.80		823.486	823.486	394.73	0.0	88.262	40.988	11	100.0	0	1	9.64	0.1092	2.415	1	55.27	27.0	11	48000.0	43000.0	-6.083	4.66	3356.4
mcp1k	281837	0	63040	1	11	1	4	4	28.1	0.45	2987	2090	7700	13089	1.70	0.99	24.7	284.224	414.284	284.224	0.0	69.62	24.651	211	100.0	0	1	17.877	0.2568	2.754	1	7.92	3.0	14	48000.0	43000.0	-15.0	-0.146	1406.1
mcp1k	282666	0	10007	0	11	1	1	1	10.6	1.00	332	331	5710	5573	0.98	1.19		39.852	45.104	27.513	39.852	11.854	11.854	11	100.0	1	0	0.0	0.0	1.111	0		12.0	12	48000.0	43000.0	-15.0	4.441	968.1
mcp1k	283463	1	14005	1	11	1	4	4	23.1	0.07	637	112	5221	2142	0.41	1.06	12.6	38.95	41.263	38.95	0.0	16.816	12.582	211	100.0	0	0	0.0	0.0	1.159	0		9.0	11	48000.0	43000.0	-15.0	-1.154	303.5
mcp1k	283969	0	31002	1	11	1	2	2	21.0	0.17	268	12	5454	11871	2.18	1.25	10.1	27.256	19.058	27.256	0.0	10.162	10.07	211	100.0	0	0	0.0	0.0	2.534	0		12.0	11	48000.0	43000.0	-15.0	-1.5	170.8
mcp1k	285311	0	11005	0	11	1	6	8	62.8	-1.00	224	22	6880	2197	0.32	1.43		45.97	45.97	36.893	0.0	11.427	4.937	11	100.0	1	0	0.0	0.0	1.55	0		3.0	17	48000.0	43000.0	-15.0	2.135	889.3
mcp1k	286353	0	9011	1	11	1	2	2	26.7	0.18	361	16	4576	4997	1.09	0.94	11.1	23.678	24.005	23.678	0.0	11.473	11.061	211	100.0	0	0	0.0	0.0	1.028	0		12.0	11	48000.0	43000.0	-15.0	2.662	899.9
mcp1k	286681	0	3012	0	11	1	1	3	17.9	1.04	1038	1096	13072	6374	0.49	2.48		93.059	93.059	82.01	0.0	20.547	19.735	11	100.0	1	0	0.0	0.0	1.914	0		18.0	11	48000.0	43000.0	-15.0	0.477	1901.1
mcp1k	291961	8	4007	0	11	1	2	3	14.7	1.07	386	650	9377	10551	1.13	2.63		76.188	76.188	76.147	0.0	16.733	13.348	11	0.152160291389583	0	1	13.348	0.7977	2.008	1	11.09	15.0	11	48000.0	43000.0	-15.0	1.804	958.0
mcp1k	293149	17	4001	1	11	1	6	6	55.0	0.68	947	631	4580	8675	1.89	0.69	26.0	133.368	204.627	133.368	0.0	57.18	25.998	211	0.5594269933357402	0	0	0.0	0.0	1.55	0		27.0	11	48000.0	43000.0	-15.0	-0.464	315.1
mcp1k	313781	1	9004	0	11	1	2	2	41.3	-1.00	511	0	5122	9446	1.84	0.81		96.291	96.291	64.824	0.0	20.04	9.738	11	100.0	0	0	0.0	0.0	1.617	0		12.0	11	48000.0	43000.0	-15.0	-3.17	221.4
mcp1k	314507	0	17001	0	11	1	2	3	10.5	0.90	433	388	4031	7913	1.96	0.84		49.848	49.848	24.582	0.0	10.374	9.689	11	100.0	1	0	0.0	0.0	1.702	0		6.0	11	48000.0	43000.0	-15.0	-0.472	431.2
mcp1k	315167	0	8011	0	11	1	1	2	19.9	1.86	927	1926	3890	19322	4.97	0.22		329.104	329.104	171.554	0.0	23.463	22.901	11	100.0	1	0	0.0	0.0	1.006	0		21.0	12	48000.0	43000.0	-8.225	2.128	1729.8
mcp1k	315167	1	8034	1	11	1	7	6	61.4	0.35	2707	1381	6093	2257	0.37	1.22	16.9	227.583	152.542	227.583	0.0	62.098	16.862	211	100.0	0	0	0.0	0.0	1.452	0		12.0	13	48000.0	43000.0	-8.225	2.128	1729.8
mcp1k	315167	2	8008	1	11	1	2	2	12.1	0.46	447	312	11398	5311	0.47	2.37	7.9	66.927	41.464	66.927	0.0	8.354	7.948	211	0.24366238847218788	0	1	7.948	0.9514	2.374	1	6.81	9.0	12	48000.0	43000.0	-8.225	2.128	1729.8
mcp1k	316729	0	8009	0	11	1	1	3	10.6	0.99	559	552	11873	5761	0.49	1.09		52.739	52.739	40.731	0.0	15.043	12.55	11	100.0	1	0	0.0	0.0	1.118	0		12.0	11	48000.0	43000.0	-15.0	3.917	660.2
mcp1k	317939	0	26001	1	11	1	4	4	42.1	0.42	1385	608	3733	2515	0.67	0.25	21.8	61.09	87.468	61.09	0.0	22.51	21.835	211	100.0	0	0	0.0	0.0	1.07	0		21.0	12	48000.0	43000.0	-15.0	3.41	1240.6
mcp1k	320667	0	21005	0	11	1	2	2	13.5	1.21	334	635	5625	4537	0.81	1.17		64.397	43.088	36.539	64.397	17.455	13.719	11	100.0	1	0	0.0	0.0	1.064	0		12.0	11	48000.0	43000.0	-15.0	0.966	652.0
mcp1k	347129	0	55021	0	11	1	7	7	81.4	-1.00	354	0	6319	3324	0.53	0.27		114.762	114.762	77.588	0.0	31.289	7.33	11	100.0	0	0	0.0	0.0	2.239	0		9.0	11	48000.0	43000.0	-8.525	-1.824	516.6
mcp1k	348691	0	9011	0	11	1	1	1	12.3	0.98	248	252	1841	1874	1.02	-0.05		48.271	16.8	12.929	48.271	13.409	13.409	11	100.0	1	0	0.0	0.0	0.324	0		15.0	11	48000.0	43000.0	-15.0	3.699	1890.8
mcp1k	349549	0	12089	0	11	1	16	17	120.4	1.88	852	1129	6062	7586	1.25	0.42		221.269	221.269	175.375	0.0	57.55	35.232	11	100.0	1	0	0.0	0.0	2.069	0		30.0	11	48000.0	43000.0	-6.145	1.874	1171.2
mcp1k	349945	1	18068	0	11	1	5	6	59.0	-1.00	1263	217	5233	3731	0.71	0.61		85.548	85.548	75.489	0.0	28.829	14.539	11	100.0	1	0	0.0	0.0	1.283	0		9.0	11	48000.0	43000.0	-12.305	4.335	1047.3
mcp1k	353751	0	10005	0	11	1	1	1	12.4	0.98	295	466	5814	6244	1.07	1.11		48.961	51.241	34.491	48.961	13.529	13.529	11	100.0	1	0	0.0	0.0	1.214	0		15.0	11	48000.0	43000.0	-15.0	4.635	700.2
mcp1k	386442	0	16014	0	11	1	2	4	12.7	0.82	392	542	5464	2687	0.49	1.29		68.771	68.771	43.421	0.0	18.277	11.773	11	100.0	1	0	0.0	0.0	1.094	0		6.0	12	48000.0	43000.0	-15.0	-0.407	531.3
mcp1k	386948	17	92085	0	11	1	23	33	101.8	6.44	94	938	5483	6068	1.11	1.01		571.014	571.014	469.633	0.0	147.556	4.668	11	100.0	0	2	17.428	0.1181	2.037	2	68.2	6.0	9	48000.0	43000.0	1.228	-1.121	1166.7
mcp1k	389874	0	11003	0	11	1	2	2	19.0	0.71	515	614	5939	8426	1.42	1.77		64.77	64.77	49.611	0.0	17.29	16.843	11	100.0	1	0	0.0	0.0	2.076	0		21.0	11	48000.0	43000.0	-15.0	-2.426	64.8
mcp1k	390182	0	4021	1	11	1	3	3	19.0	0.29	1132	582	8227	11451	1.39	2.31	6.4	116.752	145.661	116.752	107.135	37.806	6.35	211	100.0	0	0	0.0	0.0	1.964	0		0.0	34	48000.0	43000.0	-15.0	2.143	761.8
mcp1k	390864	7	16015	1	11	1	5	5	21.8	0.25	839	302	5541	5469	0.99	0.95	14.0	41.11	41.328	41.11	0.0	16.724	13.956	211	100.0	0	0	0.0	0.0	1.381	0		9.0	12	48000.0	43000.0	-15.0	0.496	741.0
mcp1k	393042	0	15001	0	11	1	1	2	11.6	1.01	274	278	7855	6275	0.80	1.64		44.716	44.716	39.112	0.0	14.936	13.292	11	100.0	1	0	0.0	0.0	1.09	0		12.0	11	48000.0	43000.0	-15.0	3.8	1114.0
mcp1k	395148	0	21007	0	11	1	1	2	12.9	0.86	561	804	14146	23100	1.63	0.44		102.092	102.092	137.084	0.0	15.891	14.892	11	100.0	1	1	14.892	0.9371	3.313	1	0.0	15.0	11	48000.0	43000.0	-15.0	3.032	1015.6
mcp1k	395148	1	21010	0	11	1	1	1	20.8	0.83	162	196	629	574	0.91	0.13		73.96	16.107	20.3	73.96	22.009	22.009	11	100.0	1	0	0.0	0.0	0.125	0		21.0	11	48000.0	43000.0	-15.0	3.032	1015.6
mcp1k	395654	0	15003	0	11	1	1	1	10.8	0.98	332	325	4897	4975	1.02	1.04		47.021	52.05	28.731	47.021	13.189	13.189	11	100.0	1	0	0.0	0.0	0.982	0		12.0	13	48000.0	43000.0	-15.0	3.485	638.4
mcp1k	395962	0	15004	0	11	1	2	6	32.9	-1.00	264	0	4850	1912	0.39	1.01		34.977	34.977	24.465	0.0	9.556	6.8	11	100.0	1	0	0.0	0.0	1.202	0		9.0	11	48000.0	43000.0	-15.0	1.667	650.7
mcp1k	398414	0	18000	0	11	1	1	1	15.4	1.18	420	306	4912	3882	0.79	1.02		60.763	40.092	32.201	60.763	15.724	15.724	11	0.2742519186384914	0	0	0.0	0.0	0.938	0		18.0	10	48000.0	43000.0	-15.0	-0.626	60.8
mcp1k	399052	2	15070	0	11	1	13	13	72.1	5.51	1296	3324	5631	5335	0.95	1.67		320.368	320.368	234.676	0.0	93.186	24.806	11	100.0	0	1	3.096	0.0332	2.375	1	33.65	21.0	11	48000.0	43000.0	-3.472	0.066	585.0
mcp1k	399328	0	12007	1	11	1	2	2	10.7	1.03	648	665	15064	8376	0.56	3.14	12.1	110.687	109.064	110.687	64.724	17.611	12.105	211	100.0	0	0	0.0	0.0	1.871	0		6.0	11	48000.0	43000.0	-15.0	-1.823	251.1
mcp1k	400460	0	18013	0	11	1	2	3	10.3	0.91	290	265	5866	5097	0.87	1.22		44.956	44.956	31.629	0.0	12.211	8.584	11	100.0	1	0	0.0	0.0	1.062	0		6.0	11	48000.0	43000.0	-15.0	2.302	545.9
mcp1k	401450	0	23021	0	11	1	29	33	77.3	4.74	3059	7708	4669	5869	1.26	0.64		1062.898	1062.898	754.175	0.0	264.791	2.636	11	100.0	1	3	36.941	0.1395	2.925	2	18.58	0.0	25	48000.0	43000.0	-3.411	-0.302	1361.0
mcp1k	406752	0	7001	0	11	1	2	4	30.9	0.88	1088	939	6732	4997	0.74	2.67		125.673	125.673	103.499	0.0	35.637	29.986	11	100.0	1	0	0.0	0.0	1.39	0		21.0	11	48000.0	43000.0	-3.148	-0.495	125.7
mcp1k	489327	0	19005	0	11	1	22	22	99.0	1.11	898	733	4703	7813	1.66	2.04		347.98	347.98	224.342	0.0	77.841	23.698	11	100.0	1	0	0.0	0.0	2.1	0		27.0	13	48000.0	43000.0	-7.86	4.943	1483.9
mcp1k	489503	0	18008	0	11	1	8	10	124.6	-1.00	342	0	6963	5646	0.81	1.45		80.151	80.151	59.275	0.0	17.168	8.295	11	0.14438865453907485	0	1	3.246	0.1891	2.325	1	72.88	9.0	11	48000.0	43000.0	-1.033	1.297	583.2
mcp1k	50303	0	12008	0	11	1	3	6	35.9	-1.00	702	447	6943	1914	0.28	1.32		117.173	117.173	82.965	0.0	26.939	25.089	11	100.0	1	0	0.0	0.0	1.441	0		27.0	11	48000.0	43000.0	-15.0	0.245	317.5
mcp1k	53361	0	27003	0	11	1	2	2	10.0	0.93	241	225	4964	7195	1.45	1.03		43.775	28.603	27.562	43.775	12.6	11.943	11	100.0	1	0	0.0	0.0	1.875	0		9.0	14	48000.0	43000.0	-15.0	2.608	509.9
mcp1k	54175	0	18021	0	11	1	2	3	12.5	0.88	384	555	6303	5128	0.81	1.31		48.575	48.575	41.873	0.0	16.143	8.099	11	100.0	1	0	0.0	0.0	1.329	0		6.0	12	48000.0	43000.0	-15.0	5.192	827.1
mcp1k	55539	0	18003	0	11	1	1	2	11.7	1.02	287	292	3471	4112	1.18	0.72		47.32	47.32	26.503	0.0	15.428	14.877	11	100.0	1	0	0.0	0.0	0.681	0		12.0	11	48000.0	43000.0	-15.0	-0.449	612.5
mcp1k	58607	0		1	11	1	1		10.0	1.03	239	246	2086	11392	5.46	0.43	10.9																				-15.0	-1.114	365.7
mcp1k	58607	1	23006	0	11	1	1	1	11.4	1.07	424	454	7549	8877	1.18	0.66		51.618	20.724	39.437	51.618	13.982	13.982	11	100.0	1	0	0.0	0.0	1.411	0		12.0	11	48000.0	43000.0	-15.0	-1.114	365.7
mcp1k	58755	0	30005	0	11	1	2	3	35.6	-1.00	1174	611	5324	7189	1.35	0.51		93.331	93.331	58.638	0.0	26.867	23.214	11	100.0	1	0	0.0	0.0	1.498	0		24.0	13	48000.0	43000.0	-11.069	-1.233	214.8
mcp1k	58755	1	30006	0	11	1	6	6	62.2	1.03	182	188	4602	4873	1.06	0.88		83.159	83.159	47.44	0.0	17.164	5.885	11	0.23217137807625993	0	0	0.0	0.0	1.914	0		6.0	11	48000.0	43000.0	-11.069	-1.233	214.8
