# doc pr/148 -- BLIND EM/HADRONIC scan sheet, 24 objects.
# The A5 discriminants (growth, bragg, stem), the derived
# candidates (n_heavy, f_heavy, star), the nue BDT score, the
# tag's own verdict and the stratum are all DELIBERATELY
# ABSENT: printing the proxy's answer on the sheet you then
# judge makes the agreement circular.  They live in
# pr148-pidscan.KEY.tsv, which the scan display never opens.
#
# verdict: EM | HADRONIC | MIXED      weak: 1 if not confident
#   EM       -- an electron or photon shower
#   HADRONIC -- a pion/proton/neutron interaction; should not
#               be typed 11 and should not be valued as EM
#   MIXED    -- both, clustered into one object (this is the
#               splitter's problem, not the tag's)
#
# The display fills this in for you:
#   ./pr148_scan/serve_pr148_scan.sh 5017
idx	sample	run	subrun	event	obj	shower_id	kine_charge_mev	kine_best_mev	total_len_cm	nseg	verdict	weak	note
0	ncpi0	18255	1	463565	13015	0	539.927	539.927	130.157	32			
1	nuecc48	18264	1	137238	144050	0	555.349	555.349	142.854	20			
2	ncpi0	18255	1	399860	17051	1	913.831	913.831	254.15	39			
3	mcp2k	18255	1	98294	17002	0	315.617	286.007	69.342	18			
4	mcp2k	18259	1	100222	113225	2	1905.075	1905.075	489.207	81			
5	mcp1k	18255	1	401450	23021	0	1062.898	1062.898	264.791	33			
6	nuecc48	18255	1	122660	9019	1	633.431	633.431	207.25	38			
7	mcp1k	18255	1	386948	92085	17	571.014	571.014	147.556	33			
8	mcp1k	18255	1	281837	63040	0	414.284	284.224	69.62	4			
9	nuecc48	18255	1	433451	4040	0	1880.035	1880.035	438.109	115			
10	nuecc48	18255	1	388	23030	0	724.457	677.089	142.134	27			
11	mcp2k	18255	1	396222	9043	0	1740.952	1740.952	432.485	60			
12	ncpi0	18345	1	21073	11115	0	612.93	612.93	219.457	35			
13	ncpi0	18255	1	56982	22023	0	563.718	563.718	89.391	17			
14	nuecc48	18259	1	74544	12096	0	1915.02	1915.02	344.377	51			
15	nuecc48	18259	1	54095	17044	0	2489.772	2489.772	518.573	84			
16	mcp1k	18255	1	280972	7031	0	823.486	823.486	88.262	19			
17	nuecc48	18342	1	30504	11071	2	836.724	836.724	206.319	43			
18	mcp2k	18255	1	98844	6019	0	326.923	241.88	138.677	9			
19	nuecc48	18255	1	239794	2148	0	2487.368	2487.368	447.187	90			
20	nuecc48	18306	1	256587	11139	0	3383.619	3383.619	843.004	146			
21	mcp2k	18255	1	76350	12090	0	838.146	838.146	237.475	33			
22	nuecc48	18304	1	38856	12085	4	396.344	390.753	58.134	4			
23	nuecc48	18255	1	163543	14019	0	394.632	414.217	87.049	11			
