# doc pr/148 -- the KEY for pr148-pidscan-manifest.tsv.
# Written so the record exists.  The scan display and its
# self-test never open this file; the self-test asserts that.
idx	sample	event	shower_id	stratum	a5_verdict	growth	bragg	stem_mip	n_heavy	f_heavy	max_mip	star_n	star_dist_cm	stem_run_cm	start_len_cm	start_score	kine_dQdx_mev	nue_score	enu_mev
0	ncpi0	463565	0	S2_rejected_star	0	1.13	1.17	0.37	2	0.1016	2.309	2	9.89	0.0	5.389	100.0	391.107	-15.0	1481.0
1	nuecc48	137238	0	S1_rejected_topE	0	7.13	0.85	1.54	2	0.1289	2.958	2	27.66	15.0	26.968	0.20041478177825012	478.382	-4.312	1161.2
2	ncpi0	399860	1	S1_rejected_topE	0	4.58	1.83	0.46	3	0.1202	4.529	2	23.49	0.0	4.356	100.0	721.197	1.093	978.2
3	mcp2k	98294	0	S4_control_already_retyped	1	0.81	0.54	5.06	1	0.2349	2.098	1	0.0	9.0	16.29	100.0	286.007	-15.0	441.6
4	mcp2k	100222	2	S3_control_nue_selected	0	1.66	2.32	0.94	1	0.0051	2.95	1	124.24	30.0	36.4	100.0	1502.467	3.83	3943.1
5	mcp1k	401450	0	S1_rejected_topE	0	4.74	1.26	0.64	3	0.1395	2.925	2	18.58	0.0	2.636	100.0	754.175	-3.411	1361.0
6	nuecc48	122660	1	S2_rejected_star	0	2.59	1.28	3.20	3	0.0821	4.232	1	0.0	3.0	11.899	100.0	646.495	-15.0	1406.6
7	mcp1k	386948	17	S2_rejected_star	0	6.44	1.11	1.01	2	0.1181	2.037	2	68.2	6.0	4.668	100.0	469.633	1.228	1166.7
8	mcp1k	281837	0	S4_control_already_retyped	1	0.45	1.70	0.99	1	0.2568	2.754	1	7.92	3.0	24.651	100.0	284.224	-15.0	1406.1
9	nuecc48	433451	0	S3_control_nue_selected	0	2.65	1.22	1.24	5	0.0836	5.724	2	35.83	15.0	27.407	100.0	1862.413	9.992	2540.2
10	nuecc48	388	0	S4_control_already_retyped	1	0.42	1.61	1.14	1	0.0877	3.957	1	38.48	27.0	23.53	100.0	677.089	9.689	2800.9
11	mcp2k	396222	0	S1_rejected_topE	0	3.91	1.49	1.28	2	0.0792	2.601	1	31.21	3.0	34.112	100.0	1301.995	0.89	3973.7
12	ncpi0	21073	0	S2_rejected_star	0	3.88	2.25	0.02	1	0.0311	2.121	1	23.74	3.0	10.476	100.0	466.924	-2.5	1623.7
13	ncpi0	56982	0	S2_rejected_star	0	8.55	1.50	4.44	2	0.1101	2.75	2	32.26	15.0	20.914	0.2183205489542377	459.946	-4.818	1268.5
14	nuecc48	74544	0	S3_control_nue_selected	0	4.74	0.51	1.06	6	0.194	3.863	2	21.23	12.0	14.942	0.13868882990514045	1613.973	9.717	2041.5
15	nuecc48	54095	0	S3_control_nue_selected	0	4.09	0.99	1.35	6	0.0936	8.402	2	69.18	15.0	19.687	0.20816822422085857	2570.141	11.256	2806.8
16	mcp1k	280972	0	S2_rejected_star	0	6.26	1.01	1.80	1	0.1092	2.415	1	55.27	27.0	40.988	100.0	394.73	-6.083	3356.4
17	nuecc48	30504	2	S1_rejected_topE	0	4.62	0.99	3.41	3	0.073	2.5	1	51.16	9.0	44.425	100.0	572.299	1.849	1307.6
18	mcp2k	98844	0	S4_control_already_retyped	1	0.27	1.19	1.38	0	0.0	1.655	0		18.0	32.76	100.0	241.88	-15.0	1252.8
19	nuecc48	239794	0	S3_control_nue_selected	0	10.12	0.50	1.15	5	0.1095	6.213	2	30.99	12.0	18.75	0.23145955283601505	2206.229	14.808	2727.9
20	nuecc48	256587	0	S3_control_nue_selected	0	6.19	2.55	1.28	6	0.0398	6.184	2	62.18	18.0	33.671	100.0	3071.406	11.423	3671.2
21	mcp2k	76350	0	S1_rejected_topE	0	5.54	5.26	0.83	2	0.1053	5.724	1	62.43	12.0	15.727	100.0	780.6	-6.566	1178.8
22	nuecc48	38856	4	S4_control_already_retyped	1	0.39	0.89	0.32	0	0.0	2.553	0		6.0	12.17	0.3312434444438326	390.753	-4.134	1253.9
23	nuecc48	163543	0	S4_control_already_retyped	1	0.26	0.68	2.41	1	0.0677	2.696	1	14.2	6.0	16.292	100.0	414.217	3.111	1304.1
