# doc pr/148 sec 11 -- the KEY for pr148-pidscan2-manifest.tsv.
# The display and its self-test never open this file.
idx	sample	event	shower_id	stratum	branch	nseg_census	nseg_final	growth	bragg	stem_mip	kine_dQdx_mev	nue_score	enu_mev
0	nuecc48	30504	0	B_stem_branch_untested	stem	3	3	0.74	1.14	3.23	173.774	1.849	1307.6
1	mcp2k	177068	2	C_below_bar_recall	growth	2	2	0.06	1.24	0.64	7.753	-15.0	412.9
2	mcp1k	315167	1	C_below_bar_recall	growth	7	6	0.35	0.37	1.22	227.583	-8.225	1729.8
3	mcp2k	321015	16	A_above_bar_precision	growth	11	11	0.23	0.40	1.33	96.518	-15.0	419.5
4	mcp1k	399328	0	B_stem_branch_untested	stem	2	2	1.03	0.56	3.14	110.687	-15.0	251.1
5	mcp2k	355106	0	C_below_bar_recall	growth	3	3	0.06	0.47	1.26	47.331	-15.0	1139.8
6	nuecc48	163543	3	C_below_bar_recall	growth	6	6	0.08	2.00	0.61	73.95	3.111	1304.1
7	mcp2k	406125	0	A_above_bar_precision	growth	11	11	0.17	0.51	0.84	139.656	-15.0	856.8
8	mcp2k	174771	4	B_stem_branch_untested	stem	1	1	1.12	0.75	4.22	145.327	-12.281	1912.6
9	mcp2k	165767	0	C_below_bar_recall	growth	3	3	0.07	0.78	1.14	34.192	-15.0	720.2
10	mcp2k	318769	0	A_above_bar_precision	growth	11	7	0.38	1.94	1.29	60.979	-15.0	681.8
11	mcp2k	92904	0	B_stem_branch_untested	stem	2	2	1.13	2.14	2.88	104.753	-15.0	249.3
