# doc pr/148 sec 14 -- the KEY for pr148-pidscan3-manifest.tsv,
# carrying each object's FIRST-PASS verdict so the two passes can
# be compared.  The display and its self-test never open it.
idx	sample	event	shower_id	prev_scan	prev_verdict	prev_stratum	a5_retyped	branch	nseg_census	growth	bragg	stem_mip	nue_score
0	mcp1k	280972	0	scan0	EM	S1_rejected_topE	0	-	14	6.26	1.01	1.80	-6.083
1	mcp1k	399328	0	scan2	EM	B_stem_branch_untested	1	stem	2	1.03	0.56	3.14	-15.0
2	mcp2k	177068	2	scan2	EM	C_below_bar_recall	1	growth	2	0.06	1.24	0.64	-15.0
3	ncpi0	56982	0	scan0	EM	S2_rejected_star	0	-	11	8.55	1.50	4.44	-4.818
4	nuecc48	256587	0	scan0	EM	S3_control_nue_selected	0	-	126	6.19	2.55	1.28	11.423
5	mcp2k	406125	0	scan2	EM	A_above_bar_precision	1	growth	11	0.17	0.51	0.84	-15.0
6	nuecc48	122660	1	scan0	EM	S2_rejected_star	0	-	36	2.59	1.28	3.20	-15.0
7	mcp1k	386948	17	scan0	EM	S2_rejected_star	0	-	23	6.44	1.11	1.01	1.228
8	nuecc48	54095	0	scan0	EM	S3_control_nue_selected	0	-	75	4.09	0.99	1.35	11.256
9	ncpi0	399860	1	scan0	EM	S1_rejected_topE	0	-	38	4.58	1.83	0.46	1.093
10	mcp2k	92904	0	scan2	HADRONIC	B_stem_branch_untested	1	stem	2	1.13	2.14	2.88	-15.0
11	ncpi0	463565	0	scan0	EM	S2_rejected_star	0	-	31	1.13	1.17	0.37	-15.0
12	nuecc48	239794	0	scan0	EM	S3_control_nue_selected	0	-	86	10.12	0.50	1.15	14.808
13	mcp2k	98844	0	scan0	HADRONIC	S4_control_already_retyped	1	growth	26	0.27	1.19	1.38	-15.0
14	ncpi0	21073	0	scan0	MIXED	S2_rejected_star	0	-	37	3.88	2.25	0.02	-2.5
15	nuecc48	74544	0	scan0	EM	S3_control_nue_selected	0	-	48	4.74	0.51	1.06	9.717
16	mcp2k	321015	16	scan2	HADRONIC	A_above_bar_precision	1	growth	11	0.23	0.40	1.33	-15.0
17	mcp1k	281837	0	scan0	HADRONIC	S4_control_already_retyped	1	growth	4	0.45	1.70	0.99	-15.0
18	nuecc48	163543	0	scan0	EM	S4_control_already_retyped	1	growth	11	0.26	0.68	2.41	3.111
19	mcp2k	355106	0	scan2	EM	C_below_bar_recall	1	growth	3	0.06	0.47	1.26	-15.0
20	nuecc48	38856	4	scan0	HADRONIC	S4_control_already_retyped	1	growth	4	0.39	0.89	0.32	-4.134
21	nuecc48	30504	0	scan2	EM	B_stem_branch_untested	1	stem	3	0.74	1.14	3.23	1.849
22	mcp1k	401450	0	scan0	EM	S1_rejected_topE	0	-	29	4.74	1.26	0.64	-3.411
23	mcp2k	76350	0	scan0	EM	S1_rejected_topE	0	-	28	5.54	5.26	0.83	-6.566
24	nuecc48	163543	3	scan2	EM	C_below_bar_recall	1	growth	6	0.08	2.00	0.61	3.111
25	nuecc48	433451	0	scan0	EM	S3_control_nue_selected	0	-	103	2.65	1.22	1.24	9.992
26	mcp2k	318769	0	scan2	EM	A_above_bar_precision	1	growth	11	0.38	1.94	1.29	-15.0
27	nuecc48	388	0	scan0	EM	S4_control_already_retyped	1	growth	27	0.42	1.61	1.14	9.689
28	nuecc48	137238	0	scan0	EM	S1_rejected_topE	0	-	14	7.13	0.85	1.54	-4.312
29	mcp1k	315167	1	scan2	HADRONIC	C_below_bar_recall	1	growth	7	0.35	0.37	1.22	-8.225
30	nuecc48	30504	2	scan0	EM	S1_rejected_topE	0	-	42	4.62	0.99	3.41	1.849
31	mcp2k	100222	2	scan0	MIXED	S3_control_nue_selected	0	-	76	1.66	2.32	0.94	3.83
32	mcp2k	98294	0	scan0	EM	S4_control_already_retyped	1	stem	18	0.81	0.54	5.06	-15.0
33	mcp2k	174771	4	scan2	HADRONIC	B_stem_branch_untested	1	stem	1	1.12	0.75	4.22	-12.281
34	mcp2k	165767	0	scan2	HADRONIC	C_below_bar_recall	1	growth	3	0.07	0.78	1.14	-15.0
35	nuecc48	38856	1	scan0	EM	S2_rejected_star	0	-	32	0.89	0.88	0.31	-4.134
