sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
ncpi0	18259	1	18625	0	13.985	12.407	15	1249400	0	nu-candidate	12	2	2	1	0	1.833	15.3	11	146.90382	84.70467	166.48114	2.796138	-15.0	1.0	0.0	0.7	0.0	1448.6327	23.844864	0.0	23.844864	3	82.18735
ncpi0	18345	1	21073	0	14.222	12.633	15	1187248	0	nu-candidate	10	1	1	1	0	1.842	102.2	42	-33.910816	26.142744	362.92	-0.696057	-2.4996884	1.0	0.0	0.7	0.0	1623.7389	0.0	0.0	0.0	0	113.49979
ncpi0	18259	1	37112	0	8.926	7.978	10	1186616	0	nu-candidate	12	1	1	1	0	0.901	54.3	41	-165.46037	69.82319	7.9928	-0.61359817	-2.6172988	1.0	0.0	0.7	0.0	1147.8335	1.4111032	0.0	1.4111032	1	3.743526
ncpi0	18255	1	56982	0	13.048	12.548	14	1229604	0	nu-candidate	15	1	1	1	0	1.864	73.0	46	-89.737366	-149.55841	387.4119	0.06565701	-4.8177	1.0	0.0	0.7	0.0	1268.5352	1.2572331	0.0	1.2572331	1	55.205597
ncpi0	18255	1	71372	0	25.739	24.279	26	1292348	0	nu-candidate	13	1	1	1	0	2.012	62.6	75	-165.83153	-156.21281	223.8353	1.7132723	-15.0	1.0	0.0	0.7	0.0	2422.8452	0.0	0.0	0.0	0	13.873236
ncpi0	18364	1	84229	0	17.315	15.712	18	1193036	0	nu-candidate	10	1	1	1	0	0.671	96.4	36	97.53115	122.77774	384.55612	0.61676013	-15.0	1.0	0.0	0.7	0.0	1492.2014	2.4650292	0.0	2.4650292	2	686.6411
ncpi0	18259	1	105946	0	7.650	8.067	8	1139872	0	nu-candidate	10	1	1	1	0	0.878	50.1	32	-134.39026	-146.77197	400.9667	-0.15192959	-15.0	1.0	0.0	0.7	0.0	923.223	179.9962	0.0	179.9962	11	11.08217
ncpi0	18255	1	114446	0	4.840	5.203	5	1216840	0	nu-candidate	14	1	1	1	0	1.233	10.9	6	-65.98571	-64.34706	333.0435	-2.7398417	-15.0	1.0	0.0	0.7	0.0	125.77045	5.0271125	0.0	5.0271125	2	8.053195
ncpi0	18255	1	142421	0	19.345	19.865	20	1283388	0	nu-candidate	11	1	1	1	0	1.158	264.2	52	118.33262	-69.61524	208.87924	3.0504136	-15.0	1.0	0.0	0.7	0.0	2678.3403	383.00504	375.82147	7.183547	6	26.467846
ncpi0	18255	1	180801	0	10.258	10.744	11	1274976	0	nu-candidate	13	1	1	1	0	0.728	70.9	36	-33.73965	-15.918174	443.8477	1.3591492	-3.5903554	1.0	0.0	0.7	0.0	1302.4683	16.480927	0.0	16.480927	6	16.281967
ncpi0	18345	1	259542	0	12.203	12.697	13	1289328	0	nu-candidate	13	1	1	1	0	1.567	51.3	57	101.91646	17.675848	163.85269	-0.42549774	-15.0	1.0	0.0	0.7	0.0	1437.9181	246.25652	0.0	246.25652	8	978.4004
ncpi0	18261	1	285567	0	22.494	22.885	23	1307076	0	nu-candidate	8	1	1	1	0	0.970	118.0	40	59.70971	-178.00653	272.33035	0.8297899	-3.9364104	1.0	0.0	0.7	0.0	2169.067	144.14333	0.0	144.14333	4	502.30258
ncpi0	18255	1	314838	0	9.155	9.669	10	1314916	0	nu-candidate	10	1	1	1	0	1.591	36.8	30	25.772255	155.0555	140.34195	-0.22128429	-15.0	1.0	0.0	0.7	0.0	1089.9829	7.2303324	0.0	7.2303324	3	621.1688
ncpi0	18255	1	359980	0	9.081	9.506	10	1227636	0	nu-candidate	15	1	1	1	0	1.612	47.5	39	112.9233	155.85793	275.69632	-0.62882674	-15.0	1.0	0.0	0.7	0.0	868.14105	3.7579134	0.0	3.7579134	1	13.072505
ncpi0	18255	1	399860	0	16.669	17.185	17	1196368	0	nu-candidate	12	1	1	1	0	1.977	56.4	24	-32.670742	-81.445015	407.29642	-0.46703482	1.0932138	1.0	0.0	0.7	0.0	978.16547	149.2732	149.2732	0.0	1	1.8259697
ncpi0	18255	1	463565	0	12.534	13.004	13	1220660	0	nu-candidate	11	1	1	1	0	1.366	58.2	46	44.093323	-134.40681	274.47266	-0.034788106	-15.0	1.0	0.0	0.7	0.0	1480.9683	57.916435	53.50723	4.409207	4	163.6362
ncpi0	18255	1	506114	0	25.706	26.200	26	1298316	0	nu-candidate	13	1	1	1	0	1.722	93.0	49	118.14703	-13.734578	167.6085	-1.0116671	-15.0	1.0	0.0	0.7	0.0	2158.7275	112.757484	0.0	112.757484	5	11.45719
ncpi0	18255	1	506746	0	15.517	15.978	16	1246840	0	nu-candidate	12	1	1	1	0	1.724	47.9	39	53.70197	-11.870718	40.328526	0.37674484	-15.0	1.0	0.0	0.7	0.0	2140.9404	2.5908515	0.0	2.5908515	1	82.253815
ncpi0	18255	1	521075	0	9.600	10.064	10	1224792	0	nu-candidate	9	1	1	1	0	1.187	52.2	14	-87.48913	-35.401386	445.37714	-0.14146121	-15.0	1.0	0.0	0.7	0.0	840.14374	4.1443725	0.0	4.1443725	3	8.608986
