sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
nuecc48	18255	1	388	0	34.449	32.831	35	1330112	0	nu-candidate	14	1	1	1	0	1.653	86.3	50	-163.25658	31.41724	426.29175	-1.7957075	9.688974	1.0	0.0	0.7	0.0	2800.8958	8.901837	0.0	8.901837	2	31.81199
nuecc48	18255	1	10550	0	12.498	10.881	13	1221172	0	nu-candidate	8	2	1	1	0	1.193	56.9	38	89.82923	55.11222	128.77614	-1.0348601	15.65356	1.0	0.0	0.7	0.0	849.98425	3.91324	0.0	3.91324	2	6.4461794
nuecc48	18342	1	30504	0	13.825	12.200	14	1197208	0	nu-candidate	7	1	1	1	0	1.646	83.8	32	24.93846	-46.803116	118.46438	0.230809	1.8491964	1.0	0.0	0.7	0.0	1307.6099	1.532194	0.0	1.532194	1	4.5164404
nuecc48	18304	1	38856	0	16.926	15.317	17	1247808	0	nu-candidate	10	1	1	1	0	1.106	94.3	28	-60.20395	-53.975197	429.2952	0.17366612	-4.133667	1.0	0.0	0.7	0.0	1253.9102	273.6694	270.8303	2.8391352	2	0.0
nuecc48	18259	1	42280	0	35.141	33.492	36	1289908	0	nu-candidate	9	1	1	1	0	1.856	114.6	45	14.34441	-10.4154625	89.102516	-2.6743217	14.073776	1.0	0.0	0.7	0.0	1846.8833	1.2144337	0.0	1.2144337	1	24.958479
nuecc48	18255	1	46363	0	47.647	45.982	48	1249224	0	nu-candidate	11	1	1	1	0	0.836	110.9	44	-78.86004	16.897078	298.36423	0.4515516	8.257492	1.0	0.0	0.7	0.0	1571.6372	124.03328	111.46909	12.56419	5	2.3741283
nuecc48	18259	1	52672	0	11.321	9.711	12	1202212	0	nu-candidate	10	1	1	1	0	1.520	54.6	57	-138.04828	63.713516	297.0529	-0.5772848	-10.831776	1.0	0.0	0.7	0.0	892.92676	4.692553	0.0	4.692553	2	50.733025
nuecc48	18259	1	54095	0	51.226	49.586	52	1361152	0	nu-candidate	12	1	1	1	0	0.832	124.6	53	175.7653	26.961086	186.68188	-0.635447	11.255916	1.0	0.0	0.7	0.0	2806.7578	1.4509183	0.0	1.4509183	1	11.887393
nuecc48	18255	1	69314	0	12.349	12.810	13	1197488	0	nu-candidate	14	1	1	1	0	1.285	171.1	27	-111.33667	-18.643295	165.26605	1.7416564	-15.0	1.0	0.0	0.7	0.0	1712.0079	95.711205	95.711205	0.0	1	23.582829
nuecc48	18259	1	74544	0	27.959	28.415	29	1269208	0	nu-candidate	9	1	1	1	0	1.790	102.7	20	135.33342	-170.65718	406.2097	0.4373046	9.717451	1.0	0.0	0.7	0.0	2041.5488	1.7198659	0.0	1.7198659	1	0.0
nuecc48	18313	1	81597	0	17.474	17.934	18	1277224	0	nu-candidate	13	1	1	1	0	0.605	86.6	36	-179.63518	39.897194	358.2876	-0.061259735	16.25562	1.0	0.0	0.7	0.0	1472.5365	1.4406551	0.0	1.4406551	1	0.0
nuecc48	18255	1	90055	0	30.263	30.707	31	1325408	0	nu-candidate	8	1	1	1	0	0.647	91.6	64	128.9515	24.779795	202.06033	-0.7337741	8.884986	1.0	0.0	0.7	0.0	2551.2334	0.0	0.0	0.0	0	97.217766
nuecc48	18259	1	111412	0	11.673	12.123	12	1250440	0	nu-candidate	16	1	1	1	0	2.028	98.4	22	154.46974	78.99405	172.21611	-0.4662523	9.043853	1.0	0.0	0.7	0.0	1180.5537	1.5229288	0.0	1.5229288	1	2.7328644
nuecc48	18259	1	116962	0	8.404	8.844	9	1249708	0	cosmic-tagged	13	1	1	1	0	1.645	38.3	22	-69.82117	-79.55166	155.77289	-0.08450776	-15.0	1.0	0.0	0.7	0.0	848.0155	86.50176	86.50176	0.0	1	40.85177
nuecc48	18255	1	122660	0	13.934	14.376	14	1196940	0	nu-candidate	8	1	1	1	0	0.901	49.2	44	-97.527664	-73.16456	387.30685	-0.032953702	-15.0	1.0	0.0	0.7	0.0	1406.5555	179.45949	123.53691	55.92258	12	184.02823
nuecc48	18259	1	131357	0	9.974	10.412	11	1204160	0	nu-candidate	16	1	1	1	0	1.964	61.7	22	43.021557	177.9001	136.7248	-0.2613286	11.055459	1.0	0.0	0.7	0.0	764.4208	1.9237251	0.0	1.9237251	1	0.0
nuecc48	18264	1	137238	0	9.968	10.381	11	1354416	0	nu-candidate	18	1	1	1	0	0.879	100.5	17	-112.84693	30.31448	392.49704	-0.2608087	-4.3124743	1.0	0.0	0.7	0.0	1161.1917	124.4712	124.4712	0.0	1	7.0435085
nuecc48	18255	1	138009	0	10.820	11.257	11	1189548	0	nu-candidate	14	1	1	1	0	0.791	73.1	34	-103.61303	161.07713	81.93908	-0.52998936	6.7468243	1.0	0.0	0.7	0.0	1352.4581	1.3964387	0.0	1.3964387	1	7.273369
nuecc48	18255	1	163543	0	12.259	12.807	13	1222476	0	nu-candidate	11	1	1	1	0	0.954	64.6	50	-72.96054	-97.205086	262.03674	0.5043457	3.1110559	1.0	0.0	0.7	0.0	1304.0721	3.4867973	0.0	3.4867973	1	14.737641
nuecc48	18255	1	168596	0	32.570	32.967	33	1322188	0	nu-candidate	10	1	1	1	0	1.207	87.3	54	-188.9974	25.461315	148.11163	0.67214805	6.845542	1.0	0.0	0.7	0.0	2168.8608	2.904178	0.0	2.904178	1	10.697327
nuecc48	18253	1	172230	0	12.259	12.751	13	1201240	0	nu-candidate	13	1	1	1	0	1.662	65.4	36	-55.068184	-87.58372	19.76706	0.6613562	12.458214	1.0	0.0	0.7	0.0	1507.9001	0.0	0.0	0.0	0	18.22935
nuecc48	18255	1	174637	0	10.153	10.568	11	1252440	0	nu-candidate	7	1	1	1	0	1.363	77.1	28	-166.9312	-57.54017	297.7553	-0.9065546	8.050941	1.0	0.0	0.7	0.0	877.3362	18.875755	0.0	18.875755	3	18.216516
nuecc48	18255	1	196649	0	27.446	27.884	28	1240804	0	nu-candidate	10	1	1	1	0	1.272	108.2	24	-53.717606	-21.493496	193.68175	-0.34407896	4.0962386	1.0	0.0	0.7	0.0	1502.8273	1.0453968	0.0	1.0453968	2	2.699301
nuecc48	18409	1	214469	0	32.312	32.785	33	1329336	0	nu-candidate	12	1	1	1	0	1.935	157.1	49	-31.048471	2.8310933	300.9322	-1.0565214	11.93035	1.0	0.0	0.7	0.0	2258.6936	0.0	0.0	0.0	0	112.95674
nuecc48	18255	1	219295	0	22.922	23.380	23	1269772	0	nu-candidate	13	1	1	1	0	1.261	131.3	38	97.090836	52.381676	95.81489	0.9240091	7.2576723	1.0	0.0	0.7	0.0	1669.4158	95.10846	94.669464	0.4389947	2	6.579506
nuecc48	18255	1	234638	0	14.826	15.255	15	1241396	0	nu-candidate	9	1	1	1	0	0.990	114.5	53	102.90418	-6.505173	363.88818	0.15053162	10.937247	1.0	0.0	0.7	0.0	1235.7163	256.06427	256.06427	0.0	7	133.17226
nuecc48	18255	1	235435	0	9.152	9.638	10	1200544	0	nu-candidate	9	1	2	1	0	1.438	60.2	9	-83.02484	182.20654	170.69293	-0.58877313	7.6831274	1.0	0.0	0.7	0.0	739.5147	0.0	0.0	0.0	0	1.0668384
nuecc48	18255	1	239794	0	36.097	36.475	37	1312260	0	nu-candidate	11	1	1	1	0	0.509	97.2	54	-171.78687	-26.246483	194.79437	-1.8937968	14.808462	1.0	0.0	0.7	0.0	2727.8857	0.0	0.0	0.0	0	8.439899
